Date,Market Cap,% Change
2023-04-25,158433625,-2.49%
2023-04-24,162478739,-1.63%
2023-04-21,165175481,6.52%
2023-04-20,155062697,0.88%
2023-04-19,153714325,
2023-04-18,153714325,-0.44%
2023-04-17,154388511,-1.29%
2023-04-14,156411068,
2023-04-13,156411068,2.65%
2023-04-12,152365954,0.89%
2023-04-11,151017583,-2.61%
2023-04-10,155062697,
2023-04-06,155062697,-0.43%
2023-04-05,155736882,-0.43%
2023-04-04,156411068,-2.11%
2023-04-03,159781996,0.42%
2023-03-31,159107811,1.29%
2023-03-30,157085254,-0.43%
2023-03-29,157759439,2.18%
2023-03-28,154388511,
2023-03-27,154388511,1.78%
2023-03-24,151691769,5.63%
2023-03-23,143601541,4.93%
2023-03-22,136859684,-1.93%
2023-03-21,139556427,0.98%
2023-03-20,138208056,-2.38%
2023-03-17,141578984,-5.41%
2023-03-16,149669212,2.30%
2023-03-15,146298283,-3.56%
2023-03-14,151691769,6.13%
2023-03-13,142927355,-2.30%
2023-03-10,146298283,-2.69%
2023-03-09,150343397,-1.76%
2023-03-08,153040140,-7.35%
2023-03-07,165175481,0.82%
2023-03-06,163827110,6.11%
2023-03-03,154388511,4.09%
2023-03-02,148320840,2.33%
2023-03-01,144949912,-1.83%
2023-02-28,147646655,
2023-02-27,147646655,0.46%
2023-02-24,146972469,-1.80%
2023-02-23,149669212,0.91%
2023-02-22,148320840,-0.90%
2023-02-21,149669212,-0.45%
2023-02-17,150343397,1.83%
2023-02-16,147646655,-5.60%
2023-02-15,156411068,-0.85%
2023-02-14,157759439,-2.50%
2023-02-13,161804553,-1.23%
2023-02-10,163827110,-1.22%
2023-02-09,165849667,-1.20%
2023-02-08,167872224,-0.40%
2023-02-07,168546410,
2023-02-06,168546410,-3.47%
2023-02-03,174614080,-4.07%
2023-02-02,182030122,1.12%
2023-02-01,180007565,3.49%
2023-01-31,173939895,-0.39%
2023-01-30,174614080,-1.89%
2023-01-27,177985008,-2.94%
2023-01-26,183378494,2.64%
2023-01-25,178659194,0.76%
2023-01-24,177310823,-5.05%
2023-01-23,186749422,0.73%
2023-01-20,185401051,14.11%
2023-01-19,162478739,6.64%
2023-01-18,152365954,2.26%
2023-01-17,148995026,-8.30%
2023-01-13,162478739,2.99%
2023-01-12,157759439,-4.88%
2023-01-11,165849667,4.68%
2023-01-10,158433625,1.73%
2023-01-09,155736882,5.00%
2023-01-06,148320840,1.38%
2023-01-05,146298283,-2.25%
2023-01-04,149669212,-3.48%
2023-01-03,155062697,-2.89%
2022-12-30,159684599,8.37%
2022-12-29,147348450,8.59%
2022-12-28,135697642,-1.49%
2022-12-27,137753667,-3.37%
2022-12-23,142551059,1.46%
2022-12-22,140495034,1.99%
2022-12-21,137753667,-0.50%
2022-12-20,138439009,-0.49%
2022-12-19,139124350,-0.98%
2022-12-16,140495034,-1.91%
2022-12-15,143236400,2.96%
2022-12-14,139124350,-0.49%
2022-12-13,139809692,
2022-12-12,139809692,-1.45%
2022-12-09,141865717,-0.48%
2022-12-08,142551059,-5.88%
2022-12-07,151460500,0.45%
2022-12-06,150775158,-7.17%
2022-12-05,162425966,-2.47%
2022-12-02,166538016,1.67%
2022-12-01,163796649,10.65%
2022-11-30,148033792,-4.85%
2022-11-29,155572550,-0.87%
2022-11-28,156943233,7.01%
2022-11-25,146663108,-0.93%
2022-11-23,148033792,0.93%
2022-11-22,146663108,-2.28%
2022-11-21,150089816,-0.90%
2022-11-18,151460500,-0.90%
2022-11-17,152831183,-5.11%
2022-11-16,161055283,-4.47%
2022-11-15,168594040,16.59%
2022-11-14,144607083,-0.47%
2022-11-11,145292425,3.92%
2022-11-10,139809692,
2022-11-09,139809692,-7.27%
2022-11-08,150775158,-10.57%
2022-11-07,168594040,4.68%
2022-11-04,161055283,-2.08%
2022-11-03,164481991,-1.23%
2022-11-02,166538016,-4.33%
2022-11-01,174076774,11.40%
2022-10-31,156257891,-2.98%
2022-10-28,161055283,-2.49%
2022-10-27,165167332,0.42%
2022-10-26,164481991,-1.64%
2022-10-25,167223357,2.52%
2022-10-24,163111307,3.93%
2022-10-21,156943233,-1.29%
2022-10-20,158999258,-1.28%
2022-10-19,161055283,4.91%
2022-10-18,153516525,-0.44%
2022-10-17,154201866,-0.44%
2022-10-14,154887208,-3.83%
2022-10-13,161055283,-0.84%
2022-10-12,162425966,-3.27%
2022-10-11,167908699,
2022-10-10,167908699,-4.67%
2022-10-07,176132798,1.18%
2022-10-06,174076774,-3.79%
2022-10-05,180930190,-2.58%
2022-10-04,185727581,3.44%
2022-10-03,179559507,0.77%
2022-09-30,178188823,0.41%
2022-09-29,177453443,-3.36%
2022-09-28,183619779,4.69%
2022-09-27,175397998,1.19%
2022-09-26,173342552,-9.32%
2022-09-23,191156411,-4.12%
2022-09-22,199378193,-3.96%
2022-09-21,207599974,-5.31%
2022-09-20,219247497,-2.44%
2022-09-19,224728685,-0.61%
2022-09-16,226098981,-0.90%
2022-09-15,228154427,-0.89%
2022-09-14,230209872,-1.18%
2022-09-13,232950466,-3.95%
2022-09-12,242542544,2.61%
2022-09-09,236376208,0.29%
2022-09-08,235691059,
2022-09-07,235691059,
2022-09-06,235691059,-2.27%
2022-09-02,241172247,-1.12%
2022-09-01,243912841,-2.47%
2022-08-31,250079176,0.55%
2022-08-30,248708880,0.28%
2022-08-29,248023731,-1.09%
2022-08-26,250764325,-1.88%
2022-08-25,255560364,1.08%
2022-08-24,252819770,0.27%
2022-08-23,252134622,-0.81%
2022-08-22,254190067,-2.37%
2022-08-19,260356403,-1.30%
2022-08-18,263782145,-1.79%
2022-08-17,268578184,-1.26%
2022-08-16,272003926,
2022-08-15,272003926,-1.49%
2022-08-12,276114817,2.03%
2022-08-11,270633629,1.54%
2022-08-10,266522739,2.10%
2022-08-09,261041551,-3.30%
2022-08-08,269948481,2.34%
2022-08-05,263782145,-0.77%
2022-08-04,265837590,1.31%
2022-08-03,262411848,-3.04%
2022-08-02,270633629,-1.74%
2022-08-01,275429668,-4.74%
2022-07-29,289132637,-6.22%
2022-07-28,308316793,7.14%
2022-07-27,287762340,4.22%
2022-07-26,276114817,1.77%
2022-07-25,271318778,
2022-07-22,271318778,-1.49%
2022-07-21,275429668,-0.50%
2022-07-20,276799965,3.06%
2022-07-19,268578184,3.43%
2022-07-18,259671254,-2.07%
2022-07-15,265152442,1.57%
2022-07-14,261041551,-1.80%
2022-07-13,265837590,-0.26%
2022-07-12,266522739,0.52%
2022-07-11,265152442,-3.97%
2022-07-08,276114817,-1.47%
2022-07-07,280225707,3.81%
2022-07-06,269948481,
2022-07-05,269948481,-1.01%
2022-07-01,272689075,1.79%
2022-06-30,267893036,0.25%
2022-06-29,267225242,1.30%
2022-06-28,263799278,
2022-06-27,263799278,-2.28%
2022-06-24,269966014,0.25%
