Date,Market Cap,% Change
2023-04-26,536531820,-0.19%
2023-04-25,537565600,-1.60%
2023-04-24,546305740,0.78%
2023-04-21,542076640,-2.37%
2023-04-20,555233840,0.44%
2023-04-19,552790360,-1.03%
2023-04-18,558523140,-1.00%
2023-04-17,564161940,0.89%
2023-04-14,559181000,0.15%
2023-04-13,558335180,0.15%
2023-04-12,557489360,2.42%
2023-04-11,544332160,-1.46%
2023-04-10,552414440,2.39%
2023-04-06,539539180,-0.09%
2023-04-05,540009080,-0.59%
2023-04-04,543204400,-0.02%
2023-04-03,543298380,-0.12%
2023-03-31,543956240,0.91%
2023-03-30,539069280,0.17%
2023-03-29,538129480,-0.02%
2023-03-28,538223460,0.12%
2023-03-27,537565600,0.53%
2023-03-24,534746200,2.69%
2023-03-23,520743179,-1.23%
2023-03-22,527227800,-3.33%
2023-03-21,545365940,-0.04%
2023-03-20,545600890,0.35%
2023-03-17,543674300,-0.89%
2023-03-16,548561260,3.13%
2023-03-15,531926800,1.07%
2023-03-14,526288000,-0.39%
2023-03-13,528355560,0.39%
2023-03-10,526288000,-2.18%
2023-03-09,538035500,-2.95%
2023-03-08,554388020,5.10%
2023-03-07,527509740,4.39%
2023-03-06,505330460,-0.28%
2023-03-03,506740160,-0.74%
2023-03-02,510499360,0.76%
2023-03-01,506646179,-1.35%
2023-02-28,513600700,-1.53%
2023-02-27,521589000,-0.20%
2023-02-24,522622780,-3.62%
2023-02-23,542264600,1.91%
2023-02-22,532114760,0.50%
2023-02-21,529483320,-3.36%
2023-02-17,547903400,0.97%
2023-02-16,542640520,-0.07%
2023-02-15,543016440,-0.26%
2023-02-14,544426140,-0.63%
2023-02-13,547903400,0.99%
2023-02-10,542546540,0.14%
2023-02-09,541794700,-0.52%
2023-02-08,544614100,-0.43%
2023-02-07,546963600,0.69%
2023-02-06,543204400,0.07%
2023-02-03,542828480,0.12%
2023-02-02,542170620,1.57%
2023-02-01,533806400,1.12%
2023-01-31,527885660,2.09%
2023-01-30,517077960,0.04%
2023-01-27,516890000,-1.79%
2023-01-26,526288000,0.92%
2023-01-25,521495020,-0.11%
2023-01-24,522058900,1.00%
2023-01-23,516890000,-2.20%
2023-01-20,528543520,0.86%
2023-01-19,524032480,
2023-01-18,524032480,-0.87%
2023-01-17,528637500,0.81%
2023-01-13,524408400,0.18%
2023-01-12,523468600,1.27%
2023-01-11,516890000,1.48%
2023-01-10,509371600,-0.64%
2023-01-09,512660900,-3.04%
2023-01-06,528731480,2.09%
2023-01-05,517923780,0.38%
2023-01-04,515950200,1.22%
2023-01-03,509747520,1.17%
2022-12-30,503860300,-1.16%
2022-12-29,509753950,1.85%
2022-12-28,500492500,-1.33%
2022-12-27,507228100,-2.55%
2022-12-23,520512200,0.91%
2022-12-22,515834700,-1.89%
2022-12-21,525751000,0.32%
2022-12-20,524067100,-0.53%
2022-12-19,526873600,-1.61%
2022-12-16,535480200,0.93%
2022-12-15,530522050,-1.72%
2022-12-14,539783500,-1.54%
2022-12-13,548203000,-0.05%
2022-12-12,548483650,-1.20%
2022-12-09,555125700,1.07%
2022-12-08,549232050,-1.16%
2022-12-07,555687000,0.15%
2022-12-06,554845050,-0.02%
2022-12-05,554938600,-1.30%
2022-12-02,562235500,0.89%
2022-12-01,557277350,-2.18%
2022-11-30,569719500,3.22%
2022-11-29,551945000,4.41%
2022-11-28,528651050,5.21%
2022-11-25,502457050,-0.65%
2022-11-23,505731300,-0.79%
2022-11-22,509753950,0.17%
2022-11-21,508912000,-6.91%
2022-11-18,546706200,-0.56%
2022-11-17,549793350,0.65%
2022-11-16,546238450,-0.53%
2022-11-15,549138500,1.91%
2022-11-14,538848000,-0.79%
2022-11-11,543151300,-2.68%
2022-11-10,558119300,7.28%
2022-11-09,520231550,-1.38%
2022-11-08,527528450,-0.34%
2022-11-07,529305900,0.41%
2022-11-04,527154250,-3.95%
2022-11-03,548857850,-0.58%
2022-11-02,552038550,-1.49%
2022-11-01,560364500,-1.20%
2022-10-31,567193650,-1.91%
2022-10-28,578232550,5.07%
2022-10-27,550354650,1.22%
2022-10-26,543712600,-1.31%
2022-10-25,550915950,1.71%
2022-10-24,541654500,-0.34%
2022-10-21,543525500,3.57%
2022-10-20,524815500,-0.39%
2022-10-19,526873600,-0.07%
2022-10-18,527247800,0.37%
2022-10-17,525283250,2.41%
2022-10-14,512934650,-1.12%
2022-10-13,518734750,2.21%
2022-10-12,507508750,-0.29%
2022-10-11,509005549,0.39%
2022-10-10,507041000,-1.20%
2022-10-07,513215300,-0.38%
2022-10-06,515179850,-0.85%
2022-10-05,519576700,-1.03%
2022-10-04,525002600,2.05%
2022-10-03,514431450,1.16%
2022-09-30,508537800,0.70%
2022-09-29,504994780,-1.25%
2022-09-28,511384740,0.72%
2022-09-27,507719910,1.48%
2022-09-26,500296280,-0.89%
2022-09-23,504806840,-3.26%
2022-09-22,521815410,-1.02%
2022-09-21,527171700,0.56%
2022-09-20,524258630,-0.73%
2022-09-19,528111400,-0.90%
2022-09-16,532903870,1.07%
2022-09-15,527265670,-1.49%
2022-09-14,535253120,-0.09%
2022-09-13,535722970,-3.52%
2022-09-12,555268730,1.79%
2022-09-09,545495850,-0.38%
2022-09-08,547563190,-0.72%
2022-09-07,551509930,1.54%
2022-09-06,543146600,0.73%
2022-09-02,539199860,-0.35%
2022-09-01,541079260,0.10%
2022-08-31,540515440,1.43%
2022-08-30,532903870,-0.82%
2022-08-29,537320460,-0.88%
2022-08-26,542112930,-1.65%
2022-08-25,551228020,1.19%
2022-08-24,544744090,0.80%
2022-08-23,540421470,-1.05%
2022-08-22,546153640,-1.61%
2022-08-19,555080790,-1.20%
2022-08-18,561846630,0.15%
2022-08-17,561000900,0.12%
2022-08-16,560343110,-0.58%
2022-08-15,563632060,-0.02%
2022-08-12,563726030,1.99%
2022-08-11,552731540,0.43%
2022-08-10,550382290,0.97%
2022-08-09,545119970,0.80%
2022-08-08,540797350,0.35%
2022-08-05,538917950,0.77%
2022-08-04,534783269,-1.57%
2022-08-03,543334540,1.10%
2022-08-02,537414430,-0.54%
2022-08-01,540327500,-2.54%
2022-07-29,554423000,-1.44%
2022-07-28,562504420,0.17%
2022-07-27,561564720,-0.13%
2022-07-26,562316480,0.28%
2022-07-25,560718990,-0.05%
2022-07-22,561000900,-0.23%
2022-07-21,562316480,-0.27%
2022-07-20,563820000,-1.07%
2022-07-19,569928050,2.09%
2022-07-18,558275770,-0.98%
2022-07-15,563820000,0.05%
2022-07-14,563538090,-0.66%
