Date,Market Cap,% Change
2023-04-25,7432600960,-0.13%
2023-04-24,7441905280,-1.34%
2023-04-21,7542702080,0.25%
2023-04-20,7524093440,-0.96%
2023-04-19,7596977280,
2023-04-18,7596977280,0.11%
2023-04-17,7588448320,1.56%
2023-04-14,7472144320,-0.76%
2023-04-13,7529520960,0.08%
2023-04-12,7523318080,-1.37%
2023-04-11,7627991680,0.63%
2023-04-10,7579919360,0.02%
2023-04-06,7578368640,0.12%
2023-04-05,7569064320,-0.92%
2023-04-04,7639622080,-0.20%
2023-04-03,7655129280,-0.10%
2023-03-31,7662882880,3.55%
2023-03-30,7400035840,1.72%
2023-03-29,7275202880,1.04%
2023-03-28,7199992960,0.37%
2023-03-27,7173630720,0.01%
2023-03-24,7172855360,1.48%
2023-03-23,7068181760,0.04%
2023-03-22,7065080320,-3.82%
2023-03-21,7345760640,0.52%
2023-03-20,7307768000,2.58%
2023-03-17,7124007680,-3.45%
2023-03-16,7378325760,-2.09%
2023-03-15,7535723840,-0.81%
2023-03-14,7596977280,1.26%
2023-03-13,7502383360,0.27%
2023-03-10,7482224000,-5.77%
2023-03-09,7940461760,-2.42%
2023-03-08,8137403200,1.09%
2023-03-07,8049787519,-3.12%
2023-03-06,8308757760,-0.08%
2023-03-03,8315736000,0.97%
2023-03-02,8235873920,-0.38%
2023-03-01,8267663680,-0.14%
2023-02-28,8279294080,0.06%
2023-02-27,8274641920,-0.28%
2023-02-24,8297902720,-0.25%
2023-02-23,8318837440,1.16%
2023-02-22,8223468160,-0.12%
2023-02-21,8233547840,-2.66%
2023-02-17,8458402240,-0.66%
2023-02-16,8515003519,-0.06%
2023-02-15,8520431040,-0.21%
2023-02-14,8538264320,-1.85%
2023-02-13,8699539200,2.03%
2023-02-10,8526633920,1.23%
2023-02-09,8422735680,-0.51%
2023-02-08,8466155840,-0.79%
2023-02-07,8533612160,-1.42%
2023-02-06,8656894400,-1.23%
2023-02-03,8764669440,-0.91%
2023-02-02,8845306880,1.82%
2023-02-01,8687133440,0.46%
2023-01-31,8647590080,1.42%
2023-01-30,8526633920,-1.27%
2023-01-27,8635959680,1.02%
2023-01-26,8548344000,-0.21%
2023-01-25,8566177280,0.18%
2023-01-24,8550670080,0.80%
2023-01-23,8482438400,1.63%
2023-01-20,8346750400,1.06%
2023-01-19,8259134720,-1.82%
2023-01-18,8412656000,-2.13%
2023-01-17,8595640960,1.57%
2023-01-13,8463054400,-0.40%
2023-01-12,8497170240,2.35%
2023-01-11,8301779519,5.15%
2023-01-10,7895490880,-1.04%
2023-01-09,7978454400,-1.29%
2023-01-06,8082352640,1.48%
2023-01-05,7964497920,-2.23%
2023-01-04,8145932160,2.34%
2023-01-03,7959845760,1.87%
2022-12-30,7814029440,-1.16%
2022-12-29,7906059280,1.55%
2022-12-28,7785415120,-1.80%
2022-12-27,7928486720,0.18%
2022-12-23,7914566240,1.08%
2022-12-22,7830270000,-0.50%
2022-12-21,7869711360,0.87%
2022-12-20,7801655680,-0.46%
2022-12-19,7838003600,-1.15%
2022-12-16,7929260080,-1.88%
2022-12-15,8080838640,-3.94%
2022-12-14,8412610080,0.21%
2022-12-13,8394822800,0.84%
2022-12-12,8325220400,
2022-12-09,8325220400,-0.06%
2022-12-08,8329860559,0.49%
2022-12-07,8289645840,0.43%
2022-12-06,8254071280,-0.26%
2022-12-05,8275725360,-2.22%
2022-12-02,8463651840,0.39%
2022-12-01,8431170720,-1.87%
2022-11-30,8592029600,0.94%
2022-11-29,8511600160,2.22%
2022-11-28,8326767120,-2.34%
2022-11-25,8526294000,0.66%
2022-11-23,8470612080,-0.48%
2022-11-22,8511600160,1.94%
2022-11-21,8349967920,-0.41%
2022-11-18,8383995760,0.76%
2022-11-17,8320580240,1.42%
2022-11-16,8203802880,-1.54%
2022-11-15,8332180640,2.14%
2022-11-14,8157401280,-2.12%
2022-11-11,8334500720,0.65%
2022-11-10,8280365519,6.06%
2022-11-09,7807069200,-2.47%
2022-11-08,8005049360,-0.39%
2022-11-07,8036757120,-1.11%
2022-11-04,8127240240,5.71%
2022-11-03,7687971760,0.24%
2022-11-02,7669411120,-1.62%
2022-11-01,7795468800,1.84%
2022-10-31,7654717280,0.11%
2022-10-28,7646210320,2.17%
2022-10-27,7483804720,1.08%
2022-10-26,7404148640,-0.94%
2022-10-25,7474524400,4.04%
2022-10-24,7184514400,0.68%
2022-10-21,7135792720,1.90%
2022-10-20,7002774800,-0.75%
2022-10-19,7055363280,-1.99%
2022-10-18,7198434880,1.43%
2022-10-17,7097124720,2.92%
2022-10-14,6896051120,-1.82%
2022-10-13,7023655519,0.46%
2022-10-12,6991174400,-0.40%
2022-10-11,7019015360,1.76%
2022-10-10,6897597840,-1.50%
2022-10-07,7002774800,-1.51%
2022-10-06,7110271840,-1.20%
2022-10-05,7196888160,-0.52%
2022-10-04,7234782800,2.70%
2022-10-03,7044536240,1.08%
2022-09-30,6969520320,-2.81%
2022-09-29,7171124350,-2.24%
2022-09-28,7335077299,3.31%
2022-09-27,7100051150,-0.14%
2022-09-26,7109742950,-2.64%
2022-09-23,7302771300,-0.04%
2022-09-22,7306001899,-3.03%
2022-09-21,7534566850,-3.11%
2022-09-20,7776054200,-3.96%
2022-09-19,8096691250,-0.09%
2022-09-16,8103960100,0.36%
2022-09-15,8074884700,-0.36%
2022-09-14,8103960100,-0.63%
2022-09-13,8155649700,-4.04%
2022-09-12,8498900950,1.24%
2022-09-09,8394714100,1.44%
2022-09-08,8275181899,-1.58%
2022-09-07,8408444150,0.89%
2022-09-06,8334140350,2.40%
2022-09-02,8138689050,-0.51%
2022-09-01,8180686850,0.02%
2022-08-31,8179071550,-1.41%
2022-08-30,8296180800,-0.88%
2022-08-29,8369676950,-1.05%
2022-08-26,8458518450,-2.41%
2022-08-25,8667699800,1.05%
2022-08-24,8577243000,0.08%
2022-08-23,8570781800,-0.77%
2022-08-22,8637009100,-2.83%
2022-08-19,8888188250,-1.78%
2022-08-18,9048910600,-0.55%
2022-08-17,9098984900,-0.32%
2022-08-16,9128060300,1.10%
2022-08-15,9028719350,0.10%
2022-08-12,9019835200,1.67%
2022-08-11,8872035250,0.44%
2022-08-10,8833268050,1.82%
2022-08-09,8674968650,0.27%
2022-08-08,8651546800,1.30%
2022-08-05,8540898750,0.68%
2022-08-04,8483555600,0.84%
2022-08-03,8413290050,0.06%
2022-08-02,8408444150,-1.59%
2022-08-01,8544129350,0.17%
2022-07-29,8529591650,0.83%
2022-07-28,8459326100,2.21%
2022-07-27,8276797200,1.44%
2022-07-26,8159687950,-2.01%
2022-07-25,8326871500,0.43%
2022-07-22,8291334900,0.36%
2022-07-21,8261451850,-0.07%
2022-07-20,8267105400,1.41%
2022-07-19,8152419100,2.55%
2022-07-18,7949698950,1.40%
2022-07-15,7839858549,2.18%
2022-07-14,7672675000,-2.04%
2022-07-13,7832589700,-1.84%
2022-07-12,7979582000,1.46%
2022-07-11,7864895700,0.47%
2022-07-08,7827743800,-0.50%
2022-07-07,7867318650,0.32%
2022-07-06,7842281500,0.25%
2022-07-05,7822897900,-0.72%
2022-07-01,7879433400,1.90%
2022-06-30,7732441100,0.72%
2022-06-29,7677049860,-1.37%
2022-06-28,7783972560,-1.98%
2022-06-27,7941584540,0.74%
2022-06-24,7882975060,2.45%
2022-06-23,7694474300,2.99%
2022-06-22,7471124660,-0.45%
2022-06-21,7505181520,0.05%
2022-06-17,7501221419,0.92%
2022-06-16,7433107700,-2.17%
2022-06-15,7597847860,0.81%
2022-06-14,7536862320,-1.71%
2022-06-13,7668337639,-5.03%
2022-06-10,8074643900,-3.05%
2022-06-09,8328882320,-3.73%
2022-06-08,8651234460,-2.70%
2022-06-07,8891216520,1.62%
2022-06-06,8749444940,-1.30%
2022-06-03,8864287840,-1.75%
2022-06-02,9021899820,0.20%
2022-06-01,9003683360,-1.12%
2022-05-31,9105853940,-0.81%
2022-05-27,9180303820,2.49%
2022-05-26,8956954180,0.90%
2022-05-25,8876960160,0.81%
2022-05-24,8805678360,1.44%
2022-05-23,8680539200,0.18%
2022-05-20,8664698800,-1.63%
2022-05-19,8808054420,-1.99%
2022-05-18,8987050940,-4.21%
2022-05-17,9382268920,2.51%
2022-05-16,9152583120,-0.35%
2022-05-13,9185055940,2.84%
2022-05-12,8931609540,3.63%
2022-05-11,8618761640,-0.69%
2022-05-10,8678955160,-1.73%
2022-05-09,8831815020,-3.15%
2022-05-06,9119318280,-2.08%
2022-05-05,9312571160,-3.35%
2022-05-04,9634923300,2.99%
2022-05-03,9355340240,2.52%
2022-05-02,9125654440,-1.57%
2022-04-29,9271386120,-3.65%
2022-04-28,9622250980,2.33%
2022-04-27,9402861440,-0.72%
2022-04-26,9470975160,-0.87%
2022-04-25,9554137260,-0.95%
2022-04-22,9646011580,-2.79%
2022-04-21,9923218580,-0.94%
2022-04-20,10017468960,1.34%
2022-04-19,9885201620,1.94%
2022-04-18,9696700860,-0.67%
2022-04-14,9762438520,0.89%
2022-04-13,9676108340,1.35%
2022-04-12,9547009080,-0.05%
2022-04-11,9551761200,-0.31%
2022-04-08,9581857960,1.00%
2022-04-07,9486815560,-2.09%
2022-04-06,9689572680,0.72%
2022-04-05,9619874920,-1.24%
