Date,Market Cap,% Change
2023-04-26,121818480,
2023-04-25,121818480,-2.48%
2023-04-24,124915560,
2023-04-21,124915560,-6.92%
2023-04-20,134206800,-1.52%
2023-04-19,136271520,6.45%
2023-04-18,128012640,-0.80%
2023-04-17,129045000,5.04%
2023-04-14,122850840,-3.25%
2023-04-13,126980280,-3.91%
2023-04-12,132142080,-3.76%
2023-04-11,137303880,-3.62%
2023-04-10,142465680,-2.82%
2023-04-06,146595120,-2.07%
2023-04-05,149692200,-3.97%
2023-04-04,155886360,-3.21%
2023-04-03,161048160,-0.64%
2023-03-31,162080520,-0.63%
2023-03-30,163112880,1.28%
2023-03-29,161048160,0.65%
2023-03-28,160015800,-7.19%
2023-03-27,172404120,3.09%
2023-03-24,167242320,3.18%
2023-03-23,162080520,-7.10%
2023-03-22,174468840,-7.65%
2023-03-21,188921880,2.81%
2023-03-20,183760080,2.30%
2023-03-17,179630640,-6.45%
2023-03-16,192018960,-1.06%
2023-03-15,194083680,0.53%
2023-03-14,193051320,0.54%
2023-03-13,192018960,-7.46%
2023-03-10,207504359,-1.47%
2023-03-09,210601440,-2.39%
2023-03-08,215763240,-3.69%
2023-03-07,224022120,-5.24%
2023-03-06,236410440,-5.37%
2023-03-03,249831120,1.68%
2023-03-02,245701680,0.42%
2023-03-01,244669320,-2.07%
2023-02-28,249831120,-2.81%
2023-02-27,257057640,
2023-02-24,257057640,-3.86%
2023-02-23,267381240,0.78%
2023-02-22,265316519,-3.38%
2023-02-21,274607760,-2.56%
2023-02-17,281834280,-2.15%
2023-02-16,288028440,-3.79%
2023-02-15,299384400,0.35%
2023-02-14,298352040,-3.67%
2023-02-13,309708000,-1.64%
2023-02-10,314869800,5.17%
2023-02-09,299384400,-1.69%
2023-02-08,304546200,-2.32%
2023-02-07,311772720,-0.33%
2023-02-06,312805080,-1.94%
2023-02-03,318999240,-1.28%
2023-02-02,323128680,3.64%
2023-02-01,311772720,-1.95%
2023-01-31,317966880,3.36%
2023-01-30,307643280,-0.33%
2023-01-27,308675640,2.05%
2023-01-26,302481480,-0.68%
2023-01-25,304546200,2.43%
2023-01-24,297319680,-1.37%
2023-01-23,301449120,-0.68%
2023-01-20,303513840,-1.01%
2023-01-19,306610920,0.34%
2023-01-18,305578560,-2.95%
2023-01-17,314869800,-1.93%
2023-01-13,321063960,-0.96%
2023-01-12,324161040,5.72%
2023-01-11,306610920,6.07%
2023-01-10,289060800,0.72%
2023-01-09,286996080,
2023-01-06,286996080,1.83%
2023-01-05,281834280,-2.85%
2023-01-04,290093160,1.44%
2023-01-03,285963720,1.37%
2022-12-30,282112740,-1.09%
2022-12-29,285212880,2.99%
2022-12-28,276945840,-2.19%
2022-12-27,283146120,-0.36%
2022-12-23,284179500,0.36%
2022-12-22,283146120,-1.79%
2022-12-21,288313020,0.36%
2022-12-20,287279640,0.72%
2022-12-19,285212880,-0.72%
2022-12-16,287279640,-3.14%
2022-12-15,296580060,-2.05%
2022-12-14,302780340,-0.68%
2022-12-13,304847100,-0.34%
2022-12-12,305880480,0.34%
2022-12-09,304847100,-0.67%
2022-12-08,306913860,1.71%
2022-12-07,301746960,1.39%
2022-12-06,297613440,-0.35%
2022-12-05,298646820,-4.30%
2022-12-02,312080760,1.34%
2022-12-01,307947240,2.05%
2022-11-30,301746960,-1.02%
2022-11-29,304847100,1.37%
2022-11-28,300713580,1.75%
2022-11-25,295546680,2.51%
2022-11-23,288313020,-4.45%
2022-11-22,301746960,-0.34%
2022-11-21,302780340,1.74%
2022-11-18,297613440,2.86%
2022-11-17,289346400,-1.06%
2022-11-16,292446540,-3.74%
2022-11-15,303813720,2.44%
2022-11-14,296580060,-0.35%
2022-11-11,297613440,-5.26%
2022-11-10,314147520,8.96%
2022-11-09,288313020,-4.12%
2022-11-08,300713580,-0.68%
2022-11-07,302780340,1.03%
2022-11-04,299680200,4.32%
2022-11-03,287279640,-0.71%
2022-11-02,289346400,-3.78%
2022-11-01,300713580,1.04%
2022-10-31,297613440,1.41%
2022-10-28,293479920,3.65%
2022-10-27,283146120,4.98%
2022-10-26,269712180,4.40%
2022-10-25,258345000,2.88%
2022-10-24,251111340,0.83%
2022-10-21,249044580,0.42%
2022-10-20,248011200,-4.00%
2022-10-19,258345000,-1.96%
2022-10-18,263511899,-1.16%
2022-10-17,266612040,2.79%
2022-10-14,259378379,-3.83%
2022-10-13,269712180,2.35%
2022-10-12,263511899,-3.41%
2022-10-11,272812320,6.88%
2022-10-10,255244860,
2022-10-07,255244860,-0.40%
2022-10-06,256278240,-2.75%
2022-10-05,263511899,-5.20%
2022-10-04,277979220,2.28%
2022-10-03,271778940,
2022-09-30,271778940,-1.40%
2022-09-29,275640120,-3.96%
2022-09-28,286996080,2.96%
2022-09-27,278737200,0.37%
2022-09-26,277704840,-5.28%
2022-09-23,293190240,-4.70%
2022-09-22,307643280,1.02%
2022-09-21,304546200,-3.91%
2022-09-20,316934520,-1.29%
2022-09-19,321063960,0.97%
2022-09-16,317966880,-1.28%
2022-09-15,322096320,2.30%
2022-09-14,314869800,1.33%
2022-09-13,310740360,-6.23%
2022-09-12,331387560,4.56%
2022-09-09,316934520,-0.32%
2022-09-08,317966880,0.98%
