Date,Market Cap,% Change
2023-04-26,65125563,1.24%
2023-04-25,64325495,-13.36%
2023-04-24,74246342,-6.64%
2023-04-21,79526793,10.20%
2023-04-20,72166165,-8.70%
2023-04-19,79046752,-2.76%
2023-04-18,81286944,-0.20%
2023-04-17,81446958,-7.45%
2023-04-14,88007518,
2023-04-13,88007518,8.48%
2023-04-12,81126930,4.75%
2023-04-11,77446616,10.00%
2023-04-10,70406014,9.45%
2023-04-06,64325495,3.08%
2023-04-05,62405331,1.30%
2023-04-04,61605262,-5.41%
2023-04-03,65125563,-4.24%
2023-03-31,68005809,-8.60%
2023-03-30,74406356,3.56%
2023-03-29,71846137,-5.27%
2023-03-28,75846479,-2.27%
2023-03-27,77606629,2.75%
2023-03-24,75526452,3.96%
2023-03-23,72646206,1.79%
2023-03-22,71366096,3.00%
2023-03-21,69285919,3.10%
2023-03-20,67205741,1.20%
2023-03-17,66405673,-15.99%
2023-03-16,79046752,3.13%
2023-03-15,76646547,14.87%
2023-03-14,66725700,9.16%
2023-03-13,61125221,5.52%
2023-03-10,57924948,
2023-03-09,57924948,-8.35%
2023-03-08,63205399,-4.36%
2023-03-07,66085645,-7.61%
2023-03-06,71526110,-1.54%
2023-03-03,72646206,
2023-03-02,72646206,-2.58%
2023-03-01,74566370,-1.69%
2023-02-28,75846479,-3.46%
2023-02-27,78566711,-2.19%
2023-02-24,80326862,-1.57%
2023-02-23,81606971,-2.86%
2023-02-22,84007176,-5.06%
2023-02-21,88487559,-3.15%
2023-02-17,91367805,-6.85%
2023-02-16,98088379,10.75%
2023-02-15,88567566,1.56%
2023-02-14,87207450,2.44%
2023-02-13,85127272,-5.17%
2023-02-10,89767668,-4.10%
2023-02-09,93607996,8.13%
2023-02-08,86567395,-11.31%
2023-02-07,97608338,3.74%
2023-02-06,94088037,-2.00%
2023-02-03,96008202,-1.64%
2023-02-02,97608338,-0.81%
2023-02-01,98408407,14.95%
2023-01-31,85607313,1.13%
2023-01-30,84647231,0.76%
2023-01-27,84007176,5.00%
2023-01-26,80006835,-5.66%
2023-01-25,84807245,-14.10%
2023-01-24,98728434,-11.73%
2023-01-23,111849555,7.37%
2023-01-20,104168899,3.01%
2023-01-19,101128639,0.32%
2023-01-18,100808612,1.94%
2023-01-17,98888448,-0.64%
2023-01-13,99528502,0.16%
2023-01-12,99368489,-1.58%
2023-01-11,100968625,13.69%
2023-01-10,88807586,4.91%
2023-01-09,84647231,6.44%
2023-01-06,79526793,8.04%
2023-01-05,73606288,0.44%
2023-01-04,73286260,6.51%
2023-01-03,68805878,2.17%
2022-12-30,67341721,-7.21%
2022-12-29,72570608,2.23%
2022-12-28,70986097,-2.82%
2022-12-27,73045961,6.47%
2022-12-23,68609330,-2.91%
2022-12-22,70669195,-7.28%
2022-12-21,76214983,-0.82%
2022-12-20,76848788,12.01%
2022-12-19,68609330,-13.57%
2022-12-16,79384006,-10.38%
2022-12-15,88574170,-6.68%
2022-12-14,94912214,4.72%
2022-12-13,90634034,0.35%
2022-12-12,90317132,-1.89%
2022-12-09,92060094,0.17%
2022-12-08,91901643,3.57%
2022-12-07,88732621,3.90%
2022-12-06,85405148,3.65%
2022-12-05,82394577,1.76%
2022-12-02,80968517,2.00%
2022-12-01,79384006,2.45%
2022-11-30,77482592,7.95%
2022-11-29,71778352,-0.88%
2022-11-28,72412157,-8.23%
2022-11-25,78908652,18.29%
2022-11-23,66707917,-9.46%
2022-11-22,73679766,-3.33%
2022-11-21,76214983,0.63%
2022-11-18,75739630,-2.05%
2022-11-17,77324141,0.83%
2022-11-16,76690337,6.14%
2022-11-15,72253706,15.44%
2022-11-14,62588188,-4.13%
2022-11-11,65281857,3.00%
2022-11-10,63380444,5.26%
2022-11-09,60211421,-8.43%
2022-11-08,65757210,-11.51%
2022-11-07,74313570,-3.70%
2022-11-04,77165690,-0.20%
2022-11-03,77324141,-0.81%
2022-11-02,77957946,-4.09%
2022-11-01,81285419,6.43%
2022-10-31,76373435,1.47%
2022-10-28,75264277,-2.06%
2022-10-27,76848788,10.23%
2022-10-26,69718488,-1.12%
2022-10-25,70510743,11.25%
2022-10-24,63380444,-0.99%
2022-10-21,64014248,4.39%
2022-10-20,61320579,-1.53%
2022-10-19,62271286,-4.84%
2022-10-18,65440308,-3.95%
2022-10-17,68133977,2.38%
2022-10-14,66549466,-5.19%
2022-10-13,70193841,-2.64%
2022-10-12,72095255,
2022-10-11,72095255,1.11%
2022-10-10,71302999,-4.46%
2022-10-07,74630472,-2.89%
2022-10-06,76848788,-3.77%
2022-10-05,79859359,-5.44%
2022-10-04,84454441,4.92%
2022-10-03,80493163,-4.15%
2022-09-30,83979088,5.85%
2022-09-29,79339312,-8.06%
2022-09-28,86293356,7.91%
2022-09-27,79971498,0.20%
2022-09-26,79813452,4.12%
2022-09-23,76652523,-5.27%
2022-09-22,80919777,-10.02%
2022-09-21,89928424,-1.22%
2022-09-20,91034749,0.17%
2022-09-19,90876703,-0.52%
2022-09-16,91350842,-6.47%
2022-09-15,97672699,1.15%
2022-09-14,96566374,1.50%
2022-09-13,95143956,-10.28%
2022-09-12,106049161,1.51%
2022-09-09,104468696,5.09%
2022-09-08,99411210,0.48%
2022-09-07,98937071,-2.80%
2022-09-06,101781907,-4.59%
2022-09-02,106681347,3.37%
2022-09-01,103204325,-4.95%
2022-08-31,108577904,0.88%
2022-08-30,107629625,-2.71%
2022-08-29,110632508,-1.55%
2022-08-26,112371018,-1.93%
2022-08-25,114583669,-2.95%
2022-08-24,118060690,4.77%
2022-08-23,112687111,1.71%
2022-08-22,110790554,-3.58%
2022-08-19,114899761,-1.89%
2022-08-18,117112412,-2.37%
2022-08-17,119957247,-3.44%
2022-08-16,124224501,-1.26%
2022-08-15,125804966,-3.16%
2022-08-12,129914173,8.59%
2022-08-11,119641155,11.16%
2022-08-10,107629625,6.07%
2022-08-09,101465814,1.74%
2022-08-08,99727303,1.12%
2022-08-05,98620978,-10.98%
2022-08-04,110790554,-4.63%
2022-08-03,116164133,1.38%
