Date,Market Cap,% Change
2023-04-25,9992644,
2023-04-24,9992644,-2.27%
2023-04-21,10224417,0.46%
2023-04-20,10177692,
2023-04-19,10177692,
2023-04-18,10177692,1.61%
2023-04-17,10016006,-1.59%
2023-04-14,10177692,0.69%
2023-04-13,10108299,-3.85%
2023-04-12,10513094,4.90%
2023-04-11,10021789,0.76%
2023-04-10,9946382,-4.23%
2023-04-06,10385872,1.58%
2023-04-05,10223955,0.91%
2023-04-04,10131430,-3.52%
2023-04-03,10501528,0.89%
2023-03-31,10409004,-1.23%
2023-03-30,10538306,-0.31%
2023-03-29,10570921,-6.73%
2023-03-28,11334248,3.57%
2023-03-27,10943101,-1.03%
2023-03-24,11056906,-2.45%
2023-03-23,11334248,-2.00%
2023-03-22,11565560,2.04%
2023-03-21,11334248,1.66%
2023-03-20,11149199,-0.62%
2023-03-17,11218593,-2.41%
2023-03-16,11496166,-0.80%
2023-03-15,11588691,-2.34%
2023-03-14,11866264,-1.54%
2023-03-13,12051776,1.56%
2023-03-10,11866264,-6.39%
2023-03-09,12675853,4.18%
2023-03-08,12166969,-0.85%
2023-03-07,12271059,-2.48%
2023-03-06,12583329,-2.51%
2023-03-03,12907164,-0.36%
2023-03-02,12953427,-1.41%
2023-03-01,13138476,4.03%
2023-02-28,12629591,2.63%
2023-02-27,12305755,-1.12%
2023-02-24,12444542,-1.28%
2023-02-23,12606460,-1.45%
2023-02-22,12791509,-4.33%
2023-02-21,13369787,-0.34%
2023-02-17,13416049,1.58%
2023-02-16,13207869,-0.70%
2023-02-15,13300394,2.31%
2023-02-14,12999689,-5.70%
2023-02-13,13786147,-1.81%
2023-02-10,14040589,13.67%
2023-02-09,12352018,-1.66%
2023-02-08,12560198,4.42%
2023-02-07,12028182,2.16%
2023-02-06,11773740,3.04%
2023-02-03,11426773,-1.00%
2023-02-02,11542428,2.25%
2023-02-01,11287986,1.67%
2023-01-31,11102937,-0.62%
2023-01-30,11172562,-1.15%
2023-01-27,11302096,-4.09%
2023-01-26,11783917,0.88%
2023-01-25,11681215,-0.30%
2023-01-24,11715912,0.10%
2023-01-23,11704346,-0.78%
2023-01-20,11796871,0.49%
2023-01-19,11739043,-2.40%
2023-01-18,12028182,-0.38%
2023-01-17,12074444,1.81%
2023-01-13,11860019,-1.59%
2023-01-12,12051313,2.16%
2023-01-11,11796871,1.69%
2023-01-10,11600487,-0.10%
2023-01-09,11611822,2.45%
2023-01-06,11334248,3.72%
2023-01-05,10927835,0.09%
2023-01-04,10917888,-1.26%
2023-01-03,11056675,-8.68%
2022-12-30,12107956,1.89%
2022-12-29,11883059,-0.42%
2022-12-28,11932841,-0.42%
2022-12-27,11982874,-3.82%
2022-12-23,12458187,0.30%
2022-12-22,12420662,0.10%
2022-12-21,12408154,-1.00%
2022-12-20,12533236,-1.38%
2022-12-19,12708351,4.74%
2022-12-16,12132973,
2022-12-15,12132973,-2.22%
2022-12-14,12408154,-0.80%
2022-12-13,12508220,0.60%
2022-12-12,12433170,2.26%
2022-12-09,12157989,1.67%
2022-12-08,11957858,-0.10%
2022-12-07,11970366,-3.43%
2022-12-06,12395646,0.10%
2022-12-05,12383137,-3.88%
2022-12-02,12883216,0.39%
2022-12-01,12833433,0.98%
2022-11-30,12708351,-0.39%
2022-11-29,12758384,-0.39%
2022-11-28,12808417,0.79%
2022-11-25,12708351,1.80%
2022-11-23,12483203,-0.80%
2022-11-22,12583269,1.00%
2022-11-21,12458187,-0.40%
2022-11-18,12508220,-0.60%
2022-11-17,12583269,-0.59%
2022-11-16,12658318,-0.21%
2022-11-15,12685086,-1.68%
2022-11-14,12901978,1.03%
2022-11-11,12770892,1.09%
2022-11-10,12633302,-1.95%
2022-11-09,12884217,1.47%
2022-11-08,12697344,1.92%
2022-11-07,12458187,-1.39%
2022-11-04,12633302,-0.98%
2022-11-03,12758384,-1.92%
2022-11-02,13008548,-0.76%
2022-11-01,13108614,-0.95%
2022-10-31,13233696,1.15%
2022-10-28,13083598,5.23%
2022-10-27,12433170,2.21%
2022-10-26,12164243,-0.15%
2022-10-25,12183006,-1.22%
