Date,Market Cap,% Change
2023-04-25,597524160,-2.46%
2023-04-24,612593300,-0.11%
2023-04-21,613248480,-0.21%
2023-04-20,614558840,-0.85%
2023-04-19,619800280,0.64%
2023-04-18,615869200,-1.05%
2023-04-17,622421000,2.70%
2023-04-14,606041500,-0.64%
2023-04-13,609972580,-0.21%
2023-04-12,611282940,-0.43%
2023-04-11,613903660,1.52%
2023-04-10,604731140,0.44%
2023-04-06,602110420,2.80%
2023-04-05,585730920,-0.22%
2023-04-04,587041280,-1.32%
2023-04-03,594903440,-0.33%
2023-03-31,596868980,2.24%
2023-03-30,583765380,1.25%
2023-03-29,576558400,1.97%
2023-03-28,565420340,0.12%
2023-03-27,564765160,2.01%
2023-03-24,553627100,3.68%
2023-03-23,533971700,-3.78%
2023-03-22,554937460,-4.29%
2023-03-21,579834300,-0.67%
2023-03-20,583765380,0.91%
2023-03-17,578523940,-3.92%
2023-03-16,602110420,-2.65%
2023-03-15,618489920,0.75%
2023-03-14,613903660,1.30%
2023-03-13,606041500,0.43%
2023-03-10,603420780,-4.56%
2023-03-09,632248700,-2.33%
2023-03-08,647317840,0.51%
2023-03-07,644041940,-1.60%
2023-03-06,654524820,-1.28%
2023-03-03,663042160,3.05%
2023-03-02,643386760,-0.10%
2023-03-01,644041940,-2.29%
2023-02-28,659111080,-1.76%
2023-02-27,670904320,1.29%
2023-02-24,662386980,-3.53%
2023-02-23,686628640,-0.10%
2023-02-22,687283820,-2.15%
2023-02-21,702352960,-0.28%
2023-02-17,704318500,-1.01%
2023-02-16,711525480,-0.55%
2023-02-15,715456560,-1.62%
2023-02-14,727249800,-0.09%
2023-02-13,727904980,2.21%
2023-02-10,712180660,1.21%
2023-02-09,703663320,-2.27%
2023-02-08,720042820,-0.72%
2023-02-07,725284260,-0.98%
2023-02-06,732491240,-1.06%
2023-02-03,740353400,-1.91%
2023-02-02,754767360,1.50%
2023-02-01,743629300,1.07%
2023-01-31,735767140,2.84%
2023-01-30,715456560,-0.18%
2023-01-27,716766920,1.20%
2023-01-26,708249580,1.12%
2023-01-25,700387420,-0.56%
2023-01-24,704318500,-0.46%
2023-01-23,707594400,0.75%
2023-01-20,702352960,2.78%
2023-01-19,683352740,-0.57%
2023-01-18,687283820,
2023-01-17,687283820,2.04%
2023-01-13,673525040,1.88%
2023-01-12,661076620,1.20%
2023-01-11,653214460,2.57%
2023-01-10,636834960,-0.82%
2023-01-09,642076400,-1.01%
2023-01-06,648628200,2.80%
2023-01-05,630938340,-0.62%
2023-01-04,634869420,2.98%
2023-01-03,616524380,-0.65%
2022-12-30,620579760,0.11%
2022-12-29,619925140,2.27%
2022-12-28,606178120,-2.32%
2022-12-27,620579760,1.17%
2022-12-23,613378940,-0.32%
2022-12-22,615342800,1.62%
2022-12-21,605523500,-2.73%
2022-12-20,622543620,0.63%
2022-12-19,618615900,-3.57%
2022-12-16,641527600,-0.51%
2022-12-15,644800700,-2.09%
2022-12-14,658547720,-0.10%
2022-12-13,659202340,1.82%
2022-12-12,647419180,-1.30%
2022-12-09,655929240,-0.30%
2022-12-08,657893100,1.41%
2022-12-07,648728420,0.81%
2022-12-06,643491460,-2.29%
2022-12-05,658547720,-1.37%
2022-12-02,667712400,1.49%
2022-12-01,657893100,-0.50%
2022-11-30,661166200,2.75%
2022-11-29,643491460,2.40%
2022-11-28,628435200,-2.54%
2022-11-25,644800700,3.25%
2022-11-23,624507480,0.32%
2022-11-22,622543620,1.82%
2022-11-21,611415080,-0.53%
2022-11-18,614688180,0.43%
2022-11-17,612069700,-0.43%
2022-11-16,614688180,0.43%
2022-11-15,612069700,-1.68%
2022-11-14,622543620,-0.83%
2022-11-11,627780580,-0.31%
2022-11-10,629744440,7.37%
2022-11-09,586539520,-0.33%
2022-11-08,588503380,-1.21%
2022-11-07,595704200,2.48%
2022-11-04,581302560,-1.33%
2022-11-03,589158000,3.21%
2022-11-02,570828640,-3.96%
2022-11-01,594394960,-0.66%
2022-10-31,598322680,1.44%
2022-10-28,589812620,3.09%
2022-10-27,572137880,2.10%
2022-10-26,560354720,0.35%
2022-10-25,558390860,7.30%
2022-10-24,520422900,2.71%
2022-10-21,506675880,-0.39%
2022-10-20,508639740,-0.64%
2022-10-19,511912840,-0.26%
2022-10-18,513222080,1.55%
2022-10-17,505366640,4.32%
2022-10-14,484418800,0.54%
2022-10-13,481800320,2.79%
2022-10-12,468707920,-2.19%
2022-10-11,479181840,0.69%
2022-10-10,475908740,-3.20%
2022-10-07,491619620,-2.85%
2022-10-06,506021260,-9.80%
2022-10-05,561009340,-2.94%
2022-10-04,578029460,1.96%
2022-10-03,566900920,1.64%
2022-09-30,557736240,1.83%
2022-09-29,547730480,-4.35%
2022-09-28,572627320,2.22%
2022-09-27,560178900,-3.61%
2022-09-26,581144660,-3.38%
2022-09-23,601455240,-2.96%
2022-09-22,619800280,-6.34%
2022-09-21,661731800,-0.49%
2022-09-20,665007700,-1.46%
2022-09-19,674835400,-2.18%
2022-09-16,689904540,0.67%
2022-09-15,685318280,-1.51%
2022-09-14,695801160,-1.03%
2022-09-13,703008140,-3.85%
2022-09-12,731180880,2.20%
2022-09-09,715456560,1.39%
2022-09-08,705628860,0.09%
2022-09-07,704973680,1.13%
2022-09-06,697111520,0.47%
2022-09-02,693835620,-1.40%
2022-09-01,703663320,-0.92%
2022-08-31,710215120,-0.73%
2022-08-30,715456560,-1.97%
2022-08-29,729870520,-1.33%
2022-08-26,739698220,-2.25%
2022-08-25,756732900,1.94%
2022-08-24,742318940,-1.13%
2022-08-23,750836280,-1.21%
2022-08-22,760008800,-2.11%
2022-08-19,776388300,-0.84%
2022-08-18,782940100,-1.65%
2022-08-17,796043700,-0.65%
2022-08-16,801285140,0.33%
2022-08-15,798664420,-0.25%
2022-08-12,800629960,2.17%
2022-08-11,783595280,0.17%
2022-08-10,782284920,1.10%
2022-08-09,773767580,0.51%
2022-08-08,769836500,-0.25%
2022-08-05,771802040,-0.51%
2022-08-04,775733120,0.34%
2022-08-03,773112400,-0.84%
2022-08-02,779664200,-1.57%
2022-08-01,792112620,-0.74%
2022-07-29,798009240,1.08%
2022-07-28,789491900,2.73%
2022-07-27,768526140,1.30%
2022-07-26,758698440,0.09%
2022-07-25,758043260,0.17%
2022-07-22,756732900,0.70%
2022-07-21,751491460,1.15%
2022-07-20,742974120,-0.44%
2022-07-19,746250020,2.34%
2022-07-18,729215340,-0.18%
2022-07-15,730525700,3.15%
2022-07-14,708249580,0.75%
