Date,Market Cap,% Change
2023-04-25,1150942380,-1.60%
2023-04-24,1169623140,-1.05%
2023-04-21,1182076980,0.18%
2023-04-20,1180001340,-0.44%
2023-04-19,1185190440,1.42%
2023-04-18,1168585320,-3.51%
2023-04-17,1211135940,1.48%
2023-04-14,1193493000,-1.37%
2023-04-13,1210098120,-0.43%
2023-04-12,1215287220,-6.32%
2023-04-11,1297275000,-0.40%
2023-04-10,1302464100,-0.08%
2023-04-06,1303501920,0.40%
2023-04-05,1298312820,-0.79%
2023-04-04,1308691020,-1.71%
2023-04-03,1331523060,-0.23%
2023-03-31,1334636520,2.06%
2023-03-30,1307653200,0.56%
2023-03-29,1300388460,1.54%
2023-03-28,1280669880,-0.08%
2023-03-27,1281707700,1.56%
2023-03-24,1261989120,3.05%
2023-03-23,1224627600,-0.51%
2023-03-22,1230854520,-4.82%
2023-03-21,1293123720,-0.56%
2023-03-20,1300388460,2.12%
2023-03-17,1273405140,-3.31%
2023-03-16,1316993580,-2.61%
2023-03-15,1352279460,-1.81%
2023-03-14,1377187140,1.61%
2023-03-13,1355392920,0.15%
2023-03-10,1353317280,-4.05%
2023-03-09,1410397380,-1.66%
2023-03-08,1434267240,-0.22%
2023-03-07,1437380700,-2.74%
2023-03-06,1477855680,-1.52%
2023-03-03,1500687720,1.62%
2023-03-02,1476817860,1.07%
2023-03-01,1461250560,-0.28%
2023-02-28,1465401840,-1.05%
2023-02-27,1480969140,0.35%
2023-02-24,1475780040,-1.04%
2023-02-23,1491347340,3.08%
2023-02-22,1446721080,-0.50%
2023-02-21,1453985820,-2.98%
2023-02-17,1498612080,-0.76%
2023-02-16,1510028100,0.55%
2023-02-15,1501725540,0.21%
2023-02-14,1498612080,-1.43%
2023-02-13,1520406300,1.60%
2023-02-10,1496536440,0.91%
2023-02-09,1483044780,-0.49%
2023-02-08,1490309520,-1.03%
2023-02-07,1505876820,-1.43%
2023-02-06,1527671040,-1.93%
2023-02-03,1557767820,-0.40%
2023-02-02,1563994740,0.20%
2023-02-01,1560881280,0.60%
2023-01-31,1551540900,2.40%
2023-01-30,1515217200,
2023-01-27,1515217200,1.32%
2023-01-26,1495498620,1.41%
2023-01-25,1474742220,-0.49%
2023-01-24,1482006960,0.21%
2023-01-23,1478893500,1.21%
2023-01-20,1461250560,1.59%
2023-01-19,1438418520,0.29%
2023-01-18,1434267240,-2.26%
2023-01-17,1467477480,2.61%
2023-01-13,1430115960,0.66%
2023-01-12,1420775580,-2.00%
2023-01-11,1449834540,3.71%
2023-01-10,1397943540,0.07%
2023-01-09,1396905720,2.67%
2023-01-06,1360582020,1.55%
2023-01-05,1339825620,-1.53%
2023-01-04,1360582020,2.99%
2023-01-03,1321144860,1.37%
2022-12-30,1303333020,-0.79%
2022-12-29,1313701620,0.64%
2022-12-28,1305406740,-1.87%
2022-12-27,1330291380,-0.62%
2022-12-23,1338586260,0.78%
2022-12-22,1328217660,-1.23%
2022-12-21,1344807420,0.62%
2022-12-20,1336512540,-1.30%
2022-12-19,1354139160,-0.76%
2022-12-16,1364507760,-2.23%
2022-12-15,1395613560,-1.39%
2022-12-14,1415313900,
2022-12-13,1415313900,0.07%
2022-12-12,1414277040,0.96%
2022-12-09,1400797860,-1.46%
2022-12-08,1421535060,1.33%
2022-12-07,1402871580,1.58%
2022-12-06,1381097520,-0.30%
2022-12-05,1385244960,-1.62%
2022-12-02,1408055880,0.22%
2022-12-01,1404945300,0.15%
2022-11-30,1402871580,2.50%
2022-11-29,1368655200,0.23%
2022-11-28,1365544620,-1.35%
2022-11-25,1384208100,0.30%
2022-11-23,1380060660,-0.15%
2022-11-22,1382134380,0.15%
2022-11-21,1380060660,1.29%
2022-11-18,1362434040,1.15%
2022-11-17,1346881140,2.28%
2022-11-16,1316812200,-1.32%
2022-11-15,1334438820,
2022-11-14,1334438820,-0.39%
2022-11-11,1339623120,-0.08%
2022-11-10,1340659980,3.44%
2022-11-09,1296075000,-2.95%
2022-11-08,1335475680,0.16%
2022-11-07,1333401960,1.66%
2022-11-04,1311627900,1.52%
2022-11-03,1291927560,3.32%
2022-11-02,1250453160,-2.03%
2022-11-01,1276374660,0.49%
2022-10-31,1270153500,0.25%
2022-10-28,1267042920,1.33%
2022-10-27,1250453160,1.77%
2022-10-26,1228679100,0.77%
2022-10-25,1219347360,6.72%
2022-10-24,1142619720,0.64%
2022-10-21,1135361700,2.91%
2022-10-20,1103219040,-1.57%
2022-10-19,1120845660,-1.64%
2022-10-18,1139509140,1.38%
2022-10-17,1123956240,3.44%
2022-10-14,1086629280,-0.66%
2022-10-13,1093887300,3.53%
2022-10-12,1056560340,-5.12%
2022-10-11,1113587640,2.48%
2022-10-10,1086629280,-0.29%
2022-10-07,1089739860,-2.14%
2022-10-06,1113587640,-4.19%
2022-10-05,1162320060,-1.49%
2022-10-04,1179946680,4.60%
2022-10-03,1128103680,2.16%
2022-09-30,1104255900,3.27%
2022-09-29,1069301650,-8.11%
2022-09-28,1163682300,2.37%
2022-09-27,1136716400,-2.92%
2022-09-26,1170942350,-7.15%
2022-09-23,1261174400,-2.72%
2022-09-22,1296437500,-2.50%
2022-09-21,1329626300,-1.08%
2022-09-20,1344146400,-2.34%
2022-09-19,1376298050,
2022-09-16,1376298050,1.92%
2022-09-15,1350369300,-0.84%
2022-09-14,1361777950,-0.61%
2022-09-13,1370075150,-3.86%
2022-09-12,1425044100,1.25%
2022-09-09,1407412550,0.67%
2022-09-08,1398078200,
2022-09-07,1398078200,1.66%
2022-09-06,1375260900,-0.30%
2022-09-02,1379409500,-1.26%
2022-09-01,1397041050,-2.18%
2022-08-31,1428155550,-0.43%
2022-08-30,1434378450,-1.21%
2022-08-29,1452010000,-0.21%
2022-08-26,1455121450,-2.09%
2022-08-25,1486235950,1.20%
2022-08-24,1468604400,-0.07%
2022-08-23,1469641550,0.21%
2022-08-22,1466530100,-2.62%
2022-08-19,1505941800,-0.55%
2022-08-18,1514239000,
2022-08-17,1514239000,-2.14%
2022-08-16,1547427800,-0.53%
2022-08-15,1555725000,0.07%
2022-08-12,1554687850,0.81%
2022-08-11,1542242050,0.20%
2022-08-10,1539130600,0.54%
2022-08-09,1530833400,0.20%
2022-08-08,1527721950,1.10%
2022-08-05,1511127550,0.97%
2022-08-04,1496607450,-2.57%
2022-08-03,1536019150,-0.54%
2022-08-02,1544316350,-2.23%
2022-08-01,1579579450,0.93%
2022-07-29,1565059350,-0.26%
2022-07-28,1569207950,1.00%
2022-07-27,1553650700,-0.20%
2022-07-26,1556762150,-0.40%
2022-07-25,1562985050,0.67%
2022-07-22,1552613550,-0.40%
2022-07-21,1558836450,0.47%
2022-07-20,1551576400,0.94%
2022-07-19,1537056300,2.07%
2022-07-18,1505941800,-0.68%
2022-07-15,1516313300,3.61%
2022-07-14,1463418650,-0.21%
2022-07-13,1466530100,-0.56%
2022-07-12,1474827300,2.08%
2022-07-11,1444749950,
2022-07-08,1444749950,-3.40%
2022-07-07,1495570300,0.56%
2022-07-06,1487273100,-0.35%
2022-07-05,1492458850,0.07%
2022-07-01,1491421700,1.55%
2022-06-30,1468604400,-0.15%
2022-06-29,1470783680,-1.05%
2022-06-28,1486331076,-0.83%
2022-06-27,1498768993,0.28%
2022-06-24,1494623021,1.91%
2022-06-23,1466637708,2.69%
2022-06-22,1428287464,2.45%
2022-06-21,1394083192,1.05%
2022-06-17,1379572289,1.84%
2022-06-16,1354696455,-3.04%
2022-06-15,1397192671,2.67%
2022-06-14,1360915414,-1.13%
2022-06-13,1376462810,-5.75%
2022-06-10,1460418749,-0.21%
2022-06-09,1463528228,-1.88%
2022-06-08,1491513542,-0.83%
2022-06-07,1503951459,0.83%
2022-06-06,1491513542,-0.83%
2022-06-03,1503951459,-0.75%
2022-06-02,1515352882,0.48%
2022-06-01,1508097431,0.55%
2022-05-31,1499805486,0.07%
2022-05-27,1498768993,1.33%
2022-05-26,1479075625,0.21%
2022-05-25,1475966145,0.78%
2022-05-24,1464564722,2.61%
2022-05-23,1427250971,0.95%
2022-05-20,1413776561,-0.29%
2022-05-19,1417922533,-2.70%
2022-05-18,1457309270,-0.85%
2022-05-17,1469747187,3.50%
2022-05-16,1419995519,1.33%
2022-05-13,1401338644,2.74%
2022-05-12,1364024893,2.02%
2022-05-11,1337076073,0.23%
2022-05-10,1333966593,-3.23%
2022-05-09,1378535796,-2.85%
2022-05-06,1418959026,-1.65%
2022-05-05,1442798367,-0.64%
2022-05-04,1452126805,1.67%
2022-05-03,1428287464,1.62%
2022-05-02,1405484616,-3.35%
2022-04-29,1454199791,-4.30%
2022-04-28,1519498855,1.73%
2022-04-27,1493586528,-1.64%
2022-04-26,1518462362,-2.14%
2022-04-25,1551630140,-0.73%
2022-04-22,1563031564,-0.98%
2022-04-21,1578578960,0.40%
2022-04-20,1572360002,-0.07%
2022-04-19,1573396495,0.46%
2022-04-18,1566141043,-0.07%
2022-04-14,1567177536,-0.13%
2022-04-13,1569250523,1.20%
2022-04-12,1550593647,-0.66%
2022-04-11,1560958578,-0.07%
2022-04-08,1561995071,-4.26%
2022-04-07,1631440107,-0.19%
2022-04-06,1634549587,1.09%
2022-04-05,1616929204,-1.70%
2022-04-04,1644914517,-0.56%
2022-04-01,1654242955,1.46%
2022-03-31,1630403614,0.56%
2022-03-30,1621280248,-1.14%
2022-03-29,1639927561,3.67%
2022-03-28,1581913699,
2022-03-25,1581913699,1.60%
2022-03-24,1557050615,0.54%
2022-03-23,1548762920,-0.93%
2022-03-22,1563266386,1.28%
2022-03-21,1543583111,-1.19%
2022-03-18,1562230424,0.33%
2022-03-17,1557050615,1.97%
2022-03-16,1527007722,0.14%
2022-03-15,1524935799,-1.27%
2022-03-14,1544619073,0.34%
2022-03-11,1539439264,-0.54%
2022-03-10,1547726959,0.40%
2022-03-09,1541511188,-0.33%
2022-03-08,1546690997,2.33%
2022-03-07,1511468295,-2.21%
2022-03-04,1545655035,0.27%
2022-03-03,1541511188,1.22%
2022-03-02,1522863875,4.03%
2022-03-01,1463814051,-0.56%
2022-02-28,1472101746,-1.59%
2022-02-25,1495928868,1.33%
2022-02-24,1476245593,1.79%
2022-02-23,1450346548,-1.62%
2022-02-22,1474173669,-1.52%
2022-02-18,1496964829,-0.48%
2022-02-17,1504216562,0.14%
2022-02-16,1502144639,2.11%
2022-02-15,1471065784,0.85%
2022-02-14,1458634242,-1.68%
2022-02-11,1483497326,2.58%
2022-02-10,1446202700,-0.99%
2022-02-09,1460706166,1.51%
2022-02-08,1438950967,-0.43%
2022-02-07,1445166738,0.43%
2022-02-04,1438950967,-0.86%
2022-02-03,1451382509,-1.55%
2022-02-02,1474173669,-0.77%
2022-02-01,1485569249,
2022-01-31,1485569249,1.63%
2022-01-28,1461742128,2.32%
2022-01-27,1428591349,-1.50%
2022-01-26,1450346548,-1.06%
2022-01-25,1465885975,1.00%
2022-01-24,1451382509,-0.57%
2022-01-21,1459670204,-0.42%
2022-01-20,1465885975,-2.48%
2022-01-19,1503180600,-2.09%
2022-01-18,1535295417,-1.72%
2022-01-14,1562230424,0.07%
2022-01-13,1561194462,1.28%
2022-01-12,1541511188,-5.10%
2022-01-11,1624388133,0.64%
2022-01-10,1614028515,-0.26%
2022-01-07,1618172362,-0.06%
2022-01-06,1619208324,0.64%
2022-01-05,1608848706,-1.90%
2022-01-04,1639927561,1.93%
2022-01-03,1608848706,1.64%
2021-12-31,1582949660,-0.31%
2021-12-30,1587896730,0.26%
2021-12-29,1583753490,0.99%
2021-12-28,1568216340,0.40%
2021-12-27,1562001480,0.87%
2021-12-23,1548535950,-0.13%
2021-12-22,1550607570,0.34%
2021-12-21,1545428520,4.48%
2021-12-20,1479136680,-3.64%
2021-12-17,1535070420,-0.13%
2021-12-16,1537142040,-0.47%
2021-12-15,1544392710,0.74%
2021-12-14,1532998800,-1.73%
2021-12-13,1559929860,-0.86%
2021-12-10,1573395390,0.26%
2021-12-09,1569252150,-0.98%
2021-12-08,1584789300,0.72%
2021-12-07,1573395390,0.33%
2021-12-06,1568216340,4.13%
2021-12-03,1506067740,1.25%
2021-12-02,1487423160,4.06%
2021-12-01,1429417800,-2.82%
2021-11-30,1470850200,-1.66%
2021-11-29,1495709640,-0.35%
2021-11-26,1500888690,-3.40%
2021-11-24,1553715000,0.13%
2021-11-23,1551643380,-0.99%
2021-11-22,1567180530,1.20%
2021-11-19,1548535950,-1.90%
2021-11-18,1578574440,-0.91%
