Date,Market Cap,% Change
2023-04-26,1529706550,-1.49%
2023-04-25,1552837899,-0.15%
2023-04-24,1555174400,-1.54%
2023-04-21,1579473999,-0.44%
2023-04-20,1586483500,1.53%
2023-04-19,1562651200,1.03%
2023-04-18,1546763000,-1.93%
2023-04-17,1577137500,0.36%
2023-04-14,1571529900,-1.95%
2023-04-13,1602838999,-0.52%
2023-04-12,1611250399,0.26%
2023-04-11,1607044700,-0.43%
2023-04-10,1614054200,-0.20%
2023-04-06,1617325300,0.35%
2023-04-05,1611717700,-0.66%
2023-04-04,1622465600,-1.92%
2023-04-03,1654242000,-1.75%
2023-03-31,1683681900,0.95%
2023-03-30,1667793700,0.31%
2023-03-29,1662653400,1.08%
2023-03-28,1644896000,1.00%
2023-03-27,1628540500,-0.43%
2023-03-24,1635550000,3.34%
2023-03-23,1582745099,0.68%
2023-03-22,1571997200,-4.76%
2023-03-21,1650503600,-0.08%
2023-03-20,1651905500,1.81%
2023-03-17,1622465600,-1.75%
2023-03-16,1651438200,-1.17%
2023-03-15,1671064800,-1.73%
2023-03-14,1700504700,3.56%
2023-03-13,1642092200,1.77%
2023-03-10,1613586900,-2.68%
2023-03-09,1657980399,0.20%
2023-03-08,1654709299,0.68%
2023-03-07,1643494100,0.77%
2023-03-06,1630877000,-0.09%
2023-03-03,1632278900,3.01%
2023-03-02,1584614299,-0.26%
2023-03-01,1588820000,-0.96%
2023-02-28,1604240900,-0.44%
2023-02-27,1611250399,0.26%
2023-02-24,1607044700,-1.12%
2023-02-23,1625269400,2.26%
2023-02-22,1589287300,-0.70%
2023-02-21,1600502500,-1.27%
2023-02-17,1621063700,-0.23%
2023-02-16,1624802100,0.29%
2023-02-15,1620129100,0.84%
2023-02-14,1606577400,-1.88%
2023-02-13,1637419200,0.09%
2023-02-10,1636017300,0.34%
2023-02-09,1630409700,-1.61%
2023-02-08,1657045800,-0.76%
2023-02-07,1669662899,-0.17%
2023-02-06,1672466700,0.62%
2023-02-03,1662186100,-0.64%
2023-02-02,1672933999,0.39%
2023-02-01,1666391799,-2.11%
2023-01-31,1702373900,1.82%
2023-01-30,1671999400,-0.86%
2023-01-27,1686485700,0.56%
2023-01-26,1677139700,0.48%
2023-01-25,1669195600,0.11%
2023-01-24,1667326400,0.90%
2023-01-23,1652372800,-0.37%
2023-01-20,1658447700,1.60%
2023-01-19,1632278900,0.98%
2023-01-18,1616390700,-1.45%
2023-01-17,1640223000,0.72%
2023-01-13,1628540500,-1.27%
2023-01-12,1649568999,-0.51%
2023-01-11,1657980399,3.02%
2023-01-10,1609381200,0.53%
2023-01-09,1600969800,0.03%
2023-01-06,1600502500,-0.52%
2023-01-05,1608913900,0.88%
2023-01-04,1594894900,0.95%
2023-01-03,1579941300,-0.13%
2022-12-30,1581945900,-0.91%
2022-12-29,1596433439,1.21%
2022-12-28,1577272500,-5.09%
2022-12-27,1661861040,1.72%
2022-12-23,1633820640,1.39%
2022-12-22,1611388319,-0.61%
2022-12-21,1621202460,0.58%
