Date,Market Cap,% Change
2023-04-25,3921007679,-1.78%
2023-04-24,3992146559,-0.79%
2023-04-21,4024054440,0.63%
2023-04-20,3998946600,0.13%
2023-04-19,3993715799,-1.50%
2023-04-18,4054393080,-0.93%
2023-04-17,4092577919,3.08%
2023-04-14,3970177200,0.41%
2023-04-13,3953961720,1.12%
2023-04-12,3910023000,-1.85%
2023-04-11,3983777280,1.12%
2023-04-10,3939838559,-0.55%
2023-04-06,3961807919,0.29%
2023-04-05,3950300160,-2.42%
2023-04-04,4048116120,-2.90%
2023-04-03,4168947600,-0.37%
2023-03-31,4184640000,2.09%
2023-03-30,4098854880,1.98%
2023-03-29,4019346720,0.26%
2023-03-28,4008885120,0.49%
2023-03-27,3989531160,0.08%
2023-03-24,3986392679,1.69%
2023-03-23,3919961520,-1.50%
2023-03-22,3979592640,-2.71%
2023-03-21,4090485600,3.45%
2023-03-20,3953961720,1.22%
2023-03-17,3906361440,-5.02%
2023-03-16,4112978040,4.02%
2023-03-15,3953961720,0.48%
2023-03-14,3935130840,0.13%
2023-03-13,3929900040,-0.31%
2023-03-10,3941930880,-4.29%
2023-03-09,4118731919,-3.94%
2023-03-08,4287686760,1.94%
2023-03-07,4206086280,-3.90%
2023-03-06,4376610360,-1.09%
2023-03-03,4424733720,1.24%
2023-03-02,4370333400,1.19%
2023-03-01,4319071560,-0.66%
2023-02-28,4347840960,-1.50%
2023-02-27,4414272120,1.87%
2023-02-24,4333194720,-2.55%
2023-02-23,4446703080,-0.83%
2023-02-22,4483841760,-0.12%
2023-02-21,4489072560,-2.59%
2023-02-17,4608334800,-1.13%
2023-02-16,4661165880,-0.08%
2023-02-15,4664827440,1.36%
2023-02-14,4602057840,1.35%
2023-02-13,4540857480,1.81%
2023-02-10,4460303160,1.91%
2023-02-09,4376610360,-2.88%
2023-02-08,4506334200,-1.10%
2023-02-07,4556549880,1.51%
2023-02-06,4488549480,-2.49%
2023-02-03,4603104000,-0.16%
2023-02-02,4610427120,4.52%
2023-02-01,4411133640,-1.36%
2023-01-31,4471810920,0.14%
2023-01-30,4465533960,-0.85%
2023-01-27,4503718800,2.31%
2023-01-26,4402241280,0.72%
2023-01-25,4370856480,0.84%
2023-01-24,4334240880,1.62%
2023-01-23,4265194320,0.90%
2023-01-20,4227009480,-0.26%
2023-01-19,4237994160,-0.34%
2023-01-18,4252640400,-1.60%
2023-01-17,4321686960,0.67%
2023-01-13,4292917559,-0.32%
2023-01-12,4306517640,1.74%
