Date,Market Cap,% Change
2023-04-25,733528142,-7.88%
2023-04-24,796240923,-0.53%
2023-04-21,800468750,-2.57%
2023-04-20,821607890,-5.97%
2023-04-19,873751101,10.71%
2023-04-18,789194543,-5.08%
2023-04-17,831472822,4.61%
2023-04-14,794831647,-5.05%
2023-04-13,837109926,-2.14%
2023-04-12,855430513,-5.89%
2023-04-11,908983000,1.26%
2023-04-10,897708792,-2.15%
2023-04-06,917438656,0.62%
2023-04-05,911801552,0.62%
2023-04-04,906164448,-2.43%
2023-04-03,928712864,-0.90%
2023-03-31,937168520,3.26%
2023-03-30,907573724,1.58%
2023-03-29,893480964,7.82%
2023-03-28,828654270,
2023-03-27,828654270,2.62%
2023-03-24,807515130,4.56%
2023-03-23,772283231,-9.12%
2023-03-22,849793409,-7.94%
2023-03-21,923075760,4.13%
2023-03-20,886434585,1.78%
2023-03-17,870932549,-11.08%
2023-03-16,979446799,-6.84%
2023-03-15,1051319873,0.40%
2023-03-14,1047092045,-4.13%
2023-03-13,1092188876,-2.76%
2023-03-10,1123192948,-8.07%
2023-03-09,1221842265,-2.69%
2023-03-08,1255664889,1.02%
2023-03-07,1242981405,-4.44%
2023-03-06,1300761720,0.54%
2023-03-03,1293715340,0.55%
2023-03-02,1286668960,-0.33%
2023-03-01,1290896788,-0.76%
2023-02-28,1300761720,-1.18%
2023-02-27,1316263755,-0.74%
2023-02-24,1326128687,-2.08%
2023-02-23,1354314207,-0.21%
2023-02-22,1357132759,-0.72%
2023-02-21,1366997690,-4.53%
2023-02-17,1431824385,-2.59%
2023-02-16,1469874836,-2.80%
2023-02-15,1512153115,1.71%
2023-02-14,1486786148,-0.66%
2023-02-13,1496651080,1.14%
2023-02-10,1479739768,
2023-02-09,1479739768,-2.23%
2023-02-08,1513562391,-1.10%
2023-02-07,1530473703,-0.09%
2023-02-06,1531882979,-3.21%
2023-02-03,1582616914,-5.07%
2023-02-02,1667173472,3.41%
2023-02-01,1612211709,0.44%
2023-01-31,1605165329,5.17%
2023-01-30,1526245875,-0.91%
2023-01-27,1540338635,8.22%
2023-01-26,1423368729,-0.88%
2023-01-25,1436052213,0.79%
2023-01-24,1424778005,-1.46%
2023-01-23,1445917145,0.29%
2023-01-20,1441689317,0.69%
2023-01-19,1431824385,-2.21%
2023-01-18,1464237732,-0.67%
2023-01-17,1474102664,-1.04%
2023-01-13,1489604700,
2023-01-12,1489604700,4.14%
2023-01-11,1430415109,5.29%
2023-01-10,1358542035,2.01%
2023-01-09,1331765791,-1.56%
2023-01-06,1352904931,4.58%
2023-01-05,1293715340,-5.36%
2023-01-04,1366997690,2.54%
2023-01-03,1333175067,-4.67%
2022-12-30,1398516573,
2022-12-29,1398516573,3.18%
2022-12-28,1355396843,-3.97%
2022-12-27,1411452492,0.82%
2022-12-23,1399953897,0.41%
2022-12-22,1394204600,0.41%
2022-12-21,1388455302,0.10%
2022-12-20,1387017978,-0.10%
2022-12-19,1388455302,-2.91%
2022-12-16,1430137708,-5.60%
2022-12-15,1514939843,-2.59%
2022-12-14,1555184925,3.24%
2022-12-13,1506315897,1.75%
2022-12-12,1480444059,
2022-12-09,1480444059,4.25%
2022-12-08,1420076438,1.13%
2022-12-07,1404265870,-3.65%
2022-12-06,1457446870,-5.06%
