Date,Market Cap,% Change
2023-04-25,248042843,-1.87%
2023-04-24,252782515,-0.78%
2023-04-21,254757378,0.31%
2023-04-20,253967433,-1.98%
2023-04-19,259102078,-0.15%
2023-04-18,259497050,-0.15%
2023-04-17,259892023,2.33%
2023-04-14,253967433,0.47%
2023-04-13,252782515,1.27%
2023-04-12,249622733,-1.40%
2023-04-11,253177487,0.31%
2023-04-10,252387542,-0.31%
2023-04-06,253177487,0.31%
2023-04-05,252387542,-1.24%
2023-04-04,255547323,-1.37%
2023-04-03,259102078,-2.38%
2023-03-31,265421640,1.97%
2023-03-30,260286996,-1.64%
2023-03-29,264631695,5.02%
2023-03-28,251992569,3.07%
2023-03-27,244488088,2.65%
2023-03-24,238168526,1.86%
2023-03-23,233823826,0.34%
2023-03-22,233033881,-5.14%
2023-03-21,245673006,1.97%
2023-03-20,240933334,0.83%
2023-03-17,238958471,-8.05%
2023-03-16,259892023,-1.35%
2023-03-15,263446777,-1.48%
2023-03-14,267396504,-1.17%
2023-03-13,270556285,-5.26%
2023-03-10,285565247,-2.17%
2023-03-09,291884810,-5.62%
2023-03-08,309263608,0.38%
2023-03-07,308078690,-2.99%
2023-03-06,317558034,-4.96%
2023-03-03,334146887,-0.12%
2023-03-02,334541859,0.24%
2023-03-01,333751914,1.08%
2023-02-28,330197160,-1.88%
2023-02-27,336516723,0.47%
2023-02-24,334936832,-1.85%
2023-02-23,341256395,0.23%
2023-02-22,340466450,1.06%
2023-02-21,336911696,-0.12%
2023-02-17,337306668,-2.51%
2023-02-16,345996067,-6.51%
2023-02-15,370089401,0.75%
2023-02-14,367324592,-0.64%
2023-02-13,369694428,3.31%
2023-02-10,357845248,-1.95%
2023-02-09,364954756,2.33%
2023-02-08,356660330,-3.94%
2023-02-07,371274319,1.84%
2023-02-06,364559783,-1.07%
2023-02-03,368509510,-0.53%
2023-02-02,370484373,1.52%
2023-02-01,364954756,0.43%
2023-01-31,363374865,1.32%
2023-01-30,358635193,-1.63%
2023-01-27,364559783,1.21%
2023-01-26,360215084,-0.55%
2023-01-25,362189947,1.55%
2023-01-24,356660330,0.33%
2023-01-23,355475412,1.35%
2023-01-20,350735739,3.38%
2023-01-19,339281532,-0.46%
2023-01-18,340861422,0.23%
2023-01-17,340071477,-0.12%
2023-01-13,340466450,-1.49%
2023-01-12,345601095,2.10%
2023-01-11,338491586,4.13%
2023-01-10,325062515,1.98%
2023-01-09,318742952,-0.49%
2023-01-06,320322843,1.38%
2023-01-05,315978144,-2.68%
2023-01-04,324667542,0.61%
2023-01-03,322692679,-1.91%
2022-12-30,328987556,0.35%
2022-12-29,327829149,-1.51%
2022-12-28,332848913,-2.93%
2022-12-27,342888439,-1.00%
2022-12-23,346363660,2.16%
2022-12-22,339027083,-1.90%
2022-12-21,345591388,-3.97%
2022-12-20,359878407,
2022-12-19,359878407,-1.89%
2022-12-16,366828848,-2.06%
2022-12-15,374551561,-0.82%
2022-12-14,377640646,-0.91%
2022-12-13,381115866,0.10%
2022-12-12,380729731,3.57%
2022-12-09,367601119,1.06%
2022-12-08,363739763,3.06%
2022-12-07,352927965,-2.04%
2022-12-06,360264542,0.76%
2022-12-05,357561593,-2.22%
2022-12-02,365670441,-0.94%
2022-12-01,369145662,-0.73%
2022-11-30,371848611,1.48%
2022-11-29,366442712,1.28%
2022-11-28,361809085,-0.74%
2022-11-25,364512034,-0.74%
2022-11-23,367214984,-2.56%
2022-11-22,376868374,2.20%
2022-11-21,368759526,-1.04%
2022-11-18,372620882,2.33%
2022-11-17,364125899,-1.67%
2022-11-16,370304069,-2.14%
2022-11-15,378412917,0.62%
2022-11-14,376096103,-2.60%
2022-11-11,386135630,0.91%
2022-11-10,382660409,10.97%
2022-11-09,344819117,-0.78%
2022-11-08,347522067,1.81%
2022-11-07,341343896,-0.23%
2022-11-04,342116168,-0.23%
2022-11-03,342888439,-1.99%
2022-11-02,349838880,-4.43%
2022-11-01,366056577,3.61%
2022-10-31,353314101,1.78%
2022-10-28,347135931,1.93%
2022-10-27,340571625,2.80%
2022-10-26,331304370,0.70%
2022-10-25,328987556,3.02%
2022-10-24,319334166,0.49%
2022-10-21,317789623,2.49%
2022-10-20,310066910,-1.83%
2022-10-19,315858945,-0.85%
2022-10-18,318561894,1.73%
2022-10-17,313155995,4.51%
2022-10-14,299641248,-2.14%
2022-10-13,306205554,1.93%
2022-10-12,300413520,-0.26%
2022-10-11,301185791,-0.13%
2022-10-10,301571927,-0.89%
2022-10-07,304274876,-3.19%
2022-10-06,314314402,-1.81%
2022-10-05,320106437,-1.31%
2022-10-04,324353929,4.22%
2022-10-03,311225317,1.00%
2022-09-30,308136232,-2.04%
2022-09-29,314541190,-3.39%
2022-09-28,325591571,2.23%
2022-09-27,318487755,0.62%
2022-09-26,316514472,-0.25%
2022-09-23,317303785,-3.48%
2022-09-22,328748822,-7.55%
2022-09-21,355585461,-8.90%
2022-09-20,390315229,-0.80%
2022-09-19,393472480,2.36%
2022-09-16,384395382,-0.51%
2022-09-15,386368664,-3.26%
2022-09-14,399392327,2.33%
2022-09-13,390315229,-6.08%
2022-09-12,415573241,1.15%
2022-09-09,410837364,3.38%
2022-09-08,397419045,-1.47%
2022-09-07,403338891,9.42%
2022-09-06,368609124,-1.58%
2022-09-02,374528971,-0.32%
2022-09-01,375712940,-1.86%
2022-08-31,382816756,-2.71%
2022-08-30,393472480,-2.54%
2022-08-29,403733548,-4.03%
2022-08-26,420703775,-5.91%
2022-08-25,447145757,3.19%
2022-08-24,433332782,0.73%
2022-08-23,430175530,-0.09%
2022-08-22,430570186,-2.33%
2022-08-19,440831254,-3.96%
2022-08-18,458985451,0.61%
2022-08-17,456222856,-2.20%
2022-08-16,466483923,1.37%
2022-08-15,460169420,5.62%
2022-08-12,435700720,2.89%
2022-08-11,423466370,
2022-08-10,423466370,2.78%
2022-08-09,412021333,-0.67%
2022-08-08,414783928,0.48%
2022-08-05,412810646,1.36%
2022-08-04,407285456,-3.73%
2022-08-03,423071714,6.14%
2022-08-02,398603014,-1.94%
2022-08-01,406496143,2.18%
2022-07-29,397813701,0.60%
2022-07-28,395445762,0.80%
2022-07-27,392288511,-0.60%
2022-07-26,394656450,-0.40%
2022-07-25,396235075,3.72%
2022-07-22,382027443,-3.20%
2022-07-21,394656450,-4.21%
2022-07-20,412021333,0.97%
2022-07-19,408074769,5.62%
2022-07-18,386368664,2.94%
2022-07-15,375318283,2.92%
2022-07-14,364662559,-2.84%
2022-07-13,375318283,0.11%
2022-07-12,374923627,2.93%
2022-07-11,364267903,-3.95%
2022-07-08,379264848,-1.44%
2022-07-07,384790038,3.28%
2022-07-06,372555688,-4.36%
2022-07-05,389525916,1.75%
2022-07-01,382816756,-1.12%
2022-06-30,387157977,1.62%
2022-06-29,380989509,-1.82%
2022-06-28,388059417,-0.60%
2022-06-27,390416053,-1.19%
2022-06-24,395129326,9.59%
2022-06-23,360565329,
2022-06-22,360565329,-2.55%
2022-06-21,369991873,2.06%
2022-06-17,362529192,-2.64%
2022-06-16,372348510,-10.82%
2022-06-15,417517369,6.09%
2022-06-14,393558235,1.01%
2022-06-13,389630508,-15.21%
2022-06-10,459544047,-2.01%
2022-06-09,468970591,-0.50%
2022-06-08,471327228,0.59%
2022-06-07,468577819,3.11%
2022-06-06,454438002,1.85%
2022-06-03,446189775,1.16%
2022-06-02,441083730,-0.18%
2022-06-01,441869276,2.46%
2022-05-31,431264413,-0.90%
2022-05-27,435192140,5.52%
2022-05-26,412411324,1.45%
2022-05-25,406519734,6.05%
2022-05-24,383346145,-1.61%
2022-05-23,389630508,-0.50%
2022-05-20,391594371,-2.06%
2022-05-19,399842598,-3.42%
2022-05-18,413982415,-2.32%
2022-05-17,423801732,4.25%
2022-05-16,406519734,0.78%
2022-05-13,403377552,3.53%
2022-05-12,389630508,-0.80%
2022-05-11,392772690,-0.20%
2022-05-10,393558235,2.98%
2022-05-09,382167827,-5.90%
2022-05-06,406126961,3.82%
2022-05-05,391201599,-4.87%
2022-05-04,411233006,3.97%
2022-05-03,395522098,2.65%
2022-05-02,385310008,0.31%
2022-04-29,384131690,-5.69%
2022-04-28,407305279,6.36%
2022-04-27,382953372,1.46%
2022-04-26,377454555,-1.84%
2022-04-25,384524463,2.84%
2022-04-22,373919600,-0.31%
2022-04-21,375097918,-1.14%
2022-04-20,379418418,0.21%
2022-04-19,378632873,3.66%
2022-04-18,365278601,-2.00%
2022-04-14,372741282,0.42%
2022-04-13,371170192,7.14%
2022-04-12,346425512,1.97%
2022-04-11,339748376,4.09%
2022-04-08,326394105,-1.66%
2022-04-07,331892923,-2.20%
2022-04-06,339355604,-2.92%
2022-04-05,349567694,-3.37%
2022-04-04,361743647,-0.22%
2022-04-01,362529192,1.65%
2022-03-31,356637602,-0.98%
2022-03-30,360171904,-2.13%
2022-03-29,368001728,4.21%
2022-03-28,353125062,-0.55%
2022-03-25,355082518,1.45%
2022-03-24,349993132,0.34%
2022-03-23,348818659,-1.33%
2022-03-22,353516553,0.78%
2022-03-21,350776115,-2.08%
2022-03-18,358214448,-0.65%
2022-03-17,360563395,0.11%
2022-03-16,360171904,4.43%
2022-03-15,344903747,0.69%
2022-03-14,342554800,-1.91%
2022-03-11,349210150,-2.83%
2022-03-10,359388921,0.88%
2022-03-09,356256992,3.76%
2022-03-08,343337782,4.78%
2022-03-07,327678134,-4.01%
2022-03-04,341380326,-3.11%
2022-03-03,352342080,-1.64%
2022-03-02,358214448,4.33%
2022-03-01,343337782,-4.98%
2022-02-28,361346377,-1.91%
2022-02-25,368393219,1.29%
2022-02-24,363695324,2.09%
2022-02-23,356256992,-3.09%
2022-02-22,367610236,-5.06%
2022-02-18,387184796,-3.32%
2022-02-17,400495497,-1.63%
2022-02-16,407150848,3.79%
2022-02-15,392274182,6.48%
2022-02-14,368393219,0.11%
2022-02-11,368001728,-2.89%
2022-02-10,378963481,-0.31%
2022-02-09,380137955,1.25%
2022-02-08,375440060,2.35%
2022-02-07,366827254,1.30%
2022-02-04,362129360,4.99%
2022-02-03,344903747,-1.45%
2022-02-02,349993132,-2.51%
2022-02-01,358997430,1.66%
2022-01-31,353125062,6.12%
2022-01-28,332767520,1.31%
2022-01-27,328461116,-5.30%
2022-01-26,346861203,-2.85%
2022-01-25,357039974,1.22%
2022-01-24,352733571,-0.22%
2022-01-21,353516553,-1.95%
2022-01-20,360563395,-0.86%
2022-01-19,363695324,-1.90%
2022-01-18,370742166,-0.53%
2022-01-14,372699622,0.42%
2022-01-13,371133657,1.28%
2022-01-12,366435763,-1.99%
2022-01-11,373874096,2.47%
2022-01-10,364869798,-4.80%
2022-01-07,383269884,3.93%
2022-01-06,368784710,0.75%
2022-01-05,366044272,-5.75%
2022-01-04,388359270,3.33%
2022-01-03,375831552,4.69%
2021-12-31,358997430,0.66%
2021-12-30,356648483,-1.41%
2021-12-29,361737868,-2.43%
2021-12-28,370742166,-0.63%
2021-12-27,373091113,-0.10%
2021-12-23,373482604,0.63%
2021-12-22,371133657,2.71%
2021-12-21,361346377,7.33%
2021-12-20,336682432,
2021-12-17,336682432,1.06%
2021-12-16,333159011,-1.96%
2021-12-15,339814361,-0.80%
2021-12-14,342554800,-0.34%
2021-12-13,343729273,-4.36%
2021-12-10,359388921,-1.92%
2021-12-09,366435763,-3.21%
2021-12-08,378571990,3.09%
2021-12-07,367218745,2.29%
2021-12-06,358997430,8.39%
2021-12-03,331201555,0.48%
2021-12-02,329635590,0.96%
2021-12-01,326503660,-5.55%
2021-11-30,345686729,-3.60%
2021-11-29,358605939,-6.15%
2021-11-26,382095411,-2.59%
2021-11-24,392274182,1.21%
2021-11-23,387576288,-2.75%
2021-11-22,398538041,-1.07%
2021-11-19,402844444,-0.68%
2021-11-18,405584883,-1.52%
2021-11-17,411848742,-3.22%
2021-11-16,425550934,-2.95%
2021-11-15,438470144,0.36%
2021-11-12,436904179,3.14%
2021-11-11,423593478,-2.70%
2021-11-10,435338214,-5.12%
2021-11-09,458827686,4.09%
2021-11-08,440819091,0.45%
2021-11-05,438861635,6.66%
2021-11-04,411457251,-0.19%
2021-11-03,412240233,7.34%
2021-11-02,384052867,3.59%
2021-11-01,370742166,6.05%
2021-10-29,349601641,9.30%
2021-10-28,319848310,0.49%
2021-10-27,318282345,-2.87%
2021-10-26,327678134,-3.01%
2021-10-25,337856905,-0.46%
2021-10-22,339422870,-2.91%
2021-10-21,349601641,-0.11%
2021-10-20,349993132,-0.33%
2021-10-19,351167606,-0.66%
2021-10-18,353516553,-0.11%
2021-10-15,353908044,1.01%
2021-10-14,350384624,0.67%
2021-10-13,348035676,-1.00%
2021-10-12,351559097,1.47%
2021-10-11,346469712,0.23%
2021-10-08,345686729,-1.67%
2021-10-07,351559097,-1.54%
2021-10-06,357039974,-1.41%
2021-10-05,362129360,-1.28%
2021-10-04,366827254,-2.60%
2021-10-01,376614534,3.11%
2021-09-30,365261289,-1.77%
2021-09-29,371826295,-1.96%
2021-09-28,379262820,-2.32%
2021-09-27,388264931,1.85%
2021-09-24,381219801,-0.61%
2021-09-23,383568178,1.87%
2021-09-22,376523048,3.00%
