Date,Market Cap,% Change
2023-04-25,677874170,0.02%
2023-04-24,677772280,
2023-04-21,677772280,-0.09%
2023-04-20,678383620,0.09%
2023-04-19,677772280,0.08%
2023-04-18,677262830,0.06%
2023-04-17,676855270,
2023-04-14,676855270,0.12%
2023-04-13,676040150,0.02%
2023-04-12,675938260,-0.05%
2023-04-11,676243930,0.09%
2023-04-10,675632590,-0.03%
2023-04-06,675836370,-0.03%
2023-04-05,676040150,-0.05%
2023-04-04,676345820,0.21%
2023-04-03,674919360,-0.08%
2023-03-31,675428810,0.29%
2023-03-30,673492900,
2023-03-29,673492900,0.08%
2023-03-28,672983450,-0.03%
2023-03-27,673187229,0.05%
2023-03-24,672881560,0.12%
2023-03-23,672066439,0.14%
2023-03-22,671149430,-0.36%
2023-03-21,673594790,0.14%
2023-03-20,672677780,0.40%
2023-03-17,670028640,-0.27%
2023-03-16,671862660,-0.03%
2023-03-15,672066439,-0.33%
2023-03-14,674308020,0.72%
2023-03-13,669519189,-0.59%
2023-03-10,673492900,-0.11%
2023-03-09,674206130,-0.17%
2023-03-08,675326920,0.11%
2023-03-07,674613689,-0.06%
2023-03-06,675021250,-0.20%
2023-03-03,676345820,0.02%
2023-03-02,676243930,0.03%
2023-03-01,676040150,-0.27%
2023-02-28,677874170,0.06%
2023-02-27,677466610,0.17%
2023-02-24,676345820,0.23%
2023-02-23,674817470,0.09%
2023-02-22,674206130,5.18%
2023-02-21,640989990,-0.63%
2023-02-17,645065590,0.25%
2023-02-16,643435350,-0.35%
2023-02-15,645676930,
2023-02-14,645676930,0.08%
2023-02-13,645167480,-0.14%
2023-02-10,646084490,0.20%
2023-02-09,644810865,-0.45%
2023-02-08,647714730,-0.33%
2023-02-07,649854420,-0.34%
2023-02-06,652096000,
2023-02-03,652096000,0.61%
2023-02-02,648122290,-0.33%
2023-02-01,650261980,-0.44%
2023-01-31,653114900,0.19%
2023-01-30,651892220,-0.02%
2023-01-27,651994110,0.17%
2023-01-26,650873320,-0.17%
2023-01-25,651994110,0.34%
2023-01-24,649752530,0.16%
2023-01-23,648733630,-0.50%
2023-01-20,651994110,0.20%
2023-01-19,650669540,0.09%
2023-01-18,650058200,0.63%
2023-01-17,645982600,-0.86%
2023-01-13,651586550,0.17%
2023-01-12,650465760,0.79%
2023-01-11,645371260,0.24%
2023-01-10,643842910,-0.55%
2023-01-09,647409060,0.35%
2023-01-06,645167480,-0.17%
2023-01-05,646288270,-0.20%
2023-01-04,647612840,-0.49%
2023-01-03,650771430,0.57%
2022-12-30,647090080,-0.58%
2022-12-29,650861120,1.01%
2022-12-28,644338240,-1.69%
2022-12-27,655447520,1.16%
2022-12-23,647905440,-0.24%
2022-12-22,649434240,-0.03%
2022-12-21,649638080,0.20%
2022-12-20,648313120,-0.27%
2022-12-19,650045760,0.24%
2022-12-16,648516960,-0.31%
2022-12-15,650555360,-0.11%
2022-12-14,651268800,-0.36%
2022-12-13,653612960,0.17%
2022-12-12,652491840,-0.02%
2022-12-09,652593760,0.47%
2022-12-08,649536160,0.24%
2022-12-07,648007360,-0.31%
2022-12-06,650045760,-0.17%
2022-12-05,651166880,-0.50%
2022-12-02,654428319,0.64%
2022-12-01,650249600,-0.31%
2022-11-30,652288000,0.25%
2022-11-29,650657280,-0.22%
2022-11-28,652084160,11.70%
2022-11-25,583797760,0.40%
2022-11-23,581453600,-1.08%
2022-11-22,587772640,0.73%
2022-11-21,583492000,1.26%
2022-11-18,576255680,1.25%
2022-11-17,569121280,1.14%
2022-11-16,562700320,-0.02%
2022-11-15,562802240,0.80%
2022-11-14,558317760,-1.15%
2022-11-11,564840640,-0.31%
2022-11-10,566573280,4.49%
2022-11-09,542214400,0.19%
2022-11-08,541195200,1.57%
2022-11-07,532837760,-0.31%
2022-11-04,534468480,1.39%
2022-11-03,527130240,0.17%
2022-11-02,526212960,-1.02%
2022-11-01,531614719,0.71%
2022-10-31,527843680,0.78%
2022-10-28,523766880,1.14%
2022-10-27,517855520,0.67%
2022-10-26,514390240,-1.21%
2022-10-25,520709280,2.32%
2022-10-24,508886560,0.73%
2022-10-21,505217440,-0.06%
2022-10-20,505523200,-2.32%
2022-10-19,517549760,-0.88%
2022-10-18,522136159,0.65%
2022-10-17,518772800,3.41%
2022-10-14,501650240,-2.42%
2022-10-13,514084480,1.22%
2022-10-12,507867360,-0.82%
2022-10-11,512046080,1.13%
2022-10-10,506338560,0.04%
2022-10-07,506134719,-3.27%
2022-10-06,523257280,-1.80%
2022-10-05,532837760,-3.01%
2022-10-04,549348800,1.60%
2022-10-03,540685600,1.30%
2022-09-30,533755040,1.30%
2022-09-29,526926400,-1.73%
2022-09-28,536201120,0.46%
2022-09-27,533755040,-4.12%
2022-09-26,556687040,-3.53%
2022-09-23,577071040,-2.70%
2022-09-22,593072480,-1.37%
2022-09-21,601328000,-1.22%
2022-09-20,608768160,-2.59%
2022-09-19,624973440,-2.65%
2022-09-16,641994080,4.01%
2022-09-15,617227520,0.10%
2022-09-14,616616000,0.03%
2022-09-13,616412160,-1.59%
2022-09-12,626400320,1.86%
2022-09-09,614985280,0.08%
2022-09-08,614475680,0.28%
2022-09-07,612743040,-0.32%
2022-09-06,614679520,0.63%
2022-09-02,610806560,-0.40%
2022-09-01,613252640,-2.04%
2022-08-31,625992640,0.13%
2022-08-30,625177280,-1.81%
2022-08-29,636694240,-1.42%
2022-08-26,645867040,0.27%
2022-08-25,644134400,0.51%
2022-08-24,640872960,-1.13%
2022-08-23,648211200,-0.61%
2022-08-22,652186080,0.02%
2022-08-19,652084160,0.64%
2022-08-18,647905440,0.06%
2022-08-17,647497760,-0.39%
2022-08-16,650045760,-2.66%
2022-08-15,667779840,2.68%
2022-08-12,650351520,1.01%
2022-08-11,643828640,1.97%
2022-08-10,631394400,0.55%
2022-08-09,627929120,0.10%
2022-08-08,627317600,2.19%
2022-08-05,613864160,-1.42%
2022-08-04,622731200,-0.11%
2022-08-03,623444640,0.41%
2022-08-02,620896640,-0.16%
2022-08-01,621915840,-0.10%
2022-07-29,622527360,-0.33%
2022-07-28,624565760,0.71%
2022-07-27,620183200,0.28%
2022-07-26,618450560,0.17%
2022-07-25,617431360,0.80%
2022-07-22,612539200,-0.30%
2022-07-21,614373760,0.13%
2022-07-20,613558400,0.10%
2022-07-19,612946880,0.67%
2022-07-18,608870080,-0.22%
2022-07-15,610195040,1.51%
2022-07-14,601124160,0.05%
2022-07-13,600818400,-1.34%
2022-07-12,608972000,0.39%
2022-07-11,606627840,-0.90%
2022-07-08,612131520,0.91%
2022-07-07,606627840,
2022-07-06,606627840,-0.73%
2022-07-05,611112320,-0.45%
2022-07-01,613864160,1.47%
2022-06-30,604997120,-0.83%
2022-06-29,610039540,0.66%
2022-06-28,606067000,-1.20%
2022-06-27,613400920,-2.65%
2022-06-24,630105960,1.84%
2022-06-23,618697640,0.53%
2022-06-22,615438120,0.95%
2022-06-21,609632100,0.72%
2022-06-17,605252120,-0.13%
2022-06-16,606067000,-0.93%
2022-06-15,611771160,4.04%
2022-06-14,588037780,-1.25%
2022-06-13,595473560,-3.16%
2022-06-10,614928820,-2.46%
2022-06-09,630411540,-1.24%
2022-06-08,638356620,-1.80%
2022-06-07,650070520,1.40%
2022-06-06,641106840,0.22%
2022-06-03,639680800,-1.35%
2022-06-02,648440760,1.95%
2022-06-01,636013840,0.37%
2022-05-31,633671060,-1.64%
2022-05-27,644264500,1.26%
