Date,Market Cap,% Change
2023-04-25,15786241620,-0.18%
2023-04-24,15815335320,0.83%
2023-04-21,15684413669,0.62%
2023-04-20,15588404460,-0.26%
2023-04-19,15629135640,1.88%
2023-04-18,15341108010,-0.86%
2023-04-17,15474939030,0.82%
2023-04-14,15349836120,-1.86%
2023-04-13,15640773120,-0.72%
2023-04-12,15754238550,1.25%
2023-04-11,15559310760,2.12%
2023-04-10,15236370690,0.15%
2023-04-06,15213095730,1.38%
2023-04-05,15006530460,-1.92%
2023-04-04,15300376830,-0.79%
2023-04-03,15422570370,0.19%
2023-03-31,15393476669,2.16%
2023-03-30,15067627230,1.61%
2023-03-29,14829058890,1.78%
2023-03-28,14570124960,-0.26%
2023-03-27,14607946770,-0.48%
2023-03-24,14677771650,1.84%
2023-03-23,14413018980,-1.26%
2023-03-22,14596309290,-2.03%
2023-03-21,14898883770,0.25%
2023-03-20,14861061960,1.57%
2023-03-17,14631221730,-3.44%
2023-03-16,15151998960,0.02%
2023-03-15,15149089590,-0.36%
2023-03-14,15204367620,-0.78%
2023-03-13,15323651790,2.61%
2023-03-10,14933796210,-2.82%
2023-03-09,15367292340,-1.89%
2023-03-08,15664048080,0.35%
2023-03-07,15608770050,-2.24%
2023-03-06,15966622560,0.46%
2023-03-03,15893888310,3.49%
2023-03-02,15358564230,0.40%
2023-03-01,15297467460,-0.32%
2023-02-28,15346926750,0.34%
2023-02-27,15294558090,0.52%
2023-02-24,15216005100,-0.89%
2023-02-23,15352745490,4.23%
2023-02-22,14730140310,-0.08%
2023-02-21,14741777790,-3.67%
2023-02-17,15303286200,-1.05%
2023-02-16,15466210919,-0.19%
2023-02-15,15495304620,0.13%
2023-02-14,15474939030,-1.06%
2023-02-13,15640773120,0.96%
2023-02-10,15492395250,0.40%
2023-02-09,15431298480,-2.23%
2023-02-08,15783332250,-0.77%
2023-02-07,15905525790,-0.51%
2023-02-06,15986988150,-1.04%
2023-02-03,16155731610,-1.94%
2023-02-02,16475762310,1.87%
2023-02-01,16173187830,1.85%
2023-01-31,15879341460,0.22%
2023-01-30,15844429020,-1.11%
2023-01-27,16021900590,2.69%
2023-01-26,15602951310,2.07%
2023-01-25,15285829980,0.75%
2023-01-24,15172364550,-0.17%
2023-01-23,15198548880,0.81%
2023-01-20,15076355340,1.41%
2023-01-19,14866880700,-1.86%
2023-01-18,15149089590,-0.48%
2023-01-17,15221823840,-0.59%
2023-01-13,15312014310,0.92%
2023-01-12,15172364550,1.20%
2023-01-11,14991983610,2.73%
2023-01-10,14593399919,-0.59%
2023-01-09,14680681020,-0.45%
2023-01-06,14747596530,3.55%
2023-01-05,14241366150,-3.79%
2023-01-04,14802874560,2.44%
2023-01-03,14450840790,0.15%
2022-12-30,14429431450,-0.56%
2022-12-29,14510479410,2.31%
2022-12-28,14183393000,-3.35%
2022-12-27,14675469900,0.14%
2022-12-23,14655207910,-0.10%
2022-12-22,14669680760,-0.06%
