Date,Market Cap,% Change
2023-04-26,352420817,0.58%
2023-04-25,350371859,-2.38%
2023-04-24,358909185,-0.76%
2023-04-21,361641129,0.38%
2023-04-20,360275157,0.57%
2023-04-19,358226198,1.16%
2023-04-18,354128282,-1.80%
2023-04-17,360616650,3.02%
2023-04-14,350030366,-1.16%
2023-04-13,354128282,-0.19%
2023-04-12,354811268,0.68%
2023-04-11,352420817,-0.67%
2023-04-10,354811268,-3.44%
2023-04-06,367446511,-3.50%
2023-04-05,380764739,0.54%
2023-04-04,378715781,1.56%
2023-04-03,372910399,-1.53%
2023-03-31,378715781,3.07%
2023-03-30,367446511,0.65%
2023-03-29,365056059,2.20%
2023-03-28,357201719,-6.69%
2023-03-27,382813697,3.60%
2023-03-24,369495469,3.24%
2023-03-23,357884705,-2.78%
2023-03-22,368129497,-2.36%
2023-03-21,377008316,1.19%
2023-03-20,372568906,1.39%
2023-03-17,367446511,-3.93%
2023-03-16,382472204,1.08%
2023-03-15,378374288,-1.86%
2023-03-14,385545642,6.01%
2023-03-13,363690087,-3.01%
2023-03-10,374959357,-4.69%
2023-03-09,393399982,-5.26%
2023-03-08,415255536,0.16%
2023-03-07,414572550,-1.30%
2023-03-06,420036439,0.65%
2023-03-03,417304494,-0.49%
2023-03-02,419353453,0.57%
2023-03-01,416963001,-2.55%
2023-02-28,427890779,
2023-02-27,427890779,-2.34%
2023-02-24,438135570,-2.06%
2023-02-23,447355882,
2023-02-22,447355882,-0.15%
2023-02-21,448038868,-4.02%
2023-02-17,466820985,-0.58%
2023-02-16,469552930,-0.43%
2023-02-15,471601888,-0.22%
2023-02-14,472626367,-0.43%
2023-02-13,474675325,1.02%
2023-02-10,469894423,-0.36%
2023-02-09,471601888,-3.56%
2023-02-08,489018033,0.07%
2023-02-07,488676540,-0.28%
2023-02-06,490042512,-4.71%
2023-02-03,514288518,-2.14%
2023-02-02,525557788,1.25%
2023-02-01,519069420,3.47%
2023-01-31,501653275,1.80%
2023-01-30,492774456,-2.04%
2023-01-27,503019247,2.43%
2023-01-26,491066991,1.84%
2023-01-25,482188172,-0.14%
2023-01-24,482871158,-0.84%
2023-01-23,486969075,0.07%
2023-01-20,486627582,1.93%
2023-01-19,477407269,0.14%
2023-01-18,476724283,0.72%
2023-01-17,473309353,-1.14%
2023-01-13,478773242,0.29%
2023-01-12,477407269,2.04%
2023-01-11,467845464,3.32%
2023-01-10,452819771,2.47%
2023-01-09,441891993,1.49%
2023-01-06,435403626,-5.06%
2023-01-05,458625152,-0.81%
2023-01-04,462381576,2.89%
