Date,Market Cap,% Change
2023-04-25,11608858080,0.21%
2023-04-24,11584236960,-1.88%
2023-04-21,11805827040,0.79%
2023-04-20,11713497840,-0.89%
2023-04-19,11818137600,0.52%
2023-04-18,11756584800,-0.10%
2023-04-17,11768895360,2.25%
2023-04-14,11510373600,-0.69%
2023-04-13,11590392239,-0.74%
2023-04-12,11676566160,-1.66%
2023-04-11,11873535120,0.52%
2023-04-10,11811982320,0.63%
2023-04-06,11738118960,-0.26%
2023-04-05,11768895360,-1.14%
2023-04-04,11904311520,-0.67%
2023-04-03,11984330160,-0.31%
2023-03-31,12021261840,3.83%
2023-03-30,11578081680,1.13%
2023-03-29,11448820800,2.03%
2023-03-28,11221075440,0.33%
2023-03-27,11184143760,0.89%
2023-03-24,11085659280,2.86%
2023-03-23,10777895280,-0.34%
2023-03-22,10814826960,-3.57%
2023-03-21,11214920160,0.66%
2023-03-20,11141056800,2.43%
2023-03-17,10876379760,-3.71%
2023-03-16,11294938800,-1.71%
2023-03-15,11491907760,-2.76%
2023-03-14,11818137600,1.27%
2023-03-13,11670410880,0.96%
2023-03-10,11559615840,-4.09%
2023-03-09,12052038239,-2.10%
2023-03-08,12310560000,1.47%
2023-03-07,12132056880,-3.76%
2023-03-06,12606013440,-0.87%
2023-03-03,12716808480,1.03%
2023-03-02,12587547600,-0.24%
2023-03-01,12618324000,-0.53%
2023-02-28,12686032080,-0.10%
2023-02-27,12698342640,-0.05%
2023-02-24,12704497920,0.19%
2023-02-23,12679876800,1.08%
2023-02-22,12544460640,-0.34%
2023-02-21,12587547600,-3.31%
2023-02-17,13018417200,0.14%
2023-02-16,12999951360,-0.85%
2023-02-15,13110746400,-0.56%
2023-02-14,13184609760,-1.74%
2023-02-13,13418510400,0.60%
2023-02-10,13338491760,1.21%
2023-02-09,13178454480,-3.38%
2023-02-08,13640100480,-0.89%
2023-02-07,13763206080,0.31%
2023-02-06,13720119120,-1.07%
2023-02-03,13867845840,-2.34%
2023-02-02,14200230960,2.40%
2023-02-01,13867845840,0.31%
2023-01-31,13824758880,1.58%
2023-01-30,13609324080,-2.38%
2023-01-27,13941709200,2.40%
2023-01-26,13615479360,0.14%
2023-01-25,13597013520,0.68%
2023-01-24,13504684320,0.37%
2023-01-23,13455442080,1.96%
2023-01-20,13196920320,1.42%
2023-01-19,13012261920,-0.98%
2023-01-18,13141522800,-2.73%
2023-01-17,13510839600,2.81%
2023-01-13,13141522800,-1.61%
2023-01-12,13356957600,3.19%
2023-01-11,12944553840,3.19%
2023-01-10,12544460640,-3.37%
2023-01-09,12981485520,-2.04%
2023-01-06,13252317840,2.67%
2023-01-05,12907622160,-3.14%
2023-01-04,13326181200,1.93%
2023-01-03,13073814719,0.23%
2022-12-30,13043830080,0.09%
2022-12-29,13031512960,1.34%
2022-12-28,12859073280,-1.97%
2022-12-27,13117732800,0.14%
2022-12-23,13099257120,1.77%
2022-12-22,12871390400,-0.95%
2022-12-21,12994561600,0.86%
2022-12-20,12883707520,-0.29%
2022-12-19,12920658880,-1.18%
2022-12-16,13074622880,-1.39%
2022-12-15,13259379680,-2.18%
2022-12-14,13554990560,0.27%
2022-12-13,13518039200,0.60%
2022-12-12,13437977920,0.51%
2022-12-09,13370233760,-0.18%
2022-12-08,13394868000,-1.09%
2022-12-07,13542673439,-0.45%
2022-12-06,13604259040,-0.09%
2022-12-05,13616576160,-2.21%
2022-12-02,13924504160,-0.18%
2022-12-01,13949138400,-1.18%
2022-11-30,14115419520,0.88%
2022-11-29,13992248320,2.95%
2022-11-28,13591941920,-2.86%
2022-11-25,13992248320,0.40%
2022-11-23,13936821280,-0.57%
2022-11-22,14016882560,2.38%
2022-11-21,13690478880,0.36%
2022-11-18,13641210400,0.64%
2022-11-17,13554990560,1.29%
2022-11-16,13382550880,-1.63%
2022-11-15,13604259040,1.28%
2022-11-14,13431819360,-1.67%
2022-11-11,13659686080,-0.58%
2022-11-10,13739747360,7.41%
2022-11-09,12791329120,-1.61%
2022-11-08,13000720160,-1.77%
2022-11-07,13234745439,0.33%
2022-11-04,13191635520,3.23%
2022-11-03,12779012000,-0.38%
2022-11-02,12828280479,-3.21%
2022-11-01,13253221120,0.65%
