Date,Market Cap,% Change
2023-04-26,707961497,0.96%
2023-04-25,701206139,-6.65%
2023-04-24,751195787,-2.20%
2023-04-21,768084181,-0.61%
2023-04-20,772812932,-1.46%
2023-04-19,784297040,2.20%
2023-04-18,767408646,-1.82%
2023-04-17,781594897,2.48%
2023-04-14,762679895,0.53%
2023-04-13,758626680,1.35%
2023-04-12,748493644,0.64%
2023-04-11,743764893,1.38%
2023-04-10,733631857,-1.90%
2023-04-06,747818108,0.09%
2023-04-05,747142572,-0.27%
2023-04-04,749169180,-1.16%
2023-04-03,757951145,-1.49%
2023-03-31,769435253,2.61%
2023-03-30,749844715,-2.29%
2023-03-29,767408646,1.07%
2023-03-28,759302216,1.26%
2023-03-27,749844715,2.49%
2023-03-24,731605249,4.74%
2023-03-23,698503996,-4.26%
2023-03-22,729578642,-4.51%
2023-03-21,764030967,1.62%
2023-03-20,751871323,1.00%
2023-03-17,744440429,-5.08%
2023-03-16,784297040,0.17%
2023-03-15,782945969,-5.39%
2023-03-14,827531330,0.91%
2023-03-13,820100436,-0.82%
2023-03-10,826855794,-5.34%
2023-03-09,873467763,-4.08%
2023-03-08,910622231,-3.09%
2023-03-07,939670269,-2.25%
2023-03-06,961287414,0.21%
2023-03-03,959260807,1.50%
2023-03-02,945074556,-0.99%
2023-03-01,954532057,-2.55%
2023-02-28,979526881,-0.62%
2023-02-27,985606703,-0.55%
2023-02-24,991010989,-1.41%
2023-02-23,1005197240,0.34%
2023-02-22,1001819561,1.23%
2023-02-21,989659917,-3.55%
2023-02-17,1026138849,-0.52%
2023-02-16,1031543136,-0.13%
2023-02-15,1032894207,0.86%
2023-02-14,1024112242,-0.79%
2023-02-13,1032218671,1.60%
2023-02-10,1016005813,3.37%
2023-02-09,982904559,-3.26%
2023-02-08,1016005813,-5.23%
2023-02-07,1072075282,0.63%
2023-02-06,1065319925,-3.78%
2023-02-03,1107203143,-0.24%
2023-02-02,1109905286,1.42%
2023-02-01,1094367963,1.69%
2023-01-31,1076128497,3.37%
2023-01-30,1041000636,-1.28%
2023-01-27,1054511352,1.10%
2023-01-26,1043027244,0.26%
2023-01-25,1040325101,0.26%
2023-01-24,1037622958,-1.03%
2023-01-23,1048431530,0.91%
2023-01-20,1038974029,1.65%
2023-01-19,1022085635,-1.24%
2023-01-18,1034920814,-1.10%
2023-01-17,1046404923,
2023-01-13,1046404923,1.84%
2023-01-12,1027489921,2.84%
2023-01-11,999117418,1.72%
2023-01-10,982229024,2.32%
2023-01-09,959936343,-0.84%
2023-01-06,968042772,0.35%
2023-01-05,964665093,-1.31%
2023-01-04,977500273,1.76%
2023-01-03,960611879,-0.82%
2022-12-30,968582910,0.94%
2022-12-29,959563155,-1.85%
2022-12-28,977602665,-3.69%
2022-12-27,1015069339,-0.14%
2022-12-23,1016456994,0.62%
2022-12-22,1010212548,-0.95%
2022-12-21,1019926131,1.73%
2022-12-20,1002580448,-1.23%
2022-12-19,1015069339,0.55%
2022-12-16,1009518721,-4.78%
2022-12-15,1060168114,-3.11%
2022-12-14,1094165652,-0.38%
2022-12-13,1098328615,0.19%
2022-12-12,1096247134,1.54%
2022-12-09,1079595278,0.58%
