Date,Market Cap,% Change
2023-04-26,2208856727,-0.12%
2023-04-25,2211598946,-1.71%
2023-04-24,2249990000,0.55%
2023-04-21,2237650018,-0.67%
2023-04-20,2252732218,-2.20%
2023-04-19,2303463254,0.18%
2023-04-18,2299349927,
2023-04-17,2299349927,3.71%
2023-04-14,2217083382,-1.22%
2023-04-13,2244505563,1.36%
2023-04-12,2214341164,-0.74%
2023-04-11,2230794473,1.37%
2023-04-10,2200630073,0.31%
2023-04-06,2193774528,-0.56%
2023-04-05,2206114509,-0.06%
2023-04-04,2207485618,-0.92%
2023-04-03,2228052255,-2.05%
2023-03-31,2274669963,1.41%
2023-03-30,2243134454,0.12%
2023-03-29,2240392236,1.36%
2023-03-28,2210227836,-0.43%
2023-03-27,2219825600,2.92%
2023-03-24,2156754582,-0.82%
2023-03-23,2174579000,-1.55%
2023-03-22,2208856727,-3.19%
2023-03-21,2281525509,3.10%
2023-03-20,2212970055,-1.34%
2023-03-17,2243134454,-6.35%
2023-03-16,2395327562,-0.23%
2023-03-15,2400811999,-0.74%
2023-03-14,2418636417,2.56%
2023-03-13,2358307617,1.84%
2023-03-10,2315803236,-3.76%
2023-03-09,2406296435,-2.61%
2023-03-08,2470738562,0.67%
2023-03-07,2454285253,-2.93%
2023-03-06,2528325143,10.29%
2023-03-03,2292494381,0.06%
2023-03-02,2291123272,0.30%
2023-03-01,2284267727,-0.30%
2023-02-28,2291123272,-1.18%
2023-02-27,2318545454,-0.12%
2023-02-24,2321287672,-2.08%
2023-02-23,2370647599,0.35%
2023-02-22,2362420944,-0.12%
2023-02-21,2365163163,-2.98%
2023-02-17,2437831944,-0.06%
2023-02-16,2439203053,-1.77%
2023-02-15,2483078543,-0.22%
2023-02-14,2488562980,-0.44%
2023-02-13,2499531852,1.00%
2023-02-10,2474851889,1.06%
2023-02-09,2448800816,-0.72%
2023-02-08,2466625234,-0.28%
2023-02-07,2473480780,0.84%
2023-02-06,2452914144,-1.60%
2023-02-03,2492676307,-1.20%
2023-02-02,2522840707,2.28%
2023-02-01,2466625234,0.62%
2023-01-31,2451543035,2.05%
2023-01-30,2402183108,-1.18%
2023-01-27,2430976398,2.13%
2023-01-26,2380245362,-0.23%
2023-01-25,2385729799,1.69%
2023-01-24,2345967635,0.77%
2023-01-23,2328143217,1.80%
2023-01-20,2287009945,2.39%
2023-01-19,2233536691,-0.24%
2023-01-18,2239021127,-0.43%
2023-01-17,2248618891,0.49%
2023-01-13,2237650018,-1.45%
2023-01-12,2270556636,1.04%
2023-01-11,2247247782,3.15%
