Date,Market Cap,% Change
2023-04-25,57934522,1.41%
2023-04-24,57129876,-0.80%
2023-04-21,57589674,-3.09%
2023-04-20,59428865,0.58%
2023-04-19,59084017,0.19%
2023-04-18,58969067,1.99%
2023-04-17,57819573,
2023-04-14,57819573,0.27%
2023-04-13,57664391,1.34%
2023-04-12,56899977,-0.60%
2023-04-11,57244826,0.19%
2023-04-10,57136773,0.21%
2023-04-06,57014927,-1.78%
2023-04-05,58049472,-3.44%
2023-04-04,60118562,-0.76%
2023-04-03,60578360,1.80%
2023-03-31,59509330,-1.01%
2023-03-30,60118562,0.58%
2023-03-29,59773714,0.97%
2023-03-28,59198966,-0.96%
2023-03-27,59773714,0.19%
2023-03-24,59658764,-0.38%
2023-03-23,59888663,0.19%
2023-03-22,59773714,-0.19%
2023-03-21,59888663,0.19%
2023-03-20,59773714,-3.70%
2023-03-17,62072703,-0.92%
2023-03-16,62647450,0.74%
2023-03-15,62187652,-1.28%
2023-03-14,62992298,-0.36%
2023-03-13,63222197,0.73%
2023-03-10,62762399,-1.09%
2023-03-09,63452096,-1.78%
2023-03-08,64601590,0.36%
2023-03-07,64371691,0.09%
2023-03-06,64313067,0.09%
2023-03-03,64256742,-0.55%
2023-03-02,64613085,1.10%
2023-03-01,63911894,-0.28%
2023-02-28,64093514,0.46%
2023-02-27,63796944,-0.54%
2023-02-24,64141793,-0.18%
2023-02-23,64256742,0.18%
2023-02-22,64141793,-0.18%
2023-02-21,64256742,-0.89%
2023-02-17,64831489,-0.35%
2023-02-16,65061388,0.71%
2023-02-15,64601590,-0.49%
2023-02-14,64917701,-0.04%
2023-02-13,64946439,0.71%
2023-02-10,64486641,-0.53%
2023-02-09,64831489,-0.88%
2023-02-08,65406237,-0.70%
2023-02-07,65866034,-1.21%
2023-02-06,66670681,-0.34%
2023-02-03,66900579,-1.36%
2023-02-02,67820175,1.03%
2023-02-01,67130478,-0.85%
2023-01-31,67705226,0.34%
2023-01-30,67475327,0.51%
2023-01-27,67130478,0.69%
2023-01-26,66670681,-0.09%
2023-01-25,66728155,1.49%
2023-01-24,65751085,-0.69%
2023-01-23,66210883,-0.17%
2023-01-20,66325832,0.87%
2023-01-19,65752234,0.14%
2023-01-18,65659125,3.29%
2023-01-17,63567045,-4.49%
2023-01-13,66555731,2.48%
2023-01-12,64946439,4.44%
2023-01-11,62187652,-0.37%
2023-01-10,62417551,-0.91%
2023-01-09,62992298,0.37%
2023-01-06,62762399,2.06%
2023-01-05,61497955,-1.29%
2023-01-04,62302601,-0.55%
2023-01-03,62647450,2.25%
2022-12-30,61268056,-1.66%
2022-12-29,62302601,-4.75%
2022-12-28,65406237,-0.18%
2022-12-27,65521186,-0.59%
2022-12-23,65909715,-0.28%
2022-12-22,66095933,0.52%
2022-12-21,65751085,0.53%
2022-12-20,65406237,0.53%
2022-12-19,65061388,0.71%
2022-12-16,64601590,0.60%
2022-12-15,64215360,0.11%
2022-12-14,64141793,-0.53%
2022-12-13,64486641,-0.32%
2022-12-12,64695849,2.33%
2022-12-09,63222197,0.92%
2022-12-08,62647450,-3.71%
2022-12-07,65061388,-1.05%
2022-12-06,65751085,0.18%
2022-12-05,65636135,-1.55%
2022-12-02,66670681,
2022-12-01,66670681,-0.34%
2022-11-30,66900579,2.22%
2022-11-29,65449917,0.24%
2022-11-28,65291287,0.89%
2022-11-25,64716540,-0.52%
2022-11-23,65052192,0.34%
2022-11-22,64831489,-0.35%
2022-11-21,65061388,0.89%
2022-11-18,64486641,0.07%
2022-11-17,64442960,-0.07%
2022-11-16,64486641,2.37%
2022-11-15,62992298,0.55%
2022-11-14,62647450,-0.91%
2022-11-11,63222197,-2.65%
2022-11-10,64946439,1.99%
2022-11-09,63681995,0.36%
2022-11-08,63452096,-0.54%
2022-11-07,63796944,4.91%
2022-11-04,60808259,-0.94%
2022-11-03,61383006,-0.56%
2022-11-02,61727854,0.92%
2022-11-01,61164602,-2.01%
2022-10-31,62417551,-1.45%
2022-10-28,63337146,-1.25%
2022-10-27,64141793,2.57%
2022-10-26,62532500,-1.81%
2022-10-25,63681995,2.40%
2022-10-24,62187652,0.74%
2022-10-21,61727854,3.67%
2022-10-20,59543815,-1.33%
2022-10-19,60348461,-2.60%
2022-10-18,61957753,-2.00%
2022-10-17,63222197,3.77%
2022-10-14,60923208,0.38%
2022-10-13,60693309,3.53%
2022-10-12,58624219,-0.39%
2022-10-11,58854118,-2.48%
2022-10-10,60348461,-6.25%
2022-10-07,64371691,-6.51%
2022-10-06,68854720,2.22%
2022-10-05,67360377,
2022-10-04,67360377,2.18%
2022-10-03,65923509,1.68%
2022-09-30,64831489,0.53%
2022-09-29,64486641,0.18%
2022-09-28,64371691,1.45%
2022-09-27,63452096,-1.60%
2022-09-26,64486641,0.90%
2022-09-23,63911894,-0.18%
2022-09-22,64026843,-1.15%
2022-09-21,64774015,-1.66%
2022-09-20,65866034,1.06%
2022-09-19,65176338,-3.08%
2022-09-16,67245428,3.72%
2022-09-15,64831489,0.71%
