Date,Market Cap,% Change
2023-04-25,265352511,1.61%
2023-04-24,261147242,-3.12%
2023-04-21,269557781,0.79%
2023-04-20,267455146,3.08%
2023-04-19,259465134,0.33%
2023-04-18,258624080,1.49%
2023-04-17,254839337,-2.26%
2023-04-14,260726715,0.98%
2023-04-13,258203553,1.66%
2023-04-12,253998283,-2.58%
2023-04-11,260726715,2.65%
2023-04-10,253998283,-0.98%
2023-04-06,256521445,-1.61%
2023-04-05,260726715,-1.43%
2023-04-04,264511457,-3.23%
2023-04-03,273342524,7.26%
2023-03-31,254839337,0.66%
2023-03-30,253157229,-2.11%
2023-03-29,258624080,1.15%
2023-03-28,255680391,-4.63%
2023-03-27,268085937,3.83%
2023-03-24,258203553,-0.24%
2023-03-23,258834343,-0.73%
2023-03-22,260726715,-2.05%
2023-03-21,266193565,6.57%
2023-03-20,249793014,-8.33%
2023-03-17,272501470,-2.56%
2023-03-16,279650428,1.99%
2023-03-15,274183577,-0.31%
2023-03-14,275024631,4.14%
2023-03-13,264090930,-3.38%
2023-03-10,273342524,-4.13%
2023-03-09,285117278,-0.44%
2023-03-08,286378859,0.15%
2023-03-07,285958332,0.89%
2023-03-06,283435171,0.15%
2023-03-03,283014644,1.97%
2023-03-02,277547793,0.30%
2023-03-01,276706739,0.69%
2023-02-28,274814368,1.16%
2023-02-27,271660416,-0.15%
2023-02-24,272080943,-0.77%
2023-02-23,274183577,-0.15%
2023-02-22,274604104,-1.95%
2023-02-21,280070955,-3.90%
2023-02-17,291425183,2.36%
2023-02-16,284696751,-2.17%
2023-02-15,291004656,0.87%
2023-02-14,288481494,-1.29%
2023-02-13,292266237,1.02%
2023-02-10,289322548,1.18%
2023-02-09,285958332,
2023-02-08,285958332,-1.88%
2023-02-07,291425183,0.29%
2023-02-06,290584129,-0.72%
2023-02-03,292686764,-0.57%
2023-02-02,294368872,2.34%
2023-02-01,287640440,3.17%
2023-01-31,278809374,4.57%
2023-01-30,266614092,-1.55%
2023-01-27,270819362,1.74%
2023-01-26,266193565,1.28%
2023-01-25,262829350,1.79%
2023-01-24,258203553,-3.00%
2023-01-23,266193565,
2023-01-20,266193565,-0.16%
2023-01-19,266614092,-1.40%
2023-01-18,270398835,0.16%
2023-01-17,269978308,1.10%
2023-01-13,267034619,7.63%
2023-01-12,248110906,-0.34%
2023-01-11,248951960,2.60%
2023-01-10,242644055,4.53%
2023-01-09,232130881,3.37%
2023-01-06,224561396,-1.48%
2023-01-05,227925612,-0.73%
2023-01-04,229607720,-1.97%
2023-01-03,234233516,12.60%
2022-12-30,208031705,-2.62%
2022-12-29,213621808,-0.37%
2022-12-28,214420394,-1.65%
2022-12-27,218014032,0.18%
2022-12-23,217614739,0.37%
2022-12-22,216816153,-0.37%
2022-12-21,217614739,-1.98%
2022-12-20,222006963,-1.07%
2022-12-19,224402722,-0.71%
2022-12-16,225999894,-0.35%
2022-12-15,226798480,-2.57%
2022-12-14,232787877,2.64%
2022-12-13,226798480,5.77%
2022-12-12,214420394,
2022-12-09,214420394,0.19%
2022-12-08,214021101,0.19%
2022-12-07,213621808,-3.43%
2022-12-06,221208377,2.78%
2022-12-05,215218980,-1.28%
2022-12-02,218014032,-5.70%
2022-12-01,231190704,5.46%
2022-11-30,219211911,4.17%
2022-11-29,210427463,-1.86%
2022-11-28,214420394,-2.54%
2022-11-25,220010498,2.61%
2022-11-23,214420394,-1.29%
2022-11-22,217215446,3.42%
2022-11-21,210028170,-9.47%
2022-11-18,231989291,3.57%
2022-11-17,224003429,0.54%
2022-11-16,222805549,1.82%
2022-11-15,218812618,1.67%
2022-11-14,215218980,0.37%
2022-11-11,214420394,0.37%
2022-11-10,213621808,7.21%
2022-11-09,199247256,-2.16%
2022-11-08,203639481,0.79%
2022-11-07,202042308,-1.36%
2022-11-04,204837360,6.88%
2022-11-03,191660688,2.13%
2022-11-02,187667757,-3.49%
2022-11-01,194455739,0.21%
2022-10-31,194056446,-2.80%
2022-10-28,199646550,-0.40%
2022-10-27,200445136,-0.40%
2022-10-26,201243722,-1.75%
2022-10-25,204837360,5.56%
2022-10-24,194056446,2.10%
2022-10-21,190063515,1.71%
2022-10-20,186869170,-3.11%
2022-10-19,192858567,2.11%
2022-10-18,188865636,-2.67%
2022-10-17,194056446,6.58%
2022-10-14,182077653,-4.20%
2022-10-13,190063515,1.28%
2022-10-12,187667757,-0.63%
2022-10-11,188865636,0.85%
2022-10-10,187268463,-1.68%
2022-10-07,190462808,-4.41%
2022-10-06,199247256,-1.96%
2022-10-05,203240187,-0.59%
2022-10-04,204438067,3.64%
2022-10-03,197250791,3.56%
2022-09-30,190462808,-4.42%
2022-09-29,199276408,-1.19%
2022-09-28,201672517,0.40%
2022-09-27,200873814,-0.79%
2022-09-26,202471220,-0.98%
2022-09-23,204467978,-0.58%
2022-09-22,205666032,-4.98%
2022-09-21,216448523,7.33%
2022-09-20,201672517,-5.08%
2022-09-19,212455008,-3.80%
2022-09-16,220841390,2.98%
2022-09-15,214451766,-0.56%
2022-09-14,215649820,-3.91%
2022-09-13,224435554,-3.93%
2022-09-12,233620639,-2.66%
2022-09-09,240010263,-0.33%
2022-09-08,240808966,-1.15%
2022-09-07,243604427,-0.16%
2022-09-06,244003778,-7.00%
2022-09-02,262373948,-2.23%
2022-09-01,268364221,0.30%
2022-08-31,267565518,-0.15%
2022-08-30,267964869,-0.15%
2022-08-29,268364221,-0.81%
2022-08-26,270560654,-1.09%
2022-08-25,273555791,0.44%
2022-08-24,272357736,0.59%
2022-08-23,270760330,-1.31%
2022-08-22,274354494,-5.76%
2022-08-19,291127258,-2.41%
2022-08-18,298315585,2.33%
2022-08-17,291526609,1.11%
2022-08-16,288331797,-1.63%
2022-08-15,293124015,3.97%
2022-08-12,281942173,5.69%
2022-08-11,266766815,-3.75%
2022-08-10,277149954,4.36%
