Date,Market Cap,% Change
2023-04-25,11245056258,-1.10%
2023-04-24,11369859827,0.74%
2023-04-21,11286657447,-0.58%
2023-04-20,11352879749,-0.74%
2023-04-19,11437780136,-1.43%
2023-04-18,11604184895,-0.83%
2023-04-17,11701820340,0.61%
2023-04-14,11631353019,-2.30%
2023-04-13,11904732265,-3.00%
2023-04-12,12272350940,-0.60%
2023-04-11,12346214277,0.23%
2023-04-10,12317348145,0.94%
2023-04-06,12202732623,2.09%
2023-04-05,11953125485,-0.06%
2023-04-04,11960766520,3.79%
2023-04-03,11523529527,3.54%
2023-03-31,11129591731,2.24%
2023-03-30,10885927621,0.84%
2023-03-29,10795084207,2.16%
2023-03-28,10566702166,-0.54%
2023-03-27,10623585425,-0.26%
2023-03-24,10650753549,2.07%
2023-03-23,10435106566,0.18%
2023-03-22,10416428481,-0.96%
2023-03-21,10517459941,-1.51%
2023-03-20,10678770676,3.79%
2023-03-17,10289077900,0.92%
2023-03-16,10195687474,1.43%
2023-03-15,10052205820,-1.56%
2023-03-14,10211818548,1.13%
2023-03-13,10098052029,0.81%
2023-03-10,10017396662,-5.81%
2023-03-09,10635471479,-1.92%
2023-03-08,10843477427,-0.06%
2023-03-07,10850269458,-0.60%
2023-03-06,10915642756,0.94%
2023-03-03,10813762292,2.11%
2023-03-02,10590474274,2.25%
2023-03-01,10357847214,1.23%
2023-02-28,10232194641,0.05%
2023-02-27,10227100618,0.96%
2023-02-24,10129465172,-2.16%
2023-02-23,10353602194,0.21%
2023-02-22,10331528094,-1.84%
2023-02-21,10525100976,0.70%
2023-02-17,10452086643,0.73%
2023-02-16,10376525299,-0.70%
2023-02-15,10449539631,-0.46%
2023-02-14,10497932852,-0.70%
2023-02-13,10571796189,1.15%
2023-02-10,10452086643,0.63%
2023-02-09,10386713345,0.25%
2023-02-08,10360394225,0.19%
2023-02-07,10340867136,-1.02%
2023-02-06,10446992620,11.28%
2023-02-03,9388284794,-1.07%
2023-02-02,9490165258,3.32%
2023-02-01,9185372869,0.14%
2023-01-31,9172637811,3.45%
2023-01-30,8866996418,-1.47%
2023-01-27,8999441022,0.95%
2023-01-26,8914540635,1.45%
2023-01-25,8787190054,0.75%
2023-01-24,8721816756,0.89%
2023-01-23,8644557404,0.22%
2023-01-20,8625879319,0.51%
2023-01-19,8581731117,-0.08%
2023-01-18,8588523148,-1.60%
2023-01-17,8728608787,1.22%
2023-01-13,8623332307,-1.81%
2023-01-12,8782096031,0.34%
2023-01-11,8752380895,5.18%
2023-01-10,8321086929,-1.00%
2023-01-09,8405138313,2.78%
2023-01-06,8177605275,1.14%
2023-01-05,8085063854,-1.42%
2023-01-04,8201377384,0.39%
2023-01-03,8169115237,-1.64%
2022-12-30,8305717000,-1.44%
2022-12-29,8427140680,1.54%
2022-12-28,8298971240,-1.73%
2022-12-27,8444848300,0.27%
2022-12-23,8422081360,1.36%
2022-12-22,8309089880,-1.52%
2022-12-21,8437259320,0.60%
2022-12-20,8386666119,0.21%
2022-12-19,8368958500,-1.86%
2022-12-16,8527483860,-3.56%
2022-12-15,8842004920,-0.95%
2022-12-14,8927170140,-1.51%
2022-12-13,9063771780,0.33%
2022-12-12,9034259080,-0.10%
2022-12-09,9043534500,0.06%
2022-12-08,9038475180,2.11%
2022-12-07,8851280340,0.42%
2022-12-06,8814178660,-0.42%
2022-12-05,8851280340,-0.78%
2022-12-02,8921267600,-0.40%
2022-12-01,8957526060,-1.17%
2022-11-30,9063771780,3.89%
2022-11-29,8724797340,0.89%
2022-11-28,8648064320,-3.58%
2022-11-25,8969331140,0.12%
2022-11-23,8958369280,-0.99%
2022-11-22,9047750600,0.07%
2022-11-21,9041848060,-0.23%
2022-11-18,9062928560,2.11%
2022-11-17,8875733720,-0.98%
2022-11-16,8963428600,0.05%
2022-11-15,8959212500,-0.05%
2022-11-14,8963428600,-0.64%
2022-11-11,9021610780,-2.02%
2022-11-10,9207962400,7.51%
2022-11-09,8564585539,-1.15%
2022-11-08,8664085500,1.27%
2022-11-07,8555310119,-1.88%
2022-11-04,8718894800,0.71%
2022-11-03,8657339740,0.69%
2022-11-02,8598314340,-7.53%
2022-11-01,9298186940,-0.31%
2022-10-31,9326856420,-0.85%
2022-10-28,9406962320,5.23%
2022-10-27,8939818440,-0.31%
