Date,Market Cap,% Change
2023-04-25,215019018,0.18%
2023-04-24,214631945,-0.72%
2023-04-21,216180236,-1.85%
2023-04-20,220244502,-0.96%
2023-04-19,222373404,-2.05%
2023-04-18,227018279,-4.87%
2023-04-17,238630467,1.23%
2023-04-14,235727420,4.55%
2023-04-13,225469987,0.34%
2023-04-12,224695841,0.78%
2023-04-11,222954013,0.61%
2023-04-10,221599258,-2.80%
2023-04-06,227985961,3.15%
2023-04-05,221018648,-1.13%
2023-04-04,223534622,-2.78%
2023-04-03,229921326,-0.67%
2023-03-31,231469618,-0.25%
2023-03-30,232050227,0.08%
2023-03-29,231856691,3.99%
2023-03-28,222954013,0.52%
2023-03-27,221792794,0.97%
2023-03-24,219663893,3.18%
2023-03-23,212890117,2.14%
2023-03-22,208438778,4.46%
2023-03-21,199536100,13.42%
2023-03-20,175924651,-1.20%
2023-03-17,178053552,-1.08%
2023-03-16,179988917,2.20%
2023-03-15,176118187,-0.22%
2023-03-14,176505260,-0.65%
2023-03-13,177666479,-0.43%
2023-03-10,178440625,-0.54%
2023-03-09,179408307,1.87%
2023-03-08,176118187,0.66%
2023-03-07,174956968,-0.44%
2023-03-06,175731114,-0.98%
2023-03-03,177472942,-0.11%
2023-03-02,177666479,1.44%
2023-03-01,175150505,-1.84%
2023-02-28,178440625,0.22%
2023-02-27,178053552,1.10%
2023-02-24,176118187,0.11%
2023-02-23,175924651,-0.55%
2023-02-22,176892333,-0.65%
2023-02-21,178053552,-0.43%
2023-02-17,178827698,1.76%
2023-02-16,175731114,-0.33%
2023-02-15,176311724,-1.41%
2023-02-14,178827698,0.43%
2023-02-13,178053552,-0.11%
2023-02-10,178247088,0.11%
2023-02-09,178053552,0.22%
2023-02-08,177666479,0.33%
2023-02-07,177085870,0.55%
2023-02-06,176118187,2.13%
2023-02-03,172440994,-1.87%
2023-02-02,175731114,-0.22%
2023-02-01,176118187,0.55%
2023-01-31,175150505,0.56%
2023-01-30,174182823,-0.66%
2023-01-27,175344041,-0.88%
2023-01-26,176892333,-0.76%
2023-01-25,178247088,-0.65%
2023-01-24,179408307,1.98%
2023-01-23,175924651,0.55%
2023-01-20,174956968,1.92%
2023-01-19,171666848,-3.38%
2023-01-18,177666479,-5.26%
2023-01-17,187536839,-3.10%
2023-01-13,193536470,0.81%
2023-01-12,191988178,0.20%
2023-01-11,191601105,1.54%
2023-01-10,188698058,1.35%
2023-01-09,186182084,0.52%
