Date,Market Cap,% Change
2023-04-25,1225658660,-1.18%
2023-04-24,1240259230,-0.73%
2023-04-21,1249335260,-0.22%
2023-04-20,1252097530,0.19%
2023-04-19,1249729870,-0.47%
2023-04-18,1255649020,-2.48%
2023-04-17,1287612430,2.22%
2023-04-14,1259595120,-0.25%
2023-04-13,1262752000,1.33%
2023-04-12,1246178380,-0.50%
2023-04-11,1252492140,0.19%
2023-04-10,1250124480,-0.47%
2023-04-06,1256043630,0.79%
2023-04-05,1246178380,0.32%
2023-04-04,1242232280,-1.22%
2023-04-03,1257622070,-0.75%
2023-03-31,1267092710,2.39%
2023-03-30,1237496960,0.38%
2023-03-29,1232761640,2.70%
2023-03-28,1200403620,-0.56%
2023-03-27,1207111990,1.43%
2023-03-24,1190143760,1.58%
2023-03-23,1171597090,-1.20%
2023-03-22,1185803050,-4.27%
2023-03-21,1238680790,1.82%
2023-03-20,1216582630,0.13%
2023-03-17,1215004190,-1.35%
2023-03-16,1231577810,0.87%
2023-03-15,1220923340,-0.16%
2023-03-14,1222896390,-0.51%
2023-03-13,1229210150,-3.11%
2023-03-10,1268671150,-3.80%
2023-03-09,1318786620,-1.30%
2023-03-08,1336149460,1.41%
2023-03-07,1317602790,-1.48%
2023-03-06,1337333290,-4.54%
2023-03-03,1400865500,2.39%
2023-03-02,1368112870,0.55%
2023-03-01,1360615279,0.32%
2023-02-28,1356274570,-0.20%
2023-02-27,1359036840,1.50%
2023-02-24,1338911730,-2.19%
2023-02-23,1368902090,0.06%
2023-02-22,1368112870,0.32%
2023-02-21,1363772160,-3.68%
2023-02-17,1415860680,1.59%
2023-02-16,1393762520,-3.07%
2023-02-15,1437958840,-0.84%
2023-02-14,1450191750,0.36%
2023-02-13,1445061820,2.09%
2023-02-10,1415466070,0.25%
2023-02-09,1411914580,0.28%
2023-02-08,1407968480,-3.36%
2023-02-07,1456900120,0.22%
2023-02-06,1453743240,-0.54%
2023-02-03,1461635440,-0.32%
2023-02-02,1466370759,2.31%
2023-02-01,1433223520,0.22%
2023-01-31,1430066640,1.03%
2023-01-30,1415466070,-2.26%
2023-01-27,1448218700,-4.05%
2023-01-26,1509383250,0.53%
2023-01-25,1501491050,0.79%
2023-01-24,1489652750,-1.56%
2023-01-23,1513329350,0.60%
2023-01-20,1504253320,0.79%
2023-01-19,1492415020,0.24%
2023-01-18,1488863529,0.53%
2023-01-17,1480971330,-0.29%
2023-01-13,1485312040,0.53%
2023-01-12,1477419840,0.94%
2023-01-11,1463608490,2.15%
2023-01-10,1432828910,0.22%
2023-01-09,1429672029,0.86%
2023-01-06,1417439120,3.31%
2023-01-05,1372058970,-3.09%
2023-01-04,1415860680,2.40%
2023-01-03,1382713440,0.61%
2022-12-30,1374313850,-2.16%
2022-12-29,1404632530,3.10%
2022-12-28,1362345950,-1.64%
2022-12-27,1385084960,-0.54%
2022-12-23,1392664629,2.08%
2022-12-22,1364340600,-1.01%
2022-12-21,1378303150,1.08%
2022-12-20,1363542740,0.12%
2022-12-19,1361947020,0.62%
2022-12-16,1353569490,-1.57%
2022-12-15,1375111710,-3.01%
2022-12-14,1417797220,-1.93%
2022-12-13,1445722320,1.80%
2022-12-12,1420190800,2.30%
2022-12-09,1388276400,0.12%
2022-12-08,1386680680,-0.69%
2022-12-07,1396255000,-0.20%
2022-12-06,1399047510,-1.41%
2022-12-05,1418994010,-4.59%
2022-12-02,1487211040,-0.37%
2022-12-01,1492796060,0.48%
2022-11-30,1485615320,1.50%
2022-11-29,1463674170,0.74%
2022-11-28,1452903060,-3.29%
2022-11-25,1502370379,0.24%
2022-11-23,1498780010,0.62%
2022-11-22,1489604620,1.69%
2022-11-21,1464870960,1.44%
2022-11-18,1444126600,-0.90%
2022-11-17,1457291290,-1.83%
2022-11-16,1484418530,-1.17%
2022-11-15,1501971450,0.43%
2022-11-14,1495588570,-1.50%
2022-11-11,1518327580,2.95%
2022-11-10,1474844210,9.09%
2022-11-09,1351973770,-1.83%
2022-11-08,1377106360,-2.35%
2022-11-07,1410217550,1.93%
