Date,Market Cap,% Change
2023-04-20,264727078,1.70%
2023-04-19,260299586,-1.92%
2023-04-18,265391201,
2023-04-17,265391201,
2023-04-14,265391201,
2023-04-13,265391201,
2023-04-12,265391201,-0.10%
2023-04-11,265649472,0.91%
2023-04-10,263266743,-2.25%
2023-04-06,269339048,
2023-04-05,269339048,
2023-04-04,269339048,
2023-04-03,269339048,
2023-03-31,269339048,
2023-03-30,269339048,
2023-03-29,269339048,1.39%
2023-03-28,265649472,0.00%
2023-03-27,265650578,0.00%
2023-03-24,265649472,
2023-03-23,265649472,-1.40%
2023-03-22,269412828,0.00%
2023-03-21,269402877,0.01%
2023-03-20,269375943,0.01%
2023-03-17,269339048,
2023-03-16,269339048,
2023-03-15,269339048,
2023-03-14,269339048,
2023-03-13,269339048,
2023-03-10,269339048,0.69%
2023-03-09,267494260,
2023-03-08,267494260,0.00%
2023-03-07,267494997,-3.95%
2023-03-06,278489196,0.71%
2023-03-03,276533710,
2023-03-02,276533721,1.59%
2023-03-01,272198469,0.96%
2023-02-28,269597318,
2023-02-27,269597318,0.04%
2023-02-24,269486631,-3.32%
2023-02-23,278747477,
2023-02-22,278747477,
2023-02-21,278747477,
2023-02-17,278747477,
2023-02-16,278747477,
2023-02-15,278747477,0.00%
2023-02-14,278745990,3.49%
2023-02-13,269339048,-3.90%
2023-02-10,280260189,
2023-02-09,280260189,
2023-02-08,280260192,2.52%
2023-02-07,273360671,0.00%
2023-02-06,273360685,0.11%
2023-02-03,273065527,
2023-02-02,273065519,-2.94%
2023-02-01,281330170,1.67%
2023-01-31,276718200,2.70%
2023-01-30,269449731,
2023-01-27,269449735,-4.22%
2023-01-26,281330170,
2023-01-25,281330170,0.33%
2023-01-24,280407776,0.82%
2023-01-23,278120238,3.27%
2023-01-20,269302152,3.69%
2023-01-19,259709254,-1.51%
2023-01-18,263693996,0.01%
2023-01-17,263657100,2.33%
2023-01-13,257643092,-0.28%
2023-01-12,258362559,-1.02%
2023-01-11,261037502,2.48%
2023-01-10,254728327,-0.30%
2023-01-09,255503138,-0.62%
2023-01-06,257089655,-0.51%
2023-01-05,258417903,-0.58%
2023-01-04,259930629,-0.76%
2023-01-03,261925213,-0.01%
2022-12-30,261959896,0.66%
2022-12-29,260245350,-0.65%
2022-12-28,261959896,
2022-12-27,261959896,-0.67%
2022-12-23,263730903,
2022-12-22,263730903,
2022-12-21,263730892,-0.65%
2022-12-20,265464993,1.34%
2022-12-19,261959896,
2022-12-16,261959896,
2022-12-15,261959896,-1.57%
2022-12-14,266129116,-0.67%
2022-12-13,267937009,0.17%
2022-12-12,267494260,2.55%
2022-12-09,260853023,1.01%
2022-12-08,258233424,-2.11%
2022-12-07,263804684,-1.38%
2022-12-06,267494260,0.35%
2022-12-05,266571866,-3.09%
2022-12-02,275057890,-1.91%
2022-12-01,280407776,-1.23%
2022-11-30,283912873,-0.06%
2022-11-29,284097352,
2022-11-28,284097352,
2022-11-25,284097352,
2022-11-23,284097352,1.28%
2022-11-22,280518463,-1.40%
2022-11-21,284503209,
2022-11-18,284503205,-0.18%
2022-11-17,285019746,
2022-11-16,285019746,-1.00%
2022-11-15,287897615,-0.28%
2022-11-14,288709322,2.07%
2022-11-11,282842910,
2022-11-10,282842896,0.21%
2022-11-09,282252564,0.63%
2022-11-08,280481567,0.36%
