Date,Market Cap,% Change
2023-04-25,2188587727,-1.25%
2023-04-24,2216348046,-0.98%
2023-04-21,2238287652,0.24%
2023-04-20,2232914687,-0.52%
2023-04-19,2244556112,
2023-04-18,2244556112,-1.03%
2023-04-17,2267838960,0.88%
2023-04-14,2248138088,-0.34%
2023-04-13,2255749789,-0.28%
2023-04-12,2262018248,-0.94%
2023-04-11,2283510108,0.69%
2023-04-10,2267838960,0.40%
2023-04-06,2258884018,0.72%
2023-04-05,2242765123,1.07%
2023-04-04,2219034528,-1.22%
2023-04-03,2246347100,-2.73%
2023-03-31,2309479438,1.54%
2023-03-30,2274555166,0.32%
2023-03-29,2267391213,1.79%
2023-03-28,2227541723,0.02%
2023-03-27,2227093975,0.77%
2023-03-24,2210079586,2.30%
2023-03-23,2160379661,-1.75%
2023-03-22,2198885909,-3.99%
2023-03-21,2290226314,-1.06%
2023-03-20,2314852403,1.43%
2023-03-17,2282166866,-3.47%
2023-03-16,2364104582,-0.04%
2023-03-15,2365000076,0.34%
2023-03-14,2356940629,1.84%
2023-03-13,2314404656,0.86%
2023-03-10,2294703785,-2.57%
2023-03-09,2355149640,-0.32%
2023-03-08,2362761341,1.07%
2023-03-07,2337687504,-1.40%
2023-03-06,2370820788,-1.74%
2023-03-03,2412909014,0.17%
2023-03-02,2408879290,0.13%
2023-03-01,2405745060,-2.31%
2023-02-28,2462608940,-1.01%
2023-02-27,2487682776,1.52%
2023-02-24,2450519768,-0.83%
2023-02-23,2471116134,2.37%
2023-02-22,2413804508,-6.73%
2023-02-21,2587978122,-1.21%
2023-02-17,2619768165,-0.12%
2023-02-16,2622902394,0.79%
2023-02-15,2602306028,0.73%
2023-02-14,2583500651,-0.57%
2023-02-13,2598276305,0.03%
2023-02-10,2597380811,2.89%
2023-02-09,2524398037,-1.54%
2023-02-08,2563799780,0.37%
2023-02-07,2554397091,-1.50%
2023-02-06,2593351087,-2.11%
2023-02-03,2649319472,-0.72%
2023-02-02,2668572596,0.98%
2023-02-01,2642603266,0.32%
2023-01-31,2634096071,2.37%
2023-01-30,2573202468,-0.33%
2023-01-27,2581709663,1.30%
2023-01-26,2548576379,0.98%
2023-01-25,2523950289,-0.12%
2023-01-24,2527084519,-1.02%
2023-01-23,2553053850,1.57%
2023-01-20,2513652107,0.11%
2023-01-19,2510965624,0.63%
2023-01-18,2495294476,-0.62%
2023-01-17,2510965624,1.69%
2023-01-13,2469325146,-0.18%
2023-01-12,2473802617,2.16%
2023-01-11,2421416208,3.44%
2023-01-10,2340821734,-1.10%
2023-01-09,2366791064,-2.44%
2023-01-06,2425893679,3.26%
2023-01-05,2349328928,-2.44%
2023-01-04,2407983796,1.80%
2023-01-03,2365447823,4.40%
2022-12-30,2265760107,0.21%
2022-12-29,2260987345,-0.93%
2022-12-28,2282247829,-2.77%
2022-12-27,2347330942,0.04%
2022-12-23,2346463167,0.06%
2022-12-22,2345161505,-1.04%
2022-12-21,2369893088,-0.35%
2022-12-20,2378136949,-0.42%
2022-12-19,2388116359,-0.65%
2022-12-16,2403736306,-0.75%
2022-12-15,2421959578,0.22%
2022-12-14,2416752929,-1.61%
2022-12-13,2456236684,-0.32%
2022-12-12,2464046658,0.16%
2022-12-09,2460141671,0.28%
2022-12-08,2453199472,1.40%
2022-12-07,2419356253,-1.13%
2022-12-06,2447125048,-0.02%
2022-12-05,2447558936,-0.97%
2022-12-02,2471422744,2.37%
2022-12-01,2414149604,-1.10%
2022-11-30,2441050624,2.46%
2022-11-29,2382475823,3.02%
2022-11-28,2312619948,-2.67%
2022-11-25,2375967511,1.13%
2022-11-23,2349500379,-1.76%
2022-11-22,2391587459,-0.33%
2022-11-21,2399397432,3.00%
2022-11-18,2329541557,0.88%
2022-11-17,2309148849,0.04%
2022-11-16,2308281074,-3.31%
2022-11-15,2387248584,-1.22%
2022-11-14,2416752929,-2.72%
2022-11-11,2484439366,-0.56%
2022-11-10,2498323764,5.48%
2022-11-09,2368591425,0.33%
2022-11-08,2360781452,-1.77%
2022-11-07,2403302419,-0.40%
2022-11-04,2412847942,1.96%
2022-11-03,2366421988,-0.91%
2022-11-02,2388116359,-0.83%
2022-11-01,2408075181,-2.12%
2022-10-31,2460141671,-0.54%
2022-10-28,2473592181,1.44%
2022-10-27,2438447300,0.34%
2022-10-26,2430203439,0.54%
2022-10-25,2417186816,0.94%
2022-10-24,2394624670,0.66%
2022-10-21,2379004723,0.13%
2022-10-20,2375967511,0.22%
2022-10-19,2370760862,0.07%
2022-10-18,2369025313,0.68%
2022-10-17,2352971478,3.79%
2022-10-14,2267061769,-1.42%
2022-10-13,2299603326,2.49%
2022-10-12,2243631848,0.39%
2022-10-11,2234954100,0.72%
2022-10-10,2218900265,-0.33%
2022-10-07,2226276352,-2.58%
2022-10-06,2285285041,-3.00%
2022-10-05,2356008690,-3.74%
2022-10-04,2447558936,0.14%
2022-10-03,2444087836,-0.35%
2022-09-30,2452765585,0.01%
2022-09-29,2452444017,-3.69%
2022-09-28,2546444764,2.21%
2022-09-27,2491463195,-0.37%
2022-09-26,2500774590,-4.79%
2022-09-23,2626700119,-2.44%
2022-09-22,2692323282,-1.81%
2022-09-21,2741984054,-0.96%
2022-09-20,2768588039,-0.51%
2022-09-19,2782776831,0.48%
2022-09-16,2769474838,0.45%
2022-09-15,2757059645,-0.43%
2022-09-14,2769031438,-4.13%
2022-09-13,2888305971,-2.56%
2022-09-12,2964127328,1.07%
2022-09-09,2932645946,0.99%
2022-09-08,2903824962,-0.59%
2022-09-07,2921117553,2.12%
2022-09-06,2860371787,0.58%
2022-09-02,2843965996,-0.45%
2022-09-01,2856824589,-1.65%
2022-08-31,2904711762,-0.61%
2022-08-30,2922447752,-0.75%
2022-08-29,2944617739,0.21%
2022-08-26,2938410143,-1.24%
2022-08-25,2975212322,0.86%
2022-08-24,2949938536,0.96%
2022-08-23,2922004352,-1.20%
2022-08-22,2957476332,0.41%
2022-08-19,2945504539,1.73%
2022-08-18,2895400367,-0.27%
2022-08-17,2903381563,-0.11%
2022-08-16,2906485361,-0.27%
2022-08-15,2914466556,-0.65%
2022-08-12,2933532746,2.05%
2022-08-11,2874560579,0.15%
2022-08-10,2870126581,0.02%
2022-08-09,2869683182,1.27%
2022-08-08,2833767802,1.36%
2022-08-05,2795635423,-1.10%
2022-08-04,2826673406,-0.47%
2022-08-03,2839975398,-1.29%
2022-08-02,2877220977,-1.41%
2022-08-01,2918457154,1.51%
2022-07-29,2875003979,1.33%
2022-07-28,2837315000,0.95%
2022-07-27,2810711015,0.70%
2022-07-26,2791201426,-0.17%
2022-07-25,2796078823,1.50%
2022-07-22,2754842646,0.96%
2022-07-21,2728682061,0.84%
2022-07-20,2706068674,-0.31%
2022-07-19,2714493269,1.11%
2022-07-18,2684785486,-0.51%
2022-07-15,2698530878,1.42%
2022-07-14,2660841899,0.10%
2022-07-13,2658181501,-1.61%
2022-07-12,2701634676,1.38%
2022-07-11,2664832497,-0.63%
2022-07-08,2681681688,0.55%
2022-07-07,2667049496,-0.78%
2022-07-06,2687889284,0.13%
2022-07-05,2684342086,-1.70%
2022-07-01,2730899060,1.62%
2022-06-30,2687445884,-3.77%
2022-06-29,2792773341,-0.92%
2022-06-28,2818827037,0.10%
2022-06-27,2816084543,-0.06%
2022-06-24,2817912872,1.15%
2022-06-23,2785917106,2.51%
2022-06-22,2717811831,1.12%
2022-06-21,2687644394,-3.23%
2022-06-17,2777232540,1.37%
2022-06-16,2739751785,-0.08%
2022-06-15,2742037197,6.21%
2022-06-14,2581601282,-1.59%
2022-06-13,2623195778,-6.01%
2022-06-10,2790945012,-1.17%
2022-06-09,2823854943,1.75%
2022-06-08,2775404211,-0.61%
2022-06-07,2792316259,3.05%
2022-06-06,2709584348,0.14%
2022-06-03,2705927689,0.44%
2022-06-02,2694043547,-0.82%
2022-06-01,2716440584,0.47%
2022-05-31,2703642277,0.39%
2022-05-27,2693129382,0.89%
2022-05-26,2669361099,-1.20%
2022-05-25,2701813948,1.65%
2022-05-24,2657934039,3.60%
2022-05-23,2565603398,0.63%
2022-05-20,2549605515,-0.20%
2022-05-19,2554633421,-0.99%
2022-05-18,2580230035,-1.36%
2022-05-17,2615882460,3.21%
2022-05-16,2534521797,1.65%
2022-05-13,2493384382,0.85%
2022-05-12,2472358593,2.79%
2022-05-11,2405167483,1.19%
2022-05-10,2376828376,-3.22%
2022-05-09,2455903627,-0.17%
2022-05-06,2460017369,-1.21%
2022-05-05,2490184806,1.25%
2022-05-04,2459560286,1.89%
2022-05-03,2413852048,3.67%
2022-05-02,2328377643,-1.14%
2022-04-29,2355345504,-1.96%
2022-04-28,2402424989,2.04%
2022-04-27,2354431339,-3.56%
2022-04-26,2441276991,-1.38%
2022-04-25,2475558170,-1.15%
2022-04-22,2504354360,-1.07%
2022-04-21,2531322220,-0.43%
2022-04-20,2542292197,1.27%
2022-04-19,2510296430,0.60%
2022-04-18,2495212712,-2.19%
2022-04-14,2550976762,0.69%
2022-04-13,2533607632,-1.19%
2022-04-12,2564232151,0.02%
2022-04-11,2563775069,0.34%
2022-04-08,2555090504,0.11%
2022-04-07,2552348009,-0.87%
2022-04-06,2574745046,0.93%
2022-04-05,2550976762,-4.07%
2022-04-04,2659305286,-3.28%
2022-04-01,2749350515,1.93%
2022-03-31,2697243124,-1.07%
2022-03-30,2726281789,-2.19%
2022-03-29,2787263201,2.37%
2022-03-28,2722613734,1.40%
2022-03-25,2685016172,0.95%
2022-03-24,2659798294,1.17%
2022-03-23,2629078335,-0.40%
2022-03-22,2639623993,-0.59%
2022-03-21,2655213226,0.12%
2022-03-18,2652003678,-1.30%
2022-03-17,2686850199,2.63%
2022-03-16,2618074170,0.49%
2022-03-15,2605235978,-0.73%
2022-03-14,2624493266,-0.35%
2022-03-11,2633663403,0.68%
2022-03-10,2615781636,1.21%
2022-03-09,2584603169,-0.49%
2022-03-08,2597441361,1.72%
2022-03-07,2553424703,-0.27%
2022-03-04,2560302306,0.43%
2022-03-03,2549298141,1.53%
2022-03-02,2510783565,2.82%
2022-03-01,2442007536,-0.09%
2022-02-28,2444300070,-0.19%
2022-02-25,2448885139,1.25%
2022-02-24,2418623686,0.04%
2022-02-23,2417706672,-1.25%
2022-02-22,2448426632,-2.02%
2022-02-18,2498862387,-0.86%
2022-02-17,2520412209,-0.74%
2022-02-16,2539210990,2.61%
2022-02-15,2474561523,1.20%
2022-02-14,2445217084,-2.04%
2022-02-11,2496111345,2.00%
2022-02-10,2447051111,-2.07%
2022-02-09,2498862387,2.33%
2022-02-08,2442007536,-0.65%
2022-02-07,2458055276,0.37%
2022-02-04,2448885139,-1.82%
2022-02-03,2494277318,-3.60%
2022-02-02,2587354210,-0.53%
2022-02-01,2601109416,-1.90%
2022-01-31,2651545171,0.36%
2022-01-28,2641916527,0.80%
2022-01-27,2620825211,-0.21%
2022-01-26,2626327294,-2.54%
2022-01-25,2694644816,0.22%
2022-01-24,2688684227,-0.19%
2022-01-21,2693727802,0.39%
2022-01-20,2683182144,-2.45%
2022-01-19,2750582653,-0.84%
2022-01-18,2773966503,-0.15%
2022-01-14,2778093064,1.37%
2022-01-13,2740495502,1.56%
2022-01-12,2698312871,-2.36%
2022-01-11,2763420845,-1.92%
2022-01-10,2817524654,0.74%
2022-01-07,2796891846,2.92%
2022-01-06,2717570159,0.19%
2022-01-05,2712526583,0.39%
2022-01-04,2701980925,1.12%
2022-01-03,2672177980,1.41%
2021-12-31,2635038924,0.33%
2021-12-30,2626322310,-0.76%
2021-12-29,2646496574,0.52%
2021-12-28,2632741394,0.83%
2021-12-27,2611191613,1.70%
2021-12-23,2567633544,-0.12%
2021-12-22,2570843085,-0.81%
2021-12-21,2591934361,2.26%
2021-12-20,2534621112,-3.17%
2021-12-17,2617610696,2.48%
2021-12-16,2554336870,1.59%
2021-12-15,2514446849,1.71%
2021-12-14,2472264298,-2.09%
2021-12-13,2524992486,-0.02%
2021-12-10,2525450992,-0.88%
2021-12-09,2547917786,-1.23%
2021-12-08,2579554699,1.64%
2021-12-07,2537830654,-0.91%
2021-12-06,2561214460,4.49%
2021-12-03,2451173022,0.41%
2021-12-02,2441085890,4.47%
2021-12-01,2336546525,-2.45%
2021-11-30,2395235291,-0.10%
2021-11-29,2397527821,-0.91%
2021-11-26,2419536109,-4.92%
2021-11-24,2544708244,0.60%
2021-11-23,2529577546,-1.22%
2021-11-22,2560755954,-0.16%
2021-11-19,2564882508,-1.32%
2021-11-18,2599270457,-0.51%
2021-11-17,2612567131,0.33%
2021-11-16,2603855517,-1.13%
2021-11-15,2633658406,1.74%
2021-11-12,2588724819,-1.52%
2021-11-11,2628614840,-1.46%
2021-11-10,2667587849,3.47%
2021-11-09,2578179181,3.36%
2021-11-08,2494272585,-1.91%
2021-11-05,2542874220,4.01%
2021-11-04,2444753938,-1.86%
2021-11-03,2491063043,0.61%
2021-11-02,2475932346,-0.92%
2021-11-01,2498857645,1.34%
2021-10-29,2465845214,-4.36%
2021-10-28,2578179181,-1.52%
2021-10-27,2618069202,1.24%
2021-10-26,2585973783,0.86%
2021-10-25,2563965496,-0.39%
2021-10-22,2574052627,-1.66%
2021-10-21,2617610696,-0.38%
2021-10-20,2627697828,0.70%
2021-10-19,2609357589,0.04%
2021-10-18,2608440577,0.69%
2021-10-15,2590558843,1.13%
2021-10-14,2561672966,1.23%
2021-10-13,2530494558,2.22%
2021-10-12,2475473840,2.12%
2021-10-11,2424121169,0.69%
2021-10-08,2407614953,-0.30%
2021-10-07,2414951049,-0.45%
2021-10-06,2425955193,0.61%
2021-10-05,2411283001,-2.65%
2021-10-04,2476849357,
2021-10-01,2476849357,0.97%
2021-09-30,2453007046,-0.91%
2021-09-29,2475473840,-1.85%
2021-09-28,2522241450,-0.60%
2021-09-27,2537372148,-1.20%
2021-09-24,2568092049,-1.98%
2021-09-23,2619903226,0.26%
2021-09-22,2613025637,0.67%
2021-09-21,2595602409,-0.40%
2021-09-20,2606148047,-0.05%
2021-09-17,2607523565,-1.06%
2021-09-16,2635492430,0.14%
2021-09-15,2631824382,-1.09%
2021-09-14,2660710259,-1.38%
2021-09-13,2697849245,0.75%
2021-09-10,2677674981,-1.53%
2021-09-09,2719399026,-1.45%
2021-09-08,2759289047,-0.13%
2021-09-07,2762957095,-1.76%
2021-09-03,2812475742,-0.42%
2021-09-02,2824396898,1.80%
2021-09-01,2774419745,1.15%
2021-08-31,2742782832,0.84%
2021-08-30,2719857532,-0.60%
2021-08-27,2736363748,-0.08%
2021-08-26,2738656278,-1.81%
2021-08-25,2789091937,0.96%
2021-08-24,2762498589,1.26%
2021-08-23,2728110640,0.95%
2021-08-20,2702434305,-0.49%
2021-08-19,2715730978,-1.37%
2021-08-18,2753328469,-2.69%
2021-08-17,2829440464,0.72%
2021-08-16,2809266200,-2.67%
2021-08-13,2886295207,1.04%
2021-08-12,2856492317,0.84%
2021-08-11,2832650006,-1.14%
2021-08-10,2865203931,-4.51%
2021-08-09,3000463198,-1.79%
2021-08-06,3055025411,-1.51%
2021-08-05,3101793022,1.58%
2021-08-04,3053649893,-1.61%
2021-08-03,3103627046,0.34%
2021-08-02,3093081408,-1.13%
2021-07-30,3128386369,0.43%
2021-07-29,3115089696,-0.09%
2021-07-28,3117840732,-0.92%
2021-07-27,3146726609,1.30%
2021-07-26,3106378082,-0.16%
2021-07-23,3111421648,0.43%
2021-07-22,3098124974,-0.71%
2021-07-21,3120133261,0.53%
2021-07-20,3103627046,2.78%
2021-07-19,3019720450,-2.89%
2021-07-16,3109587624,1.12%
2021-07-15,3075199674,0.06%
2021-07-14,3073365650,0.52%
2021-07-13,3057317941,-2.01%
2021-07-12,3120133261,0.96%
2021-07-09,3090330372,1.48%
2021-07-08,3045396785,-0.58%
2021-07-07,3063278519,-0.79%
2021-07-06,3087579336,0.76%
2021-07-02,3064195531,-0.13%
2021-07-01,3068322085,-0.19%
2021-06-30,3074282662,0.71%
2021-06-29,3052732881,-2.16%
2021-06-28,3120133261,-1.68%
2021-06-25,3173319956,0.55%
2021-06-24,3155896729,1.44%
