Date,Market Cap,% Change
2023-04-26,37758186101,-0.52%
2023-04-25,37953951162,-0.08%
2023-04-24,37984539453,-0.39%
2023-04-21,38131363248,0.65%
2023-04-20,37886656922,0.47%
2023-04-19,37709244836,0.87%
2023-04-18,37385008954,-0.73%
2023-04-17,37660303571,1.30%
2023-04-14,37177008577,-1.24%
2023-04-13,37641950596,-0.63%
2023-04-12,37880539264,-0.29%
2023-04-11,37990657111,-0.88%
2023-04-10,38327128309,0.13%
2023-04-06,38278187044,-0.22%
2023-04-05,38363834258,-0.21%
2023-04-04,38443363814,-0.05%
2023-04-03,38461716789,-0.71%
2023-03-31,38737011405,1.13%
2023-03-30,38302657677,0.92%
2023-03-29,37953951162,1.60%
2023-03-28,37354420663,0.58%
2023-03-27,37140302628,-0.54%
2023-03-24,37342185347,2.99%
2023-03-23,36259359855,-0.22%
2023-03-22,36338889411,-3.05%
2023-03-21,37482891485,-1.13%
2023-03-20,37911127555,0.96%
2023-03-17,37550185724,-1.68%
2023-03-16,38192539830,-1.00%
2023-03-15,38577952293,-0.25%
2023-03-14,38675834824,0.68%
2023-03-13,38412775523,2.30%
2023-03-10,37550185724,-3.25%
2023-03-09,38810423303,-1.70%
2023-03-08,39483365700,1.00%
2023-03-07,39091835578,-0.62%
2023-03-06,39336541904,-0.29%
2023-03-03,39452777409,0.62%
2023-03-02,39208071083,0.90%
2023-03-01,38859364568,-0.67%
2023-02-28,39122423869,-1.25%
2023-02-27,39617954179,-0.34%
2023-02-24,39752542658,-1.66%
2023-02-23,40425485055,0.85%
2023-02-22,40082896198,0.46%
2023-02-21,39899366454,-1.36%
2023-02-17,40449955687,-0.29%
2023-02-16,40566191192,-0.14%
2023-02-15,40621250116,1.05%
2023-02-14,40199131703,-2.14%
2023-02-13,41080074477,0.45%
2023-02-10,40896544732,0.94%
2023-02-09,40517249927,-1.47%
2023-02-08,41122898084,-0.22%
2023-02-07,41214662956,-0.53%
2023-02-06,41434898649,0.21%
2023-02-03,41349251435,-0.40%
2023-02-02,41514428205,-0.06%
2023-02-01,41538898838,0.10%
2023-01-31,41496075231,0.09%
2023-01-30,41459369282,-0.78%
2023-01-27,41783605164,0.49%
2023-01-26,41581722445,0.98%
2023-01-25,41177957007,0.31%
2023-01-24,41049486186,0.25%
2023-01-23,40945485997,0.83%
2023-01-20,40609014799,1.64%
2023-01-19,39954425377,-1.11%
2023-01-18,40401014422,-1.27%
2023-01-17,40921015365,1.06%
2023-01-13,40492779294,-0.54%
2023-01-12,40713014988,0.83%
2023-01-11,40376543790,2.90%
2023-01-10,39238659374,-0.87%
2023-01-09,39581248230,0.97%
2023-01-06,39201953425,1.09%
2023-01-05,38779835012,-1.89%
2023-01-04,39526189307,1.27%
2023-01-03,39030658997,-2.85%
2022-12-30,40174903115,-0.94%
2022-12-29,40554927423,1.27%
2022-12-28,40048228345,-1.37%
2022-12-27,40605597331,-0.47%
2022-12-23,40795609485,1.51%
2022-12-22,40187570592,-1.23%
2022-12-21,40687935931,1.79%
2022-12-20,39972223484,-0.68%
2022-12-19,40244574238,0.09%
2022-12-16,40206571807,-1.79%
2022-12-15,40941285470,-0.03%
2022-12-14,40953952947,-0.46%
2022-12-13,41143965101,0.45%
2022-12-12,40960286685,0.34%
2022-12-09,40820944439,0.61%
2022-12-08,40573928638,0.77%
2022-12-07,40263575453,1.37%
2022-12-06,39718873945,0.76%
2022-12-05,39421188237,-1.05%
2022-12-02,39839214976,0.14%
2022-12-01,39782211330,-0.41%
2022-11-30,39946888530,1.24%
2022-11-29,39459190668,0.91%
2022-11-28,39104501313,-4.80%
2022-11-25,41074293977,0.51%
2022-11-23,40865280608,-1.19%
2022-11-22,41359312209,
2022-11-21,41359312209,0.93%
2022-11-18,40979287900,0.45%
2022-11-17,40795609485,0.89%
2022-11-16,40434586392,-1.39%
2022-11-15,41004622854,1.03%
2022-11-14,40586596115,-1.39%
2022-11-11,41156632578,-0.60%
2022-11-10,41403648378,3.35%
2022-11-09,40060895822,-0.14%
2022-11-08,40117899468,0.33%
2022-11-07,39984890961,0.19%
2022-11-04,39908886099,2.24%
2022-11-03,39034830190,0.92%
2022-11-02,38680140836,-1.83%
2022-11-01,39402187021,-0.10%
2022-10-31,39440189452,-0.06%
2022-10-28,39465524406,1.91%
2022-10-27,38724477005,0.89%
2022-10-26,38382455128,0.18%
2022-10-25,38312784005,2.51%
2022-10-24,37375390711,2.39%
2022-10-21,36501334802,0.28%
2022-10-20,36399994987,-0.62%
2022-10-19,36628009572,-1.36%
2022-10-18,37134708649,1.98%
2022-10-17,36412662464,3.51%
2022-10-14,35177583462,-3.49%
2022-10-13,36450664894,0.03%
2022-10-12,36437997417,-0.91%
2022-10-11,36773685556,1.24%
2022-10-10,36323990125,-1.17%
2022-10-07,36754684341,-0.84%
2022-10-06,37065037526,-1.68%
2022-10-05,37698411373,-1.24%
2022-10-04,38173441758,1.77%
2022-10-03,37508399219,1.75%
2022-09-30,36862357895,3.01%
2022-09-29,35784797741,-4.01%
2022-09-28,37279175835,1.48%
2022-09-27,36735765619,-2.32%
2022-09-26,37606456988,-1.47%
2022-09-23,38168392552,-1.10%
2022-09-22,38594475562,-0.06%
2022-09-21,38619176026,-0.87%
2022-09-20,38958807411,-1.38%
2022-09-19,39502217627,-0.53%
2022-09-16,39712171574,1.39%
2022-09-15,39168761358,-3.03%
2022-09-14,40391434344,-0.76%
2022-09-13,40700190149,-2.50%
2022-09-12,41743784768,1.21%
2022-09-09,41243600365,0.65%
