Date,Market Cap,% Change
2023-04-25,2480684480,-1.38%
2023-04-24,2515434240,0.31%
2023-04-21,2507587520,-1.45%
2023-04-20,2544579200,-2.45%
2023-04-19,2608473920,2.15%
2023-04-18,2553546880,-1.60%
2023-04-17,2595022400,1.62%
2023-04-14,2553546880,-2.52%
2023-04-13,2619683520,0.21%
2023-04-12,2614078720,-1.69%
2023-04-11,2658917120,0.42%
2023-04-10,2647707520,-0.08%
2023-04-06,2649949440,0.77%
2023-04-05,2629772160,0.95%
2023-04-04,2605111040,-0.90%
2023-04-03,2628651200,-1.10%
2023-03-31,2657796160,2.60%
2023-03-30,2590538560,0.79%
2023-03-29,2570361280,1.73%
2023-03-28,2526643840,0.31%
2023-03-27,2518797120,1.13%
2023-03-24,2490773120,1.46%
2023-03-23,2454902400,-1.88%
2023-03-22,2501982720,-4.29%
2023-03-21,2614078720,1.66%
2023-03-20,2571482240,0.31%
2023-03-17,2563635520,-2.72%
2023-03-16,2635376960,-2.41%
2023-03-15,2700392640,-0.78%
2023-03-14,2721690880,-0.53%
2023-03-13,2736263360,1.67%
2023-03-10,2691424960,-2.68%
2023-03-09,2765408320,-1.00%
2023-03-08,2793432320,0.28%
2023-03-07,2785585600,-2.82%
2023-03-06,2866294720,0.31%
2023-03-03,2857327040,-1.24%
2023-03-02,2893197760,0.35%
2023-03-01,2883109120,1.14%
2023-02-28,2850601280,-0.74%
2023-02-27,2871899520,0.75%
2023-02-24,2850601280,-1.43%
2023-02-23,2892076800,0.62%
2023-02-22,2874141440,0.16%
2023-02-21,2869657600,-2.59%
2023-02-17,2945882880,0.69%
2023-02-16,2925705600,-1.17%
2023-02-15,2960455360,-0.23%
2023-02-14,2967181120,-1.23%
2023-02-13,3004172800,1.98%
2023-02-10,2945882880,1.19%
2023-02-09,2911133120,-2.52%
2023-02-08,2986237440,-0.71%
2023-02-07,3007535680,-0.52%
2023-02-06,3023229120,-0.88%
2023-02-03,3050132160,-1.41%
2023-02-02,3093849600,0.04%
2023-02-01,3092728640,-1.71%
2023-01-31,3146534720,1.78%
2023-01-30,3091607680,-2.37%
2023-01-27,3166712000,1.25%
2023-01-26,3127478400,-0.68%
2023-01-25,3148776640,-0.53%
2023-01-24,3165591040,0.32%
2023-01-23,3155502400,-0.32%
2023-01-20,3165591040,2.13%
2023-01-19,3099454400,0.77%
2023-01-18,3075914240,-2.70%
2023-01-17,3161107200,0.75%
2023-01-13,3137567040,0.79%
2023-01-12,3112905920,2.59%
2023-01-11,3034438720,4.08%
2023-01-10,2915616960,0.97%
2023-01-09,2887592960,-1.83%
2023-01-06,2941399040,3.80%
2023-01-05,2833786880,-3.70%
2023-01-04,2942520000,1.55%
2023-01-03,2897681600,-0.33%
2022-12-30,2907173620,-0.12%
2022-12-29,2910535810,1.09%
2022-12-28,2879155370,-1.46%
2022-12-27,2921743110,0.39%
2022-12-23,2910535810,0.66%
2022-12-22,2891483400,-0.73%
2022-12-21,2912777270,2.65%
2022-12-20,2837688360,-0.35%
2022-12-19,2847774930,-0.74%
2022-12-16,2869068800,-1.50%
2022-12-15,2912777270,-1.25%
2022-12-14,2949761360,1.58%
2022-12-13,2903811430,1.73%
2022-12-12,2854499310,-1.20%
2022-12-09,2889241940,-0.54%
2022-12-08,2904932160,0.47%
2022-12-07,2891483400,0.58%
2022-12-06,2874672450,-1.91%
2022-12-05,2930708950,-2.79%
2022-12-02,3014763700,0.15%
2022-12-01,3010280780,-3.28%
2022-11-30,3112267210,1.46%
2022-11-29,3067438010,0.81%
2022-11-28,3042781950,-1.63%
2022-11-25,3093214800,1.36%
2022-11-23,3051747790,-0.91%
2022-11-22,3079766040,1.55%
2022-11-21,3032695380,1.84%
2022-11-18,2977779610,0.49%
2022-11-17,2963210120,-0.30%
2022-11-16,2972175960,-2.86%
2022-11-15,3059592900,1.30%
2022-11-14,3020367350,-2.85%
2022-11-11,3108905020,-0.11%
2022-11-10,3112267210,6.03%
2022-11-09,2935191870,-1.50%
2022-11-08,2980021070,-0.49%
2022-11-07,2994590560,0.75%
2022-11-04,2972175960,2.00%
2022-11-03,2913898000,-1.07%
2022-11-02,2945278440,-1.28%
2022-11-01,2983383260,-0.11%
2022-10-31,2986745450,1.33%
2022-10-28,2947519900,3.34%
2022-10-27,2852257850,-0.20%
2022-10-26,2857861500,0.47%
2022-10-25,2844412740,1.81%
2022-10-24,2793979890,0.93%
2022-10-21,2768203100,2.49%
2022-10-20,2700959300,-0.25%
2022-10-19,2707683680,-1.11%
2022-10-18,2737943390,-0.49%
2022-10-17,2751392150,1.87%
2022-10-14,2700959300,1.01%
2022-10-13,2674061780,2.49%
2022-10-12,2609059440,0.87%
2022-10-11,2586644840,0.22%
2022-10-10,2581041190,2.63%
2022-10-07,2514918120,-1.15%
2022-10-06,2544057100,-0.48%
2022-10-05,2556385130,-5.63%
2022-10-04,2708804410,2.89%
2022-10-03,2632594770,1.12%
2022-09-30,2603455790,1.33%
2022-09-29,2569171560,-2.84%
2022-09-28,2644273870,2.17%
2022-09-27,2588227370,-1.66%
2022-09-26,2631943640,-2.77%
2022-09-23,2707045950,-2.86%
2022-09-22,2786631980,-1.11%
2022-09-21,2818018020,-1.99%
2022-09-20,2875185450,-0.81%
2022-09-19,2898724980,1.53%
2022-09-16,2855008710,2.00%
2022-09-15,2798962210,-1.96%
2022-09-14,2855008710,-2.41%
2022-09-13,2925627300,-3.48%
2022-09-12,3030994720,1.92%
2022-09-09,2973827290,1.49%
2022-09-08,2930111020,0.23%
2022-09-07,2923385440,2.39%
2022-09-06,2855008710,0.28%
2022-09-02,2847162200,-1.44%
2022-09-01,2888636610,-0.27%
2022-08-31,2896483120,-1.97%
2022-08-30,2954771480,-0.30%
2022-08-29,2963738920,0.30%
2022-08-26,2954771480,-1.53%
2022-08-25,3000729610,1.71%
2022-08-24,2950287760,-0.49%
2022-08-23,2964859850,-0.19%
2022-08-22,2970464500,-2.72%
2022-08-19,3053413320,-0.18%
2022-08-18,3059017970,0.22%
2022-08-17,3052292390,-1.63%
2022-08-16,3102734240,-0.18%
2022-08-15,3108338890,-0.36%
2022-08-12,3119548190,1.27%
2022-08-11,3080315640,-0.76%
2022-08-10,3103855170,1.80%
2022-08-09,3048929600,1.00%
2022-08-08,3018664490,1.97%
2022-08-05,2960376130,-0.53%
2022-08-04,2976069150,-2.32%
2022-08-03,3046687740,-0.29%
2022-08-02,3055655180,-1.87%
2022-08-01,3113943540,-1.31%
2022-07-29,3155417950,2.93%
2022-07-28,3065743550,1.30%
2022-07-27,3026511000,-0.04%
2022-07-26,3027631930,-0.22%
2022-07-25,3034357510,2.31%
2022-07-22,2965980780,0.80%
2022-07-21,2942441250,-0.79%
2022-07-20,2965980780,-1.45%
2022-07-19,3009697050,1.97%
2022-07-18,2951408690,0.34%
2022-07-15,2941320320,1.71%
2022-07-14,2891999400,0.90%
2022-07-13,2866218010,-1.54%
2022-07-12,2911055210,2.57%
2022-07-11,2838194760,-2.28%
2022-07-08,2904329630,-1.41%
2022-07-07,2945804040,-0.94%
2022-07-06,2973827290,-0.67%
2022-07-05,2994004030,-0.07%
2022-07-01,2996245890,2.06%
2022-06-30,2935715670,-0.60%
2022-06-29,2953360700,-1.13%
2022-06-28,2986985300,-0.93%
2022-06-27,3015005800,-0.22%
2022-06-24,3021730720,1.24%
2022-06-23,2984743660,-0.08%
2022-06-22,2986985300,0.57%
2022-06-21,2970173000,0.49%
2022-06-17,2955602340,2.73%
2022-06-16,2877144940,-2.51%
2022-06-15,2951119060,2.53%
2022-06-14,2878265760,-0.04%
2022-06-13,2879386580,-4.92%
2022-06-10,3028455640,-0.04%
2022-06-09,3029576460,-1.31%
2022-06-08,3069925980,-0.76%
2022-06-07,3093463200,3.18%
2022-06-06,2998193500,0.19%
2022-06-03,2992589400,-1.98%
2022-06-02,3053113680,0.63%
2022-06-01,3034059740,-2.06%
2022-05-31,3097946480,0.88%
2022-05-27,3071046800,0.74%
2022-05-26,3048630400,-0.62%
2022-05-25,3067684340,-0.47%
2022-05-24,3082255000,1.25%
2022-05-23,3044147120,1.53%
2022-05-20,2998193500,0.53%
2022-05-19,2982502020,-0.75%
2022-05-18,3004918420,0.52%
2022-05-17,2989226940,2.62%
2022-05-16,2913011180,1.80%
2022-05-13,2861453460,0.47%
2022-05-12,2848003620,2.38%
2022-05-11,2781875240,-1.15%
2022-05-10,2814379020,-2.30%
2022-05-09,2880507400,-2.13%
2022-05-06,2943273320,-0.83%
2022-05-05,2967931360,-2.61%
2022-05-04,3047509580,1.53%
2022-05-03,3001555960,2.29%
2022-05-02,2934306760,-1.91%
2022-04-29,2991468580,-3.54%
2022-04-28,3101308940,1.47%
2022-04-27,3056476140,-1.66%
2022-04-26,3108033860,-1.49%
2022-04-25,3155108300,-0.18%
2022-04-22,3160712400,0.14%
2022-04-21,3156229120,-0.71%
2022-04-20,3178645520,0.21%
2022-04-19,3171920600,0.78%
2022-04-18,3147262560,-0.32%
2022-04-14,3157349940,0.11%
2022-04-13,3153987480,2.07%
2022-04-12,3090100740,0.80%
2022-04-11,3065442700,0.07%
2022-04-08,3063201060,0.81%
2022-04-07,3038543020,-2.83%
2022-04-06,3127087800,0.79%
2022-04-05,3102429760,-2.71%
2022-04-04,3188732900,-2.30%
2022-04-01,3263827840,2.03%
2022-03-31,3198820280,-1.57%
2022-03-30,3249700200,-1.73%
2022-03-29,3306830400,1.83%
2022-03-28,3247459800,0.03%
2022-03-25,3246339600,2.80%
2022-03-24,3157843800,2.10%
2022-03-23,3092872200,-1.07%
2022-03-22,3126478200,0.18%
2022-03-21,3120877200,0.94%
2022-03-18,3091752000,-0.90%
2022-03-17,3119757000,0.91%
2022-03-16,3091752000,-0.36%
2022-03-15,3102954000,-1.81%
2022-03-14,3160084200,-1.40%
2022-03-11,3204892200,-0.35%
2022-03-10,3216094200,2.68%
2022-03-09,3132079200,1.34%
2022-03-08,3090631800,-0.07%
2022-03-07,3092872200,0.07%
2022-03-04,3090631800,1.21%
2022-03-03,3053665200,2.40%
2022-03-02,2981972400,0.19%
2022-03-01,2976371400,1.37%
2022-02-28,2936044200,1.55%
2022-02-25,2891236200,2.71%
2022-02-24,2815062600,1.05%
2022-02-23,2785937400,-2.24%
2022-02-22,2849788800,-0.66%
2022-02-18,2868832200,-1.31%
2022-02-17,2906919000,-0.80%
2022-02-16,2930443200,1.63%
2022-02-15,2883394800,2.06%
2022-02-14,2825144400,-1.91%
2022-02-11,2880034200,2.51%
2022-02-10,2809461600,-2.03%
2022-02-09,2867712000,2.28%
2022-02-08,2803860600,0.12%
2022-02-07,2800500000,-0.04%
2022-02-04,2801620200,-0.64%
2022-02-03,2819543400,-1.72%
2022-02-02,2868832200,0.51%
2022-02-01,2854269600,0.87%
2022-01-31,2829625200,1.77%
2022-01-28,2780336400,1.64%
2022-01-27,2735528400,-2.48%
2022-01-26,2804980800,-1.18%
2022-01-25,2838586800,-0.59%
2022-01-24,2855389800,-0.23%
2022-01-21,2862111000,-0.74%
2022-01-20,2883394800,-3.85%
2022-01-19,2998775400,-2.83%
2022-01-18,3086151000,-1.36%
2022-01-14,3128718600,-0.68%
2022-01-13,3150002400,0.04%
2022-01-12,3148882200,-1.06%
2022-01-11,3182488200,-0.77%
2022-01-10,3207132600,-1.88%
2022-01-07,3268743600,-0.03%
2022-01-06,3269863800,2.53%
2022-01-05,3189209400,-1.86%
2022-01-04,3249700200,1.86%
2022-01-03,3190329600,1.82%
2021-12-31,3133199400,-1.17%
2021-12-30,3170307680,0.35%
2021-12-29,3159128880,0.25%
2021-12-28,3151303720,0.32%
2021-12-27,3141242800,1.19%
2021-12-23,3104352760,0.47%
2021-12-22,3089820320,0.29%
2021-12-21,3080877280,2.95%
2021-12-20,2992564760,-2.69%
2021-12-17,3075287880,0.59%
2021-12-16,3057401800,-0.33%
2021-12-15,3067462720,0.81%
2021-12-14,3042869360,0.29%
2021-12-13,3033926320,0.52%
2021-12-10,3018276000,-1.57%
2021-12-09,3066344840,-1.76%
2021-12-08,3121120960,2.23%
2021-12-07,3052930280,-1.34%
2021-12-06,3094291840,4.33%
2021-12-03,2965735640,1.18%
2021-12-02,2931081360,4.30%
2021-12-01,2810350320,-2.03%
2021-11-30,2868480080,-0.04%
2021-11-29,2869597960,-1.38%
2021-11-26,2909841640,-4.41%
2021-11-24,3043987240,0.26%
2021-11-23,3036162080,-0.40%
2021-11-22,3048458760,0.55%
2021-11-19,3031690560,-0.84%
2021-11-18,3057401800,-0.29%
2021-11-17,3066344840,-0.33%
2021-11-16,3076405760,-2.86%
2021-11-15,3166954040,1.18%
2021-11-12,3130064000,-0.71%
2021-11-11,3152421600,-0.28%
2021-11-10,3161364640,0.11%
2021-11-09,3158011000,-0.32%
2021-11-08,3168071920,-0.32%
2021-11-05,3178132840,2.52%
2021-11-04,3099881240,-1.98%
2021-11-03,3162482520,4.08%
2021-11-02,3038397840,-1.95%
2021-11-01,3098763360,2.21%
2021-10-29,3031690560,-1.49%
2021-10-28,3077523640,1.06%
2021-10-27,3045105120,-2.01%
2021-10-26,3107706400,0.87%
2021-10-25,3080877280,-1.40%
2021-10-22,3124474600,-0.43%
2021-10-21,3137889160,-1.37%
2021-10-20,3181486480,1.90%
