Date,Market Cap,% Change
2023-04-25,6139706200,-1.13%
2023-04-24,6210142600,-2.00%
2023-04-21,6336928120,0.78%
2023-04-20,6287622640,-0.11%
2023-04-19,6294666280,-0.30%
2023-04-18,6313449320,-3.20%
2023-04-17,6522410640,0.83%
2023-04-14,6468409400,-1.15%
2023-04-13,6543541560,-0.54%
2023-04-12,6578759760,-0.74%
2023-04-11,6628065240,2.62%
2023-04-10,6459017880,0.66%
2023-04-06,6416756040,0.26%
2023-04-05,6400320880,2.56%
2023-04-04,6240665040,-0.78%
2023-04-03,6289970520,-2.26%
2023-03-31,6435539080,0.96%
2023-03-30,6374494200,0.52%
2023-03-29,6341623880,1.77%
2023-03-28,6231273520,-0.15%
2023-03-27,6240665040,0.87%
2023-03-24,6186663800,2.41%
2023-03-23,6041095240,-0.69%
2023-03-22,6083357080,-3.36%
2023-03-21,6294666280,-1.65%
2023-03-20,6400320880,0.81%
2023-03-17,6348667520,-2.98%
2023-03-16,6543541560,-1.87%
2023-03-15,6667979200,-0.80%
2023-03-14,6721980440,3.92%
2023-03-13,6468409400,0.40%
2023-03-10,6442582720,-2.49%
2023-03-09,6606934320,-0.28%
2023-03-08,6625717360,2.21%
2023-03-07,6482496680,0.77%
2023-03-06,6433191200,1.26%
2023-03-03,6353363280,0.04%
2023-03-02,6351015400,1.42%
2023-03-01,6261795960,-0.45%
2023-02-28,6289970520,-0.70%
2023-02-27,6334580240,0.22%
2023-02-24,6320492960,-0.55%
2023-02-23,6355711160,0.22%
2023-02-22,6341623880,-1.78%
2023-02-21,6456670000,-2.59%
2023-02-17,6628065240,-1.26%
2023-02-16,6712588920,1.67%
2023-02-15,6602238560,-0.35%
2023-02-14,6625717360,-1.33%
2023-02-13,6714936800,1.56%
2023-02-10,6611630080,1.62%
2023-02-09,6505975480,-0.86%
2023-02-08,6562324600,0.22%
2023-02-07,6548237320,-2.41%
2023-02-06,6710241040,-0.49%
2023-02-03,6743111360,-4.27%
2023-02-02,7043640000,2.11%
2023-02-01,6898071440,-0.20%
2023-01-31,6912158720,1.20%
2023-01-30,6829982920,0.10%
2023-01-27,6822939280,1.43%
2023-01-26,6726676200,1.52%
2023-01-25,6625717360,-2.12%
2023-01-24,6768938040,0.45%
2023-01-23,6738415600,1.77%
