Date,Market Cap,% Change
2023-04-26,263973484,0.32%
2023-04-25,263125473,-1.36%
2023-04-24,266759803,0.09%
2023-04-21,266517515,-0.18%
2023-04-20,267002092,-0.09%
2023-04-19,267244380,0.91%
2023-04-18,264821494,-1.35%
2023-04-17,268455824,1.00%
2023-04-14,265790649,-0.81%
2023-04-13,267971246,0.64%
2023-04-12,266275226,0.37%
2023-04-11,265306071,0.09%
2023-04-10,265063783,-1.00%
2023-04-06,267728958,0.45%
2023-04-05,266517515,2.04%
2023-04-04,261187164,1.32%
2023-04-03,257795123,-0.84%
2023-03-31,259975721,2.09%
2023-03-30,254645371,-0.47%
2023-03-29,255856814,1.54%
2023-03-28,251980196,-1.52%
2023-03-27,255856814,1.44%
2023-03-24,252222484,3.27%
2023-03-23,244226959,
2023-03-22,244226959,-1.56%
2023-03-21,248103577,1.59%
2023-03-20,244226959,1.10%
2023-03-17,241561784,-2.73%
2023-03-16,248345866,2.09%
2023-03-15,243257804,-1.08%
2023-03-14,245922979,3.47%
2023-03-13,237685165,-2.58%
2023-03-10,243984670,-3.82%
2023-03-09,253676216,-3.32%
2023-03-08,262398607,-0.37%
2023-03-07,263367762,-1.98%
2023-03-06,268698112,1.19%
2023-03-03,265548360,0.64%
2023-03-02,263852339,
2023-03-01,263852339,-4.14%
2023-02-28,275239906,-0.09%
2023-02-27,275482195,-2.15%
2023-02-24,281539411,1.48%
2023-02-23,277420504,0.17%
2023-02-22,276935926,0.97%
2023-02-21,274270751,-3.33%
2023-02-17,283720009,0.43%
2023-02-16,282508565,0.52%
2023-02-15,281054834,-0.43%
2023-02-14,282266277,-0.68%
2023-02-13,284204586,0.69%
2023-02-10,282266277,
2023-02-09,282266277,-3.56%
2023-02-08,292684689,-0.08%
2023-02-07,292926977,0.83%
2023-02-06,290504091,-3.46%
2023-02-03,300922503,-0.88%
2023-02-02,303587678,0.48%
2023-02-01,302133946,2.30%
2023-01-31,295349864,2.78%
2023-01-30,287354338,-4.35%
2023-01-27,300437926,1.64%
2023-01-26,295592153,1.41%
2023-01-25,291473245,0.17%
2023-01-24,290988668,0.08%
2023-01-23,290746380,-0.83%
2023-01-20,293169266,0.41%
2023-01-19,291957823,0.75%
2023-01-18,289777225,-0.17%
2023-01-17,290261802,-0.25%
2023-01-13,290988668,0.67%
2023-01-12,289050359,1.27%
2023-01-11,285416029,2.35%
2023-01-10,278874236,2.22%
2023-01-09,272817019,1.90%
2023-01-06,267728958,1.10%
2023-01-05,264821494,0.18%
2023-01-04,264336917,2.15%
2023-01-03,258764278,1.71%
2022-12-30,254403082,-2.05%
2022-12-29,259733432,1.52%
2022-12-28,255856814,-4.00%
2022-12-27,266517515,-0.90%
2022-12-23,268940401,0.73%
2022-12-22,267002092,0.64%
2022-12-21,265306071,1.11%
2022-12-20,262398607,-0.28%
2022-12-19,263125473,1.59%
2022-12-16,259006566,-0.65%
2022-12-15,260702587,0.75%
2022-12-14,258764278,0.19%
2022-12-13,258279700,1.23%
2022-12-12,255129948,-0.09%
2022-12-09,255372237,-0.19%
2022-12-08,255856814,-0.66%
2022-12-07,257552834,1.33%
2022-12-06,254160793,-1.96%
2022-12-05,259248855,-1.92%
2022-12-02,264336917,-0.55%
2022-12-01,265790649,1.01%
2022-11-30,263125473,1.59%
2022-11-29,259006566,-0.74%
2022-11-28,260944876,-1.28%
2022-11-25,264336917,1.49%
2022-11-23,260460298,1.70%
2022-11-22,256099103,0.96%
2022-11-21,253676216,1.36%
2022-11-18,250284175,0.58%
2022-11-17,248830443,-2.10%
2022-11-16,254160793,-1.32%
2022-11-15,257552834,0.85%
2022-11-14,255372237,-2.14%
2022-11-11,260944876,0.84%
2022-11-10,258764278,4.30%
2022-11-09,248103577,-1.92%
2022-11-08,252949350,0.87%
2022-11-07,250768752,0.68%
2022-11-04,249072732,5.87%
2022-11-03,235262279,-2.80%
2022-11-02,242046361,-1.28%
2022-11-01,245196113,0.50%
2022-10-31,243984670,-0.20%
2022-10-28,244469247,0.30%
2022-10-27,243742381,-0.40%
2022-10-26,244711536,1.10%
2022-10-25,242046361,5.05%
2022-10-24,230416506,-1.45%
2022-10-21,233808547,1.37%
2022-10-20,230658794,-0.83%
2022-10-19,232597104,-0.62%
2022-10-18,234050835,0.94%
2022-10-17,231870238,2.03%
2022-10-14,227266753,-2.19%
2022-10-13,232354815,6.08%
2022-10-12,219028939,-2.27%
2022-10-11,224117001,13.08%
2022-10-10,198192115,-4.33%
2022-10-07,207156795,0.83%
2022-10-06,205460775,-3.64%
2022-10-05,213214012,-5.27%
2022-10-04,225086155,11.52%
2022-10-03,201826445,1.59%
2022-09-30,198676692,-31.35%
2022-09-29,289392399,-13.02%
2022-09-28,332695641,3.39%
2022-09-27,321781816,-1.72%
2022-09-26,327414758,-9.00%
2022-09-23,359804175,-5.19%
2022-09-22,379519472,-5.02%
2022-09-21,399586828,-1.48%
2022-09-20,405571829,-2.54%
2022-09-19,416133596,-2.07%
2022-09-16,424935068,-0.74%
2022-09-15,428103598,-2.41%
2022-09-14,438665364,-0.08%
2022-09-13,439017423,-1.66%
2022-09-12,446410659,-0.24%
2022-09-09,447466836,1.52%
2022-09-08,440777717,-0.95%
2022-09-07,445002424,-0.16%
2022-09-06,445706542,-1.86%
2022-09-02,454155955,-1.00%
2022-09-01,458732720,-3.62%
2022-08-31,475983605,0.15%
2022-08-30,475279488,-4.59%
2022-08-29,498163315,-2.08%
2022-08-26,508725081,0.70%
2022-08-25,505204492,
2022-08-24,505204492,
2022-08-23,505204492,3.99%
2022-08-22,485841254,-4.17%
2022-08-19,506964787,-2.37%
2022-08-18,519286848,-8.10%
2022-08-17,565054502,-1.23%
2022-08-16,572095680,-0.31%
2022-08-15,573855974,-0.61%
2022-08-12,577376563,0.61%
2022-08-11,573855974,1.56%
2022-08-10,565054502,1.58%
2022-08-09,556253030,-0.32%
2022-08-08,558013324,0.32%
2022-08-05,556253030,-0.32%
2022-08-04,558013324,-1.55%
2022-08-03,566814796,0.31%
2022-08-02,565054502,-1.53%
2022-08-01,573855974,1.24%
2022-07-29,566814796,-0.92%
2022-07-28,572095680,1.56%
2022-07-27,563294208,2.89%
2022-07-26,547451558,
2022-07-25,547451558,1.30%
2022-07-22,540410380,-0.32%
2022-07-21,542170675,2.33%
2022-07-20,529848614,1.69%
2022-07-19,521047142,2.78%
2022-07-18,506964787,-1.03%
2022-07-15,512245670,2.83%
2022-07-14,498163315,-3.08%
2022-07-13,514005964,1.74%
2022-07-12,505204492,1.77%
2022-07-11,496403020,-1.74%
2022-07-08,505204492,-2.05%
2022-07-07,515766259,1.38%
2022-07-06,508725081,-1.70%
2022-07-05,517526553,0.34%
2022-07-01,515766259,2.81%
2022-06-30,501683904,1.21%
2022-06-29,495695634,-3.78%
2022-06-28,515169391,-0.68%
2022-06-27,518710074,0.69%
2022-06-24,515169391,2.11%
2022-06-23,504547341,2.15%
2022-06-22,493925292,2.20%
2022-06-21,483303243,3.80%
2022-06-17,465599827,6.05%
2022-06-16,439044704,-6.77%
2022-06-15,470910852,-1.85%
2022-06-14,479762560,-2.17%
2022-06-13,490384609,-10.06%
2022-06-10,545265197,-2.22%
2022-06-09,557657588,0.32%
2022-06-08,555887246,-1.57%
2022-06-07,564738954,0.95%
2022-06-06,559427929,0.32%
2022-06-03,557657588,
2022-06-02,557657588,0.64%
2022-06-01,554116905,0.32%
2022-05-31,552346563,2.30%
2022-05-27,539954172,-3.79%
2022-05-26,561198271,1.93%
2022-05-25,550576222,0.97%
2022-05-24,545265197,1.99%
2022-05-23,534643148,2.72%
2022-05-20,520480415,0.68%
2022-05-19,516939732,-1.02%
2022-05-18,522250757,-0.34%
2022-05-17,524021098,
2022-05-16,524021098,0.34%
2022-05-13,522250757,3.15%
2022-05-12,506317683,-0.35%
2022-05-11,508088024,-1.71%
2022-05-10,516939732,-0.34%
2022-05-09,518710074,-2.66%
2022-05-06,532872806,0.67%
2022-05-05,529332123,-0.99%
2022-05-04,534643148,1.68%
2022-05-03,525791440,1.71%
2022-05-02,516939732,5.04%
2022-04-29,492154950,-3.14%
2022-04-28,508088024,-1.03%
2022-04-27,513399049,1.40%
2022-04-26,506317683,-3.05%
2022-04-25,522250757,1.37%
2022-04-22,515169391,-1.69%
2022-04-21,524021098,-0.67%
2022-04-20,527561781,2.05%
2022-04-19,516939732,-3.95%
2022-04-18,538183831,-0.98%
2022-04-14,543494855,0.66%
2022-04-13,539954172,0.99%
2022-04-12,534643148,-0.66%
2022-04-11,538183831,-0.65%
2022-04-08,541724514,1.32%
2022-04-07,534643148,-1.63%
2022-04-06,543494855,-2.85%
2022-04-05,559427929,-3.07%
2022-04-04,577131345,-0.91%
2022-04-01,582442369,1.23%
2022-03-31,575361003,-1.20%
2022-03-30,582321988,-4.08%
2022-03-29,607101647,2.08%
2022-03-28,594711818,0.30%
2022-03-25,592941842,2.76%
2022-03-24,577012061,0.62%
2022-03-23,573472110,-1.52%
2022-03-22,582321988,3.13%
2022-03-21,564622232,-1.85%
2022-03-18,575242086,-1.22%
2022-03-17,582321988,-3.80%
2022-03-16,605331672,
2022-03-15,605331672,0.29%
2022-03-14,603561696,-0.87%
2022-03-11,608871623,-1.15%
2022-03-10,615951526,0.29%
2022-03-09,614181550,2.66%
2022-03-08,598251769,3.36%
2022-03-07,578782037,2.83%
2022-03-04,562852256,-0.93%
2022-03-03,568162183,
2022-03-02,568162183,1.58%
2022-03-01,559312305,-3.95%
2022-02-28,582321988,-2.95%
2022-02-25,600021745,-7.12%
2022-02-24,646041112,2.53%
2022-02-23,630111331,-2.47%
2022-02-22,646041112,-3.95%
2022-02-18,672590747,-0.26%
2022-02-17,674360722,-1.80%
2022-02-16,686750552,
2022-02-15,686750552,1.84%
2022-02-14,674360722,-2.56%
2022-02-11,692060479,
2022-02-10,692060479,-2.01%
2022-02-09,706220284,
2022-02-08,706220284,-0.25%
2022-02-07,707990260,3.63%
2022-02-04,683210600,
2022-02-03,683210600,-1.78%
2022-02-02,695600430,-1.50%
2022-02-01,706220284,-0.99%
2022-01-31,713300186,3.60%
2022-01-28,688520527,-0.51%
2022-01-27,692060479,-1.01%
2022-01-26,699140381,
2022-01-25,699140381,2.07%
2022-01-24,684980576,
2022-01-21,684980576,-3.25%
2022-01-20,707990260,-0.99%
2022-01-19,715070162,-1.70%
2022-01-18,727459992,-2.61%
2022-01-14,746929724,-7.86%
2022-01-13,810648847,-0.87%
2022-01-12,817728750,-0.22%
2022-01-11,819498725,0.43%
2022-01-10,815958774,-0.43%
2022-01-07,819498725,0.43%
2022-01-06,815958774,0.88%
2022-01-05,808878872,-1.51%
2022-01-04,821268701,-0.22%
2022-01-03,823038677,3.33%
2021-12-31,796489042,-2.17%
2021-12-30,814188799,-2.34%
2021-12-29,833658531,0.21%
2021-12-28,831888555,0.64%
2021-12-27,826578628,0.43%
2021-12-23,823038677,2.20%
2021-12-22,805338920,1.79%
2021-12-21,791179115,4.20%
2021-12-20,759319553,-1.83%
2021-12-17,773479359,-2.46%
2021-12-16,792949091,-0.22%
2021-12-15,794719066,0.90%
2021-12-14,787639164,-0.89%
2021-12-13,794719066,-1.75%
2021-12-10,808878872,0.44%
2021-12-09,805338920,
2021-12-08,805338920,1.79%
2021-12-07,791179115,1.36%
2021-12-06,780559261,1.61%
2021-12-03,768169432,-2.25%
2021-12-02,785869188,2.07%
2021-12-01,769939407,-3.76%
2021-11-30,800028993,-4.64%
2021-11-29,838968458,-1.25%
2021-11-26,849588312,-1.03%
2021-11-24,858438190,1.04%
2021-11-23,849588312,
2021-11-22,849588312,-1.64%
2021-11-19,863748117,-0.81%
2021-11-18,870828019,0.82%
2021-11-17,863748117,-0.81%
2021-11-16,870828019,-0.20%
2021-11-15,872597995,0.20%
2021-11-12,870828019,
2021-11-11,870828019,0.20%
2021-11-10,869058044,-1.80%
2021-11-09,884987825,0.20%
2021-11-08,883217849,-0.20%
2021-11-05,884987825,0.40%
2021-11-04,881447873,
2021-11-03,881447873,0.40%
2021-11-02,877907922,-0.60%
2021-11-01,883217849,0.60%
2021-10-29,877907922,0.20%
2021-10-28,876137946,-1.39%
2021-10-27,888527776,
2021-10-26,888527776,
2021-10-25,888527776,0.60%
