Date,Market Cap,% Change
2023-04-25,2679752999,-1.03%
2023-04-24,2707650000,2.29%
2023-04-21,2646933000,0.50%
2023-04-20,2633805000,-2.25%
2023-04-19,2694522000,0.24%
2023-04-18,2687958000,-0.06%
2023-04-17,2689599000,2.31%
2023-04-14,2628882000,-0.74%
2023-04-13,2648574000,1.13%
2023-04-12,2619036000,-1.85%
2023-04-11,2668266000,2.78%
2023-04-10,2596062000,1.02%
2023-04-06,2569806000,-0.51%
2023-04-05,2582934000,-1.13%
2023-04-04,2612472000,-0.81%
2023-04-03,2633805000,-1.11%
2023-03-31,2663343000,3.71%
2023-03-30,2568165000,2.22%
2023-03-29,2512371000,1.53%
2023-03-28,2474628000,1.34%
2023-03-27,2441808000,-1.98%
2023-03-24,2491038000,2.85%
2023-03-23,2422116000,-1.27%
2023-03-22,2453295000,-4.78%
2023-03-21,2576370000,3.49%
2023-03-20,2489397000,0.73%
2023-03-17,2471346000,-2.40%
2023-03-16,2532063000,-0.90%
2023-03-15,2555037000,-2.44%
2023-03-14,2619036000,-0.25%
2023-03-13,2625600000,0.63%
2023-03-10,2609190000,-3.52%
2023-03-09,2704368000,-3.68%
2023-03-08,2807751000,1.12%
2023-03-07,2776572000,-1.11%
2023-03-06,2807751000,-1.61%
2023-03-03,2853699000,1.40%
2023-03-02,2814315000,-1.49%
2023-03-01,2856981000,-0.23%
2023-02-28,2863545000,-1.08%
2023-02-27,2894724000,3.22%
2023-02-24,2804469000,-3.66%
2023-02-23,2911133999,-4.47%
2023-02-22,3047337000,-0.91%
2023-02-21,3075233999,-2.29%
2023-02-17,3147438000,0.37%
2023-02-16,3135951000,-2.35%
2023-02-15,3211437000,0.72%
2023-02-14,3188463000,-0.26%
2023-02-13,3196668000,-0.76%
2023-02-10,3221283000,-2.48%
2023-02-09,3303333000,-0.79%
2023-02-08,3329589000,-2.55%
2023-02-07,3416562000,0.48%
2023-02-06,3400152000,-1.43%
2023-02-03,3449382000,0.05%
2023-02-02,3447741000,3.45%
2023-02-01,3332871000,2.06%
2023-01-31,3265590000,5.18%
2023-01-30,3104772000,-1.20%
2023-01-27,3142515000,-0.26%
2023-01-26,3150720000,2.73%
2023-01-25,3067029000,-0.48%
2023-01-24,3081798000,0.86%
2023-01-23,3055542000,0.81%
2023-01-20,3030927000,2.61%
2023-01-19,2953800000,-3.69%
2023-01-18,3067029000,-1.89%
2023-01-17,3126105000,-0.26%
2023-01-13,3134310000,-0.16%
