Date,Market Cap,% Change
2023-04-25,3613722000,0.13%
2023-04-24,3609051600,-1.31%
2023-04-21,3656923200,-0.51%
2023-04-20,3675604800,-0.25%
2023-04-19,3684945600,0.29%
2023-04-18,3674437200,-0.25%
2023-04-17,3683778000,1.61%
2023-04-14,3625398000,-1.15%
2023-04-13,3667431600,0.29%
2023-04-12,3656923200,-1.57%
2023-04-11,3715303200,-0.19%
2023-04-10,3722308800,-0.59%
2023-04-06,3744493200,0.50%
2023-04-05,3725811600,-1.72%
2023-04-04,3791197200,-0.12%
2023-04-03,3795867600,-0.34%
2023-03-31,3808711199,2.80%
2023-03-30,3704794800,1.57%
2023-03-29,3647582400,1.40%
2023-03-28,3597375600,-0.68%
2023-03-27,3621895200,-0.83%
2023-03-24,3652252800,3.10%
2023-03-23,3542498400,1.00%
2023-03-22,3507470400,-3.81%
2023-03-21,3646414800,0.94%
2023-03-20,3612554400,1.38%
2023-03-17,3563515200,-0.55%
2023-03-16,3583364400,-2.17%
2023-03-15,3662761200,-1.45%
2023-03-14,3716470800,0.82%
2023-03-13,3686113200,0.38%
2023-03-10,3672102000,-4.00%
2023-03-09,3825057600,-2.35%
2023-03-08,3917297999,1.27%
2023-03-07,3868258800,-0.81%
2023-03-06,3899784000,-1.50%
2023-03-03,3959331599,0.77%
2023-03-02,3928974000,-0.41%
2023-03-01,3945320400,-0.88%
2023-02-28,3980348400,0.50%
2023-02-27,3960499200,-0.44%
2023-02-24,3978013200,-0.38%
2023-02-23,3993192000,1.94%
2023-02-22,3917297999,0.57%
2023-02-21,3895113600,-2.57%
2023-02-17,3997862400,-0.67%
2023-02-16,4024717200,0.12%
2023-02-15,4020046800,0.53%
2023-02-14,3999030000,-0.03%
2023-02-13,4000197600,1.45%
2023-02-10,3942985200,3.88%
2023-02-09,3795867600,-1.69%
2023-02-08,3861253200,-1.22%
2023-02-07,3909124799,0.03%
2023-02-06,3907957200,-0.80%
2023-02-03,3939482400,-1.75%
2023-02-02,4009538400,1.66%
2023-02-01,3944152800,0.78%
2023-01-31,3913795200,2.10%
2023-01-30,3833230800,-1.85%
2023-01-27,3905622000,2.36%
2023-01-26,3815716800,-0.09%
2023-01-25,3819219600,0.09%
2023-01-24,3815716800,-0.03%
