Date,Market Cap,% Change
2023-04-25,2605120000,-3.00%
2023-04-24,2685760000,0.08%
2023-04-21,2683520000,1.44%
2023-04-20,2645440000,-2.96%
2023-04-19,2726080000,-0.57%
2023-04-18,2741760000,2.00%
2023-04-17,2688000000,1.35%
2023-04-14,2652160000,-0.08%
2023-04-13,2654400000,0.94%
2023-04-12,2629760000,-3.29%
2023-04-11,2719360000,0.41%
2023-04-10,2708160000,1.17%
2023-04-06,2676800000,0.08%
2023-04-05,2674560000,-1.89%
2023-04-04,2726080000,-0.57%
2023-04-03,2741760000,-0.97%
2023-03-31,2768640000,5.28%
2023-03-30,2629760000,-0.59%
2023-03-29,2645440000,2.79%
2023-03-28,2573760000,1.32%
2023-03-27,2540160000,0.71%
2023-03-24,2522240000,2.18%
2023-03-23,2468480000,-3.25%
2023-03-22,2551360000,-5.32%
2023-03-21,2694720000,2.04%
2023-03-20,2640960000,2.17%
2023-03-17,2584960000,-5.72%
2023-03-16,2741760000,
2023-03-15,2741760000,-2.31%
2023-03-14,2806720000,2.45%
2023-03-13,2739520000,-1.85%
2023-03-10,2791040000,-4.67%
2023-03-09,2927680000,-6.78%
2023-03-08,3140480000,1.01%
2023-03-07,3109120000,-1.84%
2023-03-06,3167360000,0.50%
2023-03-03,3151680000,0.64%
2023-03-02,3131520000,-0.07%
2023-03-01,3133760000,1.75%
2023-02-28,3080000000,-2.00%
2023-02-27,3142720000,0.79%
2023-02-24,3118080000,-0.22%
2023-02-23,3124800000,1.68%
2023-02-22,3073280000,1.63%
2023-02-21,3024000000,-1.82%
2023-02-17,3080000000,-0.79%
2023-02-16,3104640000,-5.13%
2023-02-15,3272640000,0.34%
2023-02-14,3261440000,1.89%
2023-02-13,3200960000,0.14%
2023-02-10,3196480000,-0.90%
2023-02-09,3225600000,0.98%
2023-02-08,3194240000,-1.72%
2023-02-07,3250240000,0.69%
2023-02-06,3227840000,-2.50%
2023-02-03,3310720000,-1.66%
2023-02-02,3366720000,0.13%
2023-02-01,3362240000,2.04%
2023-01-31,3295040000,3.59%
2023-01-30,3180800000,-1.59%
2023-01-27,3232320000,1.69%
2023-01-26,3178560000,3.65%
2023-01-25,3066560000,1.56%
2023-01-24,3019520000,0.90%
2023-01-23,2992640000,3.49%
2023-01-20,2891840000,4.03%
2023-01-19,2779840000,-0.16%
2023-01-18,2784320000,-1.97%
2023-01-17,2840320000,0.88%
2023-01-13,2815680000,-1.49%
2023-01-12,2858240000,2.00%
2023-01-11,2802240000,3.82%
2023-01-10,2699200000,1.26%
2023-01-09,2665600000,-0.34%
2023-01-06,2674560000,5.20%
2023-01-05,2542400000,-3.32%
2023-01-04,2629760000,2.00%
2023-01-03,2578240000,-4.09%
2022-12-30,2688120000,1.11%
2022-12-29,2658480000,1.48%
2022-12-28,2619720000,-2.38%
2022-12-27,2683560000,1.03%
2022-12-23,2656200000,3.83%
2022-12-22,2558160000,1.17%
2022-12-21,2528520000,-6.81%
2022-12-20,2713200000,-0.17%
2022-12-19,2717760000,-0.91%
2022-12-16,2742840000,-1.80%
2022-12-15,2793000000,-2.85%
2022-12-14,2875080000,-1.10%
2022-12-13,2907000000,-0.55%
2022-12-12,2922960000,4.06%
2022-12-09,2808960000,1.73%
