Date,Market Cap,% Change
2023-04-26,1058805720,-0.77%
2023-04-25,1067034780,-2.59%
2023-04-24,1095379320,0.25%
2023-04-21,1092636300,-0.25%
2023-04-20,1095379320,-0.58%
2023-04-19,1101779700,1.52%
2023-04-18,1085321580,-1.66%
2023-04-17,1103608380,1.86%
2023-04-14,1083492900,-0.92%
2023-04-13,1093550640,-3.55%
2023-04-12,1133781600,-0.96%
2023-04-11,1144753680,1.46%
2023-04-10,1128295560,0.57%
2023-04-06,1121895180,0.25%
2023-04-05,1119152160,0.49%
2023-04-04,1113666120,-0.16%
2023-04-03,1115494800,-1.05%
2023-03-31,1127381220,2.66%
2023-03-30,1098122340,0.25%
2023-03-29,1095379320,2.57%
2023-03-28,1067949120,
2023-03-27,1067949120,0.95%
2023-03-24,1057891380,4.05%
2023-03-23,1016746079,-1.94%
2023-03-22,1036861560,-2.83%
2023-03-21,1067034780,1.13%
2023-03-20,1055148359,1.58%
2023-03-17,1038690240,-5.25%
2023-03-16,1096293660,0.33%
2023-03-15,1092636300,-2.37%
2023-03-14,1119152160,2.68%
2023-03-13,1089893280,-1.32%
2023-03-10,1104522720,-3.36%
2023-03-09,1142925000,-3.47%
2023-03-08,1184070300,0.94%
2023-03-07,1173098220,-2.28%
2023-03-06,1200528420,
2023-03-03,1200528420,0.92%
2023-03-02,1189556340,0.15%
2023-03-01,1187727660,-0.31%
2023-02-28,1191385020,-0.99%
2023-02-27,1203271440,0.08%
2023-02-24,1202357100,-2.08%
2023-02-23,1227958620,-0.74%
2023-02-22,1237102020,0.52%
2023-02-21,1230701640,-4.47%
2023-02-17,1288305060,-1.12%
2023-02-16,1302934500,-0.07%
2023-02-15,1303848840,0.28%
2023-02-14,1300191480,-2.27%
2023-02-13,1330364700,0.69%
2023-02-10,1321221300,-0.48%
2023-02-09,1327621680,0.69%
2023-02-08,1318478280,0.35%
2023-02-07,1313906580,0.98%
2023-02-06,1301105820,-4.69%
2023-02-03,1365109620,-3.55%
2023-02-02,1415398320,0.52%
2023-02-01,1408083600,0.98%
2023-01-31,1394368500,1.73%
2023-01-30,1370595660,-0.86%
2023-01-27,1382482080,0.07%
2023-01-26,1381567740,2.51%
