Date,Market Cap,% Change
2023-04-25,50824530000,0.66%
2023-04-24,50491541700,-0.14%
2023-04-21,50559891930,0.30%
2023-04-20,50410923480,-0.52%
2023-04-19,50672056410,-0.50%
2023-04-18,50926179060,-1.32%
2023-04-17,51609681360,1.42%
2023-04-14,50885869950,-4.65%
2023-04-13,53367509070,-2.76%
2023-04-12,54881729549,-0.29%
2023-04-11,55039460850,0.83%
2023-04-10,54585545220,0.22%
2023-04-06,54468123030,1.15%
2023-04-05,53849465820,-0.32%
2023-04-04,54024722820,0.18%
2023-04-03,53926578900,1.84%
2023-03-31,52952149980,2.55%
2023-03-30,51637722480,1.52%
2023-03-29,50866591680,2.92%
2023-03-28,49422474000,-1.52%
2023-03-27,50184841950,-0.09%
2023-03-24,50228656200,1.54%
2023-03-23,49464535680,-0.96%
2023-03-22,49942987290,-2.71%
2023-03-21,51336280440,-1.83%
2023-03-20,52291431090,0.91%
2023-03-17,51818237190,0.27%
2023-03-16,51676279020,2.18%
2023-03-15,50572159920,0.32%
2023-03-14,50410923480,-0.67%
2023-03-13,50752674629,2.89%
2023-03-10,49327835220,-4.82%
2023-03-09,51823494900,-1.72%
2023-03-08,52729573590,-0.49%
2023-03-07,52988953950,-1.10%
2023-03-06,53579570040,0.30%
2023-03-03,53421838740,1.19%
2023-03-02,52792666110,1.87%
2023-03-01,51823494900,-1.09%
2023-02-28,52393080150,1.26%
2023-02-27,51739371540,0.68%
2023-02-24,51392362680,-0.36%
2023-02-23,51578135100,0.68%
2023-02-22,51227621100,-2.21%
2023-02-21,52384317299,-0.04%
2023-02-17,52403595570,-0.18%
2023-02-16,52499986920,-0.45%
2023-02-15,52736583870,0.01%
2023-02-14,52731326160,-0.54%
2023-02-13,53015242500,0.86%
2023-02-10,52561326870,0.46%
2023-02-09,52319472209,-1.15%
2023-02-08,52927614000,-0.01%
2023-02-07,52932871709,-1.86%
2023-02-06,53935341750,-0.23%
2023-02-03,54061526790,-0.96%
2023-02-02,54585545220,1.80%
2023-02-01,53618126580,0.53%
2023-01-31,53337715379,1.82%
2023-01-30,52382564730,-0.14%
2023-01-27,52457925240,0.65%
2023-01-26,52119679230,1.74%
2023-01-25,51225868530,-0.52%
2023-01-24,51492259170,1.02%
2023-01-23,50973498450,0.61%
2023-01-20,50666798700,0.54%
2023-01-19,50395150350,0.62%
2023-01-18,50084945459,-2.00%
2023-01-17,51104941200,0.25%
2023-01-13,50977003590,-1.76%
2023-01-12,51890092560,0.82%
2023-01-11,51467723190,4.44%
2023-01-10,49278763260,-0.01%
2023-01-09,49284020970,1.61%
2023-01-06,48504127320,2.02%
2023-01-05,47541966390,-2.46%
2023-01-04,48740724270,1.43%
2023-01-03,48051964260,-2.16%
2022-12-30,49112543770,-0.85%
2022-12-29,49531470140,1.65%
2022-12-28,48726921170,-1.78%
