Date,Market Cap,% Change
2023-04-26,269466027,-0.62%
2023-04-25,271135122,0.83%
2023-04-24,268909663,-0.62%
2023-04-21,270578757,0.21%
2023-04-20,270022392,-0.82%
2023-04-19,272247851,1.94%
2023-04-18,267055113,-1.23%
2023-04-17,270393302,0.55%
2023-04-14,268909663,-2.16%
2023-04-13,274844221,-1.00%
2023-04-12,277626045,0.88%
2023-04-11,275215130,0.95%
2023-04-10,272618761,-2.91%
2023-04-06,280778779,4.85%
2023-04-05,267796933,-2.10%
2023-04-04,273546036,-2.32%
2023-04-03,280036959,-0.79%
2023-03-31,282262418,3.26%
2023-03-30,273360581,2.29%
2023-03-29,267240568,1.12%
2023-03-28,264273289,-0.07%
2023-03-27,264458744,-1.11%
2023-03-24,267426023,1.55%
2023-03-23,263346014,0.07%
2023-03-22,263160559,-3.40%
2023-03-21,272433306,2.08%
2023-03-20,266869658,-0.28%
2023-03-17,267611478,-3.02%
2023-03-16,275956950,-0.47%
2023-03-15,277255135,0.67%
2023-03-14,275400585,0.61%
2023-03-13,273731491,1.23%
2023-03-10,270393302,-1.75%
2023-03-09,275215130,-1.07%
2023-03-08,278182410,-0.20%
2023-03-07,278738774,-0.79%
2023-03-06,280964234,-0.13%
2023-03-03,281335143,2.78%
2023-03-02,273731491,1.44%
2023-03-01,269836937,-0.55%
2023-02-28,271320577,-0.34%
2023-02-27,272247851,0.55%
2023-02-24,270764212,-1.95%
2023-02-23,276142405,0.74%
2023-02-22,274102401,-0.27%
2023-02-21,274844221,-2.56%
2023-02-17,282076963,-0.85%
2023-02-16,284487877,-0.65%
2023-02-15,286342427,0.52%
2023-02-14,284858787,-2.66%
2023-02-13,292647895,1.41%
2023-02-10,288567886,0.58%
2023-02-09,286898792,-2.09%
2023-02-08,293018805,-1.31%
2023-02-07,296913358,-0.25%
2023-02-06,297655178,0.63%
2023-02-03,295800629,2.51%
2023-02-02,288567886,0.91%
2023-02-01,285971517,-0.26%
2023-01-31,286713337,1.64%
2023-01-30,282076963,-0.52%
2023-01-27,283560603,-0.07%
2023-01-26,283746058,0.20%
2023-01-25,283189693,0.59%
2023-01-24,281520598,0.33%
2023-01-23,280593324,1.07%
2023-01-20,277626045,0.07%
2023-01-19,277440590,-0.13%
2023-01-18,277811500,-0.60%
2023-01-17,279480594,-0.20%
2023-01-13,280036959,0.60%
2023-01-12,278367864,0.47%
2023-01-11,277069680,1.43%
2023-01-10,273175126,0.34%
2023-01-09,272247851,-0.81%
2023-01-06,274473311,1.30%
2023-01-05,270949667,-0.61%
2023-01-04,272618761,0.55%
2023-01-03,271135122,0.62%
2022-12-30,269466027,-0.82%
2022-12-29,271691487,2.73%
2022-12-28,264458744,-3.65%
2022-12-27,274473311,0.07%
2022-12-23,274287856,1.51%
2022-12-22,270207847,0.69%
2022-12-21,268353298,0.84%
2022-12-20,266127838,-0.55%
2022-12-19,267611478,-2.70%
2022-12-16,275029676,-0.87%
2022-12-15,277440590,-1.45%
2022-12-14,281520598,1.00%
2022-12-13,278738774,-0.27%
2022-12-12,279480594,0.13%
2022-12-09,279109684,-0.99%
2022-12-08,281891508,-0.65%
2022-12-07,283746058,-0.13%
2022-12-06,284116968,0.26%
2022-12-05,283375148,-1.80%
2022-12-02,288567886,0.58%
2022-12-01,286898792,-0.13%
2022-11-30,287269702,1.18%
2022-11-29,283931513,0.33%
2022-11-28,283004238,-1.93%
2022-11-25,288567886,0.13%
2022-11-23,288196976,-1.83%
2022-11-22,293575170,0.25%
2022-11-21,292833350,0.57%
2022-11-18,291164255,0.13%
2022-11-17,290793345,0.38%
2022-11-16,289680616,0.13%
2022-11-15,289309706,0.84%
2022-11-14,286898792,-1.15%
2022-11-11,290236981,-1.57%
2022-11-10,294873354,4.19%
2022-11-09,283004238,-2.18%
2022-11-08,289309706,0.26%
2022-11-07,288567886,-1.89%
2022-11-04,294131534,-0.81%
2022-11-03,296542449,1.14%
2022-11-02,293204260,0.70%
2022-11-01,291164255,0.13%
2022-10-31,290793345,-0.44%
2022-10-28,292091530,0.38%
2022-10-27,290978800,
2022-10-26,290978800,0.13%
2022-10-25,290607890,3.02%
2022-10-24,282076963,0.66%
2022-10-21,280222414,-0.13%
2022-10-20,280593324,0.33%
2022-10-19,279666049,-1.44%
2022-10-18,283746058,1.06%
2022-10-17,280778779,1.88%
2022-10-14,275586040,0.68%
2022-10-13,273731491,-0.54%
2022-10-12,275215130,-1.33%
2022-10-11,278924229,1.14%
2022-10-10,275771495,-0.60%
2022-10-07,277440590,-0.40%
2022-10-06,278553319,-0.27%
2022-10-05,279295139,-1.76%
2022-10-04,284302423,2.54%
2022-10-03,277255135,1.91%
2022-09-30,272062396,0.43%
2022-09-29,270896838,-2.73%
2022-09-28,278504215,3.95%
2022-09-27,267928106,0.14%
2022-09-26,267557014,-2.76%
2022-09-23,275164391,-0.13%
2022-09-22,275535483,-1.20%
2022-09-21,278875307,-0.07%
2022-09-20,279060853,-2.72%
2022-09-19,286853775,-3.01%
2022-09-16,295759973,5.91%
2022-09-15,279246398,-0.46%
2022-09-14,280545219,0.87%
2022-09-13,278133124,-3.04%
2022-09-12,286853775,0.78%
2022-09-09,284627226,1.86%
2022-09-08,279431944,1.01%
2022-09-07,276648757,2.47%
2022-09-06,269969109,-0.14%
2022-09-02,270340201,-1.75%
2022-09-01,275164391,-0.13%
2022-08-31,275535483,-1.00%
2022-08-30,278318670,-1.38%
2022-08-29,282215131,-0.72%
2022-08-26,284256134,-0.65%
2022-08-25,286111592,-0.71%
2022-08-24,288152596,-0.77%
2022-08-23,290379145,-1.32%
2022-08-22,294275607,-2.04%
2022-08-19,300398617,-1.28%
2022-08-18,304295079,
2022-08-17,304295079,-2.15%
2022-08-16,310974727,0.24%
2022-08-15,310232544,0.66%
2022-08-12,308191540,1.34%
2022-08-11,304109533,-0.36%
2022-08-10,305222808,-0.84%
2022-08-09,307820449,1.22%
2022-08-08,304109533,0.18%
2022-08-05,303552896,-3.99%
2022-08-04,316170009,-0.58%
2022-08-03,318025466,2.57%
2022-08-02,310046998,-0.54%
2022-08-01,311716910,-0.47%
2022-07-29,313201276,0.54%
2022-07-28,311531364,3.58%
2022-07-27,300769709,-0.55%
2022-07-26,302439621,2.52%
2022-07-25,295017790,1.02%
2022-07-22,292049057,1.42%
2022-07-21,287967050,-0.51%
2022-07-20,289451416,-0.19%
2022-07-19,290008054,1.49%
2022-07-18,285740501,1.25%
2022-07-15,282215131,2.84%
2022-07-14,274422208,1.65%
2022-07-13,269969109,-1.02%
2022-07-12,272752296,-1.74%
2022-07-11,277576486,-1.19%
2022-07-08,280916310,1.00%
2022-07-07,278133124,0.87%
2022-07-06,275721029,-1.13%
2022-07-05,278875307,-0.79%
2022-07-01,281101856,1.68%
2022-06-30,276463212,1.12%
2022-06-29,273406286,-0.73%
2022-06-28,275430155,-0.47%
2022-06-27,276718072,-0.92%
