Date,Market Cap,% Change
2023-04-25,9153502,-9.67%
2023-04-24,10133028,-3.85%
2023-04-21,10538349,-1.27%
2023-04-20,10673456,-2.47%
2023-04-19,10943670,-1.64%
2023-04-18,11126402,-3.68%
2023-04-17,11551651,1.63%
2023-04-14,11365879,-0.15%
2023-04-13,11382768,-3.71%
2023-04-12,11821866,2.04%
2023-04-11,11585428,
2023-04-10,11585428,1.48%
2023-04-06,11416544,-0.88%
2023-04-05,11517875,2.10%
2023-04-04,11281437,-6.18%
2023-04-03,12024526,-4.70%
2023-03-31,12616970,1.51%
2023-03-30,12429847,8.24%
2023-03-29,11484098,3.03%
2023-03-28,11146330,-2.94%
2023-03-27,11484098,-0.29%
2023-03-24,11517875,-7.59%
2023-03-23,12463624,-4.16%
2023-03-22,13004052,-0.36%
2023-03-21,13051002,-0.16%
2023-03-20,13071606,0.52%
2023-03-17,13004052,-2.28%
2023-03-16,13308043,4.51%
2023-03-15,12733838,-4.07%
2023-03-14,13274266,-6.47%
2023-03-13,14192656,-1.36%
2023-03-10,14388899,-3.62%
2023-03-09,14929327,-0.34%
2023-03-08,14979993,2.42%
2023-03-07,14625337,6.61%
2023-03-06,13718768,-7.69%
2023-03-03,14861774,-1.78%
2023-03-02,15131650,2.75%
2023-03-01,14726667,-1.14%
2023-02-28,14895888,-2.22%
2023-02-27,15233318,0.22%
2023-02-24,15199542,-2.81%
2023-02-23,15638639,-4.34%
2023-02-22,16347951,2.43%
2023-02-21,15959519,-3.57%
2023-02-17,16550612,1.03%
2023-02-16,16381728,2.54%
2023-02-15,15976407,5.35%
2023-02-14,15165765,-3.43%
2023-02-13,15705180,5.92%
2023-02-10,14826984,-7.39%
2023-02-09,16010184,-6.14%
2023-02-08,17057263,-2.88%
2023-02-07,17563915,5.05%
2023-02-06,16719496,-4.44%
2023-02-03,17496361,-1.15%
2023-02-02,17699022,10.32%
2023-02-01,16043961,1.41%
2023-01-31,15820696,8.93%
2023-01-30,14524006,-2.93%
2023-01-27,14963104,-2.64%
2023-01-26,15368425,-3.60%
2023-01-25,15942630,0.43%
2023-01-24,15875077,-4.18%
2023-01-23,16567500,2.61%
2023-01-20,16145629,1.49%
2023-01-19,15908853,-0.42%
2023-01-18,15976407,-2.57%
2023-01-17,16398616,4.41%
2023-01-13,15706193,-3.12%
2023-01-12,16212844,10.73%
2023-01-11,14642225,2.00%
2023-01-10,14355123,1.67%
2023-01-09,14118685,-0.95%
2023-01-06,14253792,6.03%
2023-01-05,13443150,3.65%
2023-01-04,12970275,-1.79%
2023-01-03,13206713,-1.01%
2022-12-30,13341820,-1.74%
2022-12-29,13578257,4.42%
2022-12-28,13004052,-3.02%
2022-12-27,13409373,-4.87%
2022-12-23,14096055,4.59%
2022-12-22,13476927,-9.11%
2022-12-21,14827997,-0.90%
2022-12-20,14963104,1.37%
2022-12-19,14760444,-10.45%
2022-12-16,16483058,-1.21%
2022-12-15,16685719,2.28%
2022-12-14,16314175,-5.29%
2022-12-13,17226147,-2.30%
2022-12-12,17631468,5.67%
2022-12-09,16684706,-0.21%
2022-12-08,16719496,19.28%
2022-12-07,14017355,-8.19%
2022-12-06,15267095,-13.24%
2022-12-05,17597691,-6.96%
2022-12-02,18914985,-3.95%
2022-12-01,19691851,7.96%
2022-11-30,18239450,-6.74%
2022-11-29,19556744,2.48%
2022-11-28,19083869,-5.04%
2022-11-25,20097172,8.97%
2022-11-23,18442110,1.11%
2022-11-22,18239450,-2.70%
2022-11-21,18746101,-9.02%
2022-11-18,20603823,-7.29%
2022-11-17,22225108,-0.30%
2022-11-16,22292661,-11.17%
2022-11-15,25096132,-9.39%
2022-11-14,27696943,-4.76%
2022-11-11,29081790,-2.71%
2022-11-10,29892432,7.66%
2022-11-09,27764496,0.12%
2022-11-08,27730719,-3.07%
2022-11-07,28608915,-1.85%
2022-11-04,29149343,1.65%
2022-11-03,28676469,-0.93%
