Date,Market Cap,% Change
2023-04-26,759809346,-4.99%
2023-04-25,799742508,-12.41%
2023-04-24,913066345,-2.87%
2023-04-21,940048211,0.46%
2023-04-20,935731112,-5.25%
2023-04-19,987536295,0.22%
2023-04-18,985377746,-0.76%
2023-04-17,992932668,3.60%
2023-04-14,958395880,-2.09%
2023-04-13,978902098,4.61%
2023-04-12,935731112,-4.93%
2023-04-11,984298471,3.64%
2023-04-10,949761683,-0.79%
2023-04-06,957316605,4.48%
2023-04-05,916304169,-3.85%
2023-04-04,952999507,-3.39%
2023-04-03,986457020,0.88%
2023-03-31,977822823,11.03%
2023-03-30,880688106,-1.21%
2023-03-29,891480852,5.22%
2023-03-28,847230592,-5.08%
2023-03-27,892560127,3.38%
2023-03-24,863419712,-3.50%
2023-03-23,894718676,7.52%
2023-03-22,832120747,-8.54%
2023-03-21,909828521,5.77%
2023-03-20,860181888,-3.28%
2023-03-17,889322303,-5.72%
2023-03-16,943286035,3.43%
2023-03-15,911987070,8.75%
2023-03-14,838596395,1.44%
2023-03-13,826724374,13.99%
2023-03-10,725272558,-3.72%
2023-03-09,753333698,-7.67%
2023-03-08,815931627,3.56%
2023-03-07,787870487,-2.54%
2023-03-06,808376705,-4.83%
2023-03-03,849389141,8.70%
2023-03-02,781394839,0.56%
2023-03-01,777077740,-2.83%
2023-02-28,799742508,-1.98%
2023-02-27,815931627,-0.66%
2023-02-24,821328001,-6.63%
2023-02-23,879608831,-5.34%
2023-02-22,929255465,3.24%
2023-02-21,900115049,-0.95%
2023-02-17,908749246,-6.55%
2023-02-16,972426450,-5.36%
2023-02-15,1027469457,9.93%
2023-02-14,934651838,3.10%
2023-02-13,906590697,2.94%
2023-02-10,880688106,-1.57%
2023-02-09,894718676,-6.43%
2023-02-08,956237331,-3.17%
2023-02-07,987536295,-7.39%
2023-02-06,1066323344,4.55%
2023-02-03,1019914534,-3.37%
2023-02-02,1055530597,12.80%
2023-02-01,935731112,15.91%
2023-01-31,807297430,3.60%
2023-01-30,779236290,-0.82%
2023-01-27,785711937,19.74%
2023-01-26,656198981,7.52%
2023-01-25,610329808,-8.50%
2023-01-24,666991727,-1.75%
2023-01-23,678863748,1.78%
2023-01-20,666991727,9.96%
2023-01-19,606552347,-2.26%
2023-01-18,620582918,-8.73%
2023-01-17,679943023,2.44%
2023-01-13,663753903,0.33%
2023-01-12,661595354,5.69%
2023-01-11,625979291,5.65%
2023-01-10,592521777,6.60%
2023-01-09,555826439,8.19%
2023-01-06,513734728,4.39%
2023-01-05,492149235,-4.40%
2023-01-04,514814003,10.67%
2023-01-03,465167369,1.65%
2022-12-30,457612447,-0.47%
2022-12-29,459770996,12.70%
2022-12-28,407965813,-3.08%
2022-12-27,420917109,-9.30%
2022-12-23,464088095,-2.27%
2022-12-22,474880841,-6.98%
2022-12-21,510496904,-1.25%
2022-12-20,516972552,-3.23%
2022-12-19,534240946,0.41%
2022-12-16,532082397,-0.60%
2022-12-15,535320221,-5.52%
2022-12-14,566619186,1.35%
2022-12-13,559064263,1.17%
2022-12-12,552588615,7.11%
2022-12-09,515893277,1.06%
2022-12-08,510496904,-0.63%
2022-12-07,513734728,-4.80%
2022-12-06,539637320,-9.58%
2022-12-05,596838875,-1.60%
2022-12-02,606552347,2.00%
2022-12-01,594680326,2.80%
2022-11-30,578491207,7.20%
2022-11-29,539637320,-0.99%
2022-11-28,545033693,-3.44%
2022-11-25,564460636,1.16%
2022-11-23,557984988,6.82%
2022-11-22,522368925,4.99%
2022-11-21,497545609,-9.43%
2022-11-18,549350791,1.80%
2022-11-17,539637320,3.73%
2022-11-16,520210376,-0.41%
2022-11-15,522368925,1.89%
2022-11-14,512655454,-9.18%
2022-11-11,564460636,21.35%
2022-11-10,465167369,31.80%
2022-11-09,352922807,-12.10%
2022-11-08,401490166,2.48%
2022-11-07,391776694,-9.70%
2022-11-04,433868405,-6.29%
2022-11-03,463008820,
2022-11-02,463008820,-9.87%
2022-11-01,513734728,-1.04%
2022-10-31,519131101,5.25%
2022-10-28,493228510,3.16%
2022-10-27,478118665,1.14%
2022-10-26,472722292,4.29%
2022-10-25,453295348,6.60%
2022-10-24,425234208,-1.99%
2022-10-21,433868405,2.29%
2022-10-20,424154933,-0.76%
2022-10-19,427392757,-9.38%
2022-10-18,471643017,4.05%
2022-10-17,453295348,2.44%
2022-10-14,442502602,-7.03%
2022-10-13,475960116,-5.16%
2022-10-12,501862707,-0.64%
2022-10-11,505100531,-2.90%
2022-10-10,520210376,-7.31%
2022-10-07,561222812,-10.34%
2022-10-06,625979291,-0.85%
2022-10-05,631375664,-5.65%
2022-10-04,669150276,6.16%
2022-10-03,630296389,
2022-09-30,630296389,-1.20%
2022-09-29,637935655,-5.86%
2022-09-28,677672388,5.70%
2022-09-27,641157552,1.88%
2022-09-26,629343929,-5.33%
2022-09-23,664784799,-2.06%
2022-09-22,678746354,-7.87%
2022-09-21,736740504,-2.00%
2022-09-20,751776025,-4.89%
2022-09-19,790438792,-0.27%
2022-09-16,792586723,-8.78%
2022-09-15,868838291,-0.98%
2022-09-14,877430017,0.86%
2022-09-13,869912257,-7.95%
2022-09-12,945089860,3.65%
2022-09-09,911796921,6.13%
2022-09-08,859172600,5.40%
2022-09-07,815140004,3.69%
2022-09-06,786142929,-6.27%
2022-09-02,838767250,-3.34%
2022-09-01,867764326,-1.34%
2022-08-31,879577949,-3.53%
2022-08-30,911796921,-3.19%
2022-08-29,941867962,-2.77%
2022-08-26,968717106,-5.75%
2022-08-25,1027785222,1.81%
2022-08-24,1009527805,-0.84%
2022-08-23,1018119531,0.37%
2022-08-22,1014360650,-6.02%
2022-08-19,1079335578,-11.61%
2022-08-18,1221099057,-3.81%
2022-08-17,1269427516,-6.49%
2022-08-16,1357492708,6.31%
2022-08-15,1276945276,-6.82%
2022-08-12,1370380297,6.69%
2022-08-11,1284463037,2.88%
2022-08-10,1248485184,5.01%
2022-08-09,1188880085,-8.44%
2022-08-08,1298424591,16.47%
2022-08-05,1114776448,14.32%
2022-08-04,975160901,3.18%
2022-08-03,945089860,1.15%
2022-08-02,934350202,2.11%
2022-08-01,915018819,-2.07%
2022-07-29,934350202,-2.90%
2022-07-28,962273312,1.24%
2022-07-27,950459688,2.55%
2022-07-26,926832442,-5.58%
2022-07-25,981604695,-1.72%
2022-07-22,998788147,-5.20%
2022-07-21,1053560400,-2.29%
2022-07-20,1078261613,4.47%
2022-07-19,1032081085,8.10%
2022-07-18,954755551,1.72%
2022-07-15,938646065,3.68%
2022-07-14,905353127,-1.17%
2022-07-13,916092784,-0.81%
2022-07-12,923610545,1.42%
2022-07-11,910722956,-10.74%
2022-07-08,1020267462,-2.16%
2022-07-07,1042820743,4.75%
2022-07-06,995566250,-3.13%
2022-07-05,1027785222,6.81%
2022-07-01,962273312,8.74%
2022-06-30,884947778,-4.19%
2022-06-29,923610545,-4.55%
2022-06-28,967643140,-4.45%
2022-06-27,1012749702,-2.48%
2022-06-24,1038524880,7.09%
2022-06-23,969791072,8.80%
2022-06-22,891391572,4.80%
2022-06-21,850580874,1.67%
2022-06-17,836619319,7.60%
2022-06-16,777551203,-9.84%
2022-06-15,862394497,-1.23%
2022-06-14,873134154,-4.91%
2022-06-13,918240716,-10.84%
2022-06-10,1029933154,-7.07%
2022-06-09,1108332654,-6.69%
2022-06-08,1187806119,1.37%
2022-06-07,1171696633,4.50%
2022-06-06,1121220243,-1.79%
2022-06-03,1141625592,-2.92%
2022-06-02,1175992496,12.42%
2022-06-01,1046042640,-0.61%
2022-05-31,1052486435,-7.63%
2022-05-27,1139477660,6.63%
2022-05-26,1068595921,-0.20%
2022-05-25,1070743852,6.18%
2022-05-24,1008453839,-8.92%
2022-05-23,1107258688,-1.15%
2022-05-20,1120146277,-2.71%
2022-05-19,1151291284,4.59%
2022-05-18,1100814893,-8.15%
2022-05-17,1198545777,7.83%
2022-05-16,1111554551,-9.37%
2022-05-13,1226468886,6.83%
2022-05-12,1148069386,21.34%
2022-05-11,946163825,-14.96%
2022-05-10,1112628517,-3.09%
2022-05-09,1148069386,-8.87%
2022-05-06,1259761824,3.53%
2022-05-05,1216803194,-11.00%
2022-05-04,1367158399,3.66%
2022-05-03,1318829941,2.25%
2022-05-02,1289832865,7.71%
2022-04-29,1197471811,-7.39%
2022-04-28,1293054763,0.58%
2022-04-27,1285537002,-1.97%
2022-04-26,1311312180,-6.65%
2022-04-25,1404747201,1.87%
2022-04-22,1378972023,-4.75%
2022-04-21,1447705831,-6.26%
2022-04-20,1544362748,-2.71%
2022-04-19,1587321378,4.45%
2022-04-18,1519661536,-2.88%
2022-04-14,1564768097,-4.21%
2022-04-13,1633501905,-0.46%
2022-04-12,1641019666,-0.91%
2022-04-11,1656055186,0.52%
2022-04-08,1647463460,-2.48%
2022-04-07,1689348124,-2.78%
2022-04-06,1737676583,-5.66%
2022-04-05,1841851261,-5.56%
2022-04-04,1950321802,3.71%
2022-04-01,1880514028,-2.94%
2022-03-31,1937434213,-3.79%
2022-03-30,2013818963,-6.21%
2022-03-29,2147149138,10.18%
2022-03-28,1948753837,-0.16%
2022-03-25,1951953762,-5.91%
2022-03-24,2074617523,-0.71%
2022-03-23,2089550502,-4.16%
2022-03-22,2180215021,6.96%
2022-03-21,2038351715,-6.73%
2022-03-18,2185548228,0.69%
2022-03-17,2170615249,9.47%
2022-03-16,1982886362,9.35%
2022-03-15,1813290380,2.35%
2022-03-14,1771691365,-9.33%
2022-03-11,1954087044,-7.24%
2022-03-10,2106616765,-1.30%
2022-03-09,2134349441,3.30%
2022-03-08,2066084391,4.65%
2022-03-07,1974353231,-5.42%
2022-03-04,2087417219,-4.40%
2022-03-03,2183414945,-2.71%
2022-03-02,2244213505,-1.87%
2022-03-01,2286879161,-0.88%
2022-02-28,2307145348,-0.92%
2022-02-25,2328478176,-3.54%
2022-02-24,2413809488,5.95%
2022-02-23,2278346030,-9.76%
2022-02-22,2524740193,3.54%
2022-02-18,2438342240,-20.18%
2022-02-17,3054860969,-6.13%
2022-02-16,3254322911,-5.13%
2022-02-15,3430318742,7.63%
2022-02-14,3187124503,0.13%
2022-02-11,3182857937,-0.73%
2022-02-10,3206324048,-3.90%
2022-02-09,3336454299,7.31%
2022-02-08,3109259681,2.17%
2022-02-07,3043127914,0.81%
2022-02-04,3018595162,0.43%
2022-02-03,3005795465,-4.41%
2022-02-02,3144458847,-4.29%
2022-02-01,3285255512,4.16%
2022-01-31,3154058619,9.80%
