Date,Market Cap,% Change
2023-04-25,246976172,-0.14%
2023-04-24,247329247,-0.14%
2023-04-21,247682322,0.65%
2023-04-20,246093484,0.43%
2023-04-19,245034258,0.22%
2023-04-18,244504645,-0.36%
2023-04-17,245387333,0.80%
2023-04-14,243445419,1.03%
2023-04-13,240973892,-2.29%
2023-04-12,246623097,1.97%
2023-04-11,241856580,-0.15%
2023-04-10,242209655,-0.51%
2023-04-06,243445419,2.15%
2023-04-05,238325827,-0.07%
2023-04-04,238502365,-0.37%
2023-04-03,239385053,0.37%
2023-03-31,238502365,1.89%
2023-03-30,234088923,-2.93%
2023-03-29,241150429,0.29%
2023-03-28,240444279,0.15%
2023-03-27,240091204,-1.16%
2023-03-24,242915806,4.80%
2023-03-23,231793934,-1.80%
2023-03-22,236030838,-1.04%
2023-03-21,238502365,1.66%
2023-03-20,234618536,2.23%
2023-03-17,229498945,-1.96%
2023-03-16,234088923,2.00%
2023-03-15,229498945,-0.61%
2023-03-14,230911246,-0.08%
2023-03-13,231087783,-3.04%
2023-03-10,238325827,-3.30%
2023-03-09,246446559,-2.38%
2023-03-08,252448839,-0.07%
2023-03-07,252625377,-0.28%
2023-03-06,253331527,
2023-03-03,253331527,-0.14%
2023-03-02,253684603,-0.62%
2023-03-01,255273441,-1.36%
2023-02-28,258804194,-0.34%
2023-02-27,259686883,-0.61%
2023-02-24,261275722,-1.33%
2023-02-23,264806475,1.21%
2023-02-22,261628797,-0.74%
2023-02-21,263570711,-0.73%
2023-02-17,265512625,0.74%
2023-02-16,263570711,-0.60%
2023-02-15,265159550,-0.92%
2023-02-14,267631077,1.07%
2023-02-13,264806475,-1.38%
2023-02-10,268513765,0.07%
2023-02-09,268337228,-0.33%
2023-02-08,269219916,-1.10%
2023-02-07,272221056,0.98%
2023-02-06,269572991,-0.84%
2023-02-03,271867981,
2023-02-02,271867981,0.98%
2023-02-01,269219916,-1.29%
2023-01-31,272750669,0.26%
2023-01-30,272044518,0.06%
2023-01-27,271867981,-0.45%
2023-01-26,273103744,-0.13%
2023-01-25,273456819,1.37%
2023-01-24,269749529,-0.59%
2023-01-23,271338368,0.85%
2023-01-20,269043378,0.26%
2023-01-19,268337228,-2.69%
2023-01-18,275751809,0.64%
2023-01-17,273986432,-1.59%
2023-01-13,278399874,-0.13%
2023-01-12,278752949,-0.13%
2023-01-11,279106024,3.06%
2023-01-10,270808755,0.72%
2023-01-09,268866840,0.99%
2023-01-06,266218776,2.65%
2023-01-05,259333807,-0.54%
2023-01-04,260746109,-1.53%
2023-01-03,264806475,-0.46%
2022-12-30,266042238,0.47%
2022-12-29,264806475,-4.76%
2022-12-28,278046798,1.61%
2022-12-27,273633357,-2.39%
2022-12-23,280341788,1.60%
2022-12-22,275928346,-1.64%
2022-12-21,280518325,0.32%
2022-12-20,279635637,-0.31%
2022-12-19,280518325,2.32%
2022-12-16,274162970,-2.51%
2022-12-15,281224476,0.38%
2022-12-14,280165250,-0.06%
2022-12-13,280341788,-0.31%
2022-12-12,281224476,-0.75%
2022-12-09,283342928,0.88%
2022-12-08,280871401,1.53%
2022-12-07,276634497,-1.32%
2022-12-06,280341788,-0.75%
2022-12-05,282460240,-0.99%
2022-12-02,285284842,-1.22%
2022-12-01,288815595,0.99%
2022-11-30,285990993,1.57%
2022-11-29,281577551,0.69%
2022-11-28,279635637,-0.38%
2022-11-25,280694863,-0.31%
2022-11-23,281577551,1.27%
2022-11-22,278046798,-1.13%
2022-11-21,281224476,2.77%
2022-11-18,273633357,0.26%
2022-11-17,272927206,-0.26%
2022-11-16,273633357,-0.77%
2022-11-15,275751809,-1.01%
2022-11-14,278576411,-1.19%
2022-11-11,281930627,1.59%
2022-11-10,277517185,7.60%
2022-11-09,257921506,3.25%
2022-11-08,249800774,-1.60%
2022-11-07,253861140,2.20%
2022-11-04,248388473,-0.99%
2022-11-03,250860000,0.21%
2022-11-02,250330387,-3.86%
2022-11-01,260393033,-0.47%
2022-10-31,261628797,0.54%
2022-10-28,260216496,0.48%
2022-10-27,258980732,-0.68%
2022-10-26,260746109,1.44%
2022-10-25,257038818,0.41%
2022-10-24,255979592,
2022-10-21,255979592,-0.62%
2022-10-20,257568431,-1.55%
2022-10-19,261628797,-0.13%
2022-10-18,261981872,1.30%
2022-10-17,258627657,-2.59%
2022-10-14,265512625,0.80%
2022-10-13,263394173,0.67%
2022-10-12,261628797,2.99%
2022-10-11,254037678,-1.17%
2022-10-10,257038818,-1.62%
2022-10-07,261275722,0.82%
2022-10-06,259157270,1.10%
2022-10-05,256332667,-1.02%
2022-10-04,258980732,0.69%
2022-10-03,257215356,1.11%
2022-09-30,254390753,-0.99%
2022-09-29,256922634,-2.94%
2022-09-28,264692115,1.77%
2022-09-27,260101058,-0.67%
2022-09-26,261866849,0.07%
2022-09-23,261690270,-0.13%
2022-09-22,262043428,1.57%
2022-09-21,257982108,-5.01%
2022-09-20,271578701,0.13%
2022-09-19,271225543,2.95%
2022-09-16,263456061,1.84%
2022-09-15,258688425,-1.08%
2022-09-14,261513691,2.00%
2022-09-13,256392896,-2.48%
2022-09-12,262926324,1.64%
2022-09-09,258688425,-0.54%
2022-09-08,260101058,-0.87%
2022-09-07,262396587,-0.67%
2022-09-06,264162378,-2.16%
2022-09-02,269989489,0.13%
2022-09-01,269636331,
2022-08-31,269636331,1.39%
2022-08-30,265928169,-3.34%
2022-08-29,275110284,1.70%
2022-08-26,270519227,-1.67%
2022-08-25,275110284,1.50%
2022-08-24,271048964,-0.84%
2022-08-23,273344493,2.25%
2022-08-22,267340802,-8.85%
2022-08-19,293297934,1.90%
2022-08-18,287823981,-0.61%
2022-08-17,289589773,1.36%
2022-08-16,285705032,0.87%
2022-08-15,283232924,2.69%
2022-08-12,275816601,0.77%
2022-08-11,273697651,2.65%
2022-08-10,266634486,-3.02%
2022-08-09,274933705,0.19%
2022-08-08,274403968,1.50%
2022-08-05,270342648,
2022-08-04,270342648,4.43%
2022-08-03,258865004,2.66%
2022-08-02,252154997,0.14%
2022-08-01,251801839,0.28%
2022-07-29,251095522,0.21%
2022-07-28,250565785,0.14%
2022-07-27,250212627,-0.21%
2022-07-26,250742364,-0.28%
2022-07-25,251448681,-1.66%
2022-07-22,255686580,0.07%
2022-07-21,255510001,-0.07%
2022-07-20,255686580,-0.14%
2022-07-19,256039738,-0.48%
2022-07-18,257275792,0.41%
2022-07-15,256216317,1.61%
2022-07-14,252154997,-2.72%
2022-07-13,259218162,0.55%
2022-07-12,257805529,-0.48%
2022-07-11,259041583,-1.68%
2022-07-08,263456061,-0.33%
2022-07-07,264338957,0.81%
2022-07-06,262220008,-0.67%
2022-07-05,263985799,-1.45%
2022-07-01,267870540,0.73%
2022-06-30,265928169,-3.09%
2022-06-29,274403968,-2.69%
2022-06-28,281996870,-0.31%
2022-06-27,282879766,2.17%
2022-06-24,276876075,-2.31%
2022-06-23,283409503,0.44%
2022-06-22,282173449,-0.56%
2022-06-21,283762661,-0.43%
2022-06-17,284998715,0.75%
2022-06-16,282879766,-1.66%
2022-06-15,287647402,1.81%
2022-06-14,282526608,-0.12%
2022-06-13,282879766,-4.13%
2022-06-10,295063726,-1.36%
2022-06-09,299125046,-2.48%
2022-06-08,306717948,-3.07%
2022-06-07,316429800,2.69%
2022-06-06,308130581,1.28%
2022-06-03,304245840,0.06%
2022-06-02,304069261,0.29%
2022-06-01,303186366,0.82%
2022-05-31,300714258,0.18%
2022-05-27,300184521,0.06%
2022-05-26,300007941,2.10%
2022-05-25,293827672,-2.52%
2022-05-24,301420574,5.76%
2022-05-23,284998715,8.47%
2022-05-20,262749745,-2.36%
2022-05-19,269106594,-2.43%
2022-05-18,275816601,-1.20%
2022-05-17,279171604,-1.50%
2022-05-16,283409503,-0.12%
2022-05-13,283762661,-0.37%
2022-05-12,284822136,0.37%
2022-05-11,283762661,0.06%
2022-05-10,283586082,-2.25%
2022-05-09,290119510,3.72%
2022-05-06,279701341,-2.82%
2022-05-05,287823981,-3.95%
2022-05-04,299654783,0.83%
2022-05-03,297182675,-1.64%
2022-05-02,302126891,-3.82%
2022-04-29,314134272,0.51%
2022-04-28,312545060,2.14%
