Date,Market Cap,% Change
2023-04-24,3870864420,0.12%
2023-04-21,3866055892,-0.25%
2023-04-20,3875672947,-0.12%
2023-04-19,3880481474,1.00%
2023-04-18,3842013256,-0.99%
2023-04-17,3880481474,2.28%
2023-04-14,3793927984,-0.50%
2023-04-13,3813162093,0.63%
2023-04-12,3789119457,-0.51%
2023-04-11,3808353566,1.54%
2023-04-10,3750651239,
2023-04-06,3750651239,-0.51%
2023-04-05,3769885348,-0.63%
2023-04-04,3793927984,-0.63%
2023-04-03,3817970620,-0.75%
2023-03-31,3846821784,2.04%
2023-03-30,3769885348,-2.00%
2023-03-29,3846821784,0.63%
2023-03-28,3822779147,0.89%
2023-03-27,3789119457,2.20%
2023-03-24,3707374494,1.72%
2023-03-23,3644863640,-2.19%
2023-03-22,3726608603,-3.49%
2023-03-21,3861247365,3.48%
2023-03-20,3731417130,0.52%
2023-03-17,3712183021,-3.74%
2023-03-16,3856438838,0.25%
2023-03-15,3846821784,-3.85%
2023-03-14,4000694655,3.74%
2023-03-13,3856438838,-2.31%
2023-03-10,3947800855,-3.86%
2023-03-09,4106482254,-3.72%
2023-03-08,4265163653,-0.56%
2023-03-07,4289206289,-1.76%
2023-03-06,4366142724,0.22%
2023-03-03,4356525670,1.00%
2023-03-02,4313248925,-0.77%
2023-03-01,4346908615,-0.66%
2023-02-28,4375759779,-0.55%
2023-02-27,4399802415,-0.11%
2023-02-24,4404610942,-0.97%
2023-02-23,4447887687,0.22%
2023-02-22,4438270633,0.76%
2023-02-21,4404610942,-3.78%
2023-02-17,4577717922,-0.10%
2023-02-16,4582526450,-0.52%
2023-02-15,4606569086,0.21%
2023-02-14,4596952031,-0.21%
2023-02-13,4606569086,1.05%
2023-02-10,4558483814,0.42%
2023-02-09,4539249705,-0.94%
2023-02-08,4582526450,3.03%
2023-02-07,4447887687,0.54%
2023-02-06,4423845051,-2.75%
2023-02-03,4548866759,-1.25%
2023-02-02,4606569086,0.84%
2023-02-01,4568100868,0.96%
2023-01-31,4524824123,1.40%
2023-01-30,4462313269,-0.54%
2023-01-27,4486355905,0.21%
2023-01-26,4476738851,1.09%
2023-01-25,4428653578,-0.22%
2023-01-24,4438270633,0.65%
2023-01-23,4409419469,1.55%
2023-01-20,4342100088,1.69%
2023-01-19,4269972180,0.11%
2023-01-18,4265163653,0.34%
2023-01-17,4250738071,-0.23%
2023-01-13,4260355125,0.11%
2023-01-12,4255546598,0.80%
2023-01-11,4221886907,1.74%
2023-01-10,4149758999,0.82%
2023-01-09,4116099308,0.23%
2023-01-06,4106482254,1.43%
2023-01-05,4048779927,-0.24%
2023-01-04,4058396982,1.93%
2023-01-03,3981460546,7.99%
2022-12-30,3686930982,-1.21%
2022-12-29,3732058656,0.24%
2022-12-28,3723033121,-3.96%
2022-12-27,3876467213,0.82%
2022-12-23,3844877841,0.35%
2022-12-22,3831339539,-0.93%
2022-12-21,3867441678,2.02%
2022-12-20,3790724632,-2.55%
2022-12-19,3890005516,6.95%
2022-12-16,3637290540,-7.14%
2022-12-15,3917082120,-2.91%
2022-12-14,4034414073,-0.78%
2022-12-13,4066003445,0.90%
2022-12-12,4029901306,0.45%
