Date,Market Cap,% Change
2023-04-25,350227012,-2.29%
2023-04-24,358445673,-1.74%
2023-04-21,364796456,1.77%
2023-04-20,358445673,1.53%
2023-04-19,353028828,0.91%
2023-04-18,349853437,-1.11%
2023-04-17,353775979,2.88%
2023-04-14,343876229,0.22%
2023-04-13,343129078,1.44%
2023-04-12,338272597,-0.88%
2023-04-11,341261200,1.27%
2023-04-10,336965082,0.61%
2023-04-06,334910417,0.06%
2023-04-05,334723630,-1.27%
2023-04-04,339019748,-0.06%
2023-04-03,339206535,-3.20%
2023-03-31,350413800,7.51%
2023-03-30,325944606,-0.46%
2023-03-29,327438908,0.34%
2023-03-28,326318181,
2023-03-27,326318181,1.63%
2023-03-24,321088125,-0.23%
2023-03-23,321835276,1.89%
2023-03-22,315858068,-2.82%
2023-03-21,325010667,0.87%
2023-03-20,322208851,1.71%
2023-03-17,316792007,-4.56%
2023-03-16,331921813,-1.00%
2023-03-15,335283993,1.47%
2023-03-14,330427512,3.21%
2023-03-13,320154186,-0.87%
2023-03-10,322956002,-2.43%
2023-03-09,330987875,-1.34%
2023-03-08,335470781,0.45%
2023-03-07,333976479,-1.27%
2023-03-06,338272597,-3.72%
2023-03-03,351347738,0.70%
2023-03-02,348919498,0.54%
2023-03-01,347051620,0.49%
2023-02-28,345370531,-0.75%
2023-02-27,347985559,-0.21%
2023-02-24,348732710,-3.31%
2023-02-23,360687125,2.28%
2023-02-22,352655253,0.96%
2023-02-21,349293073,-5.27%
2023-02-17,368718998,-13.50%
2023-02-16,426249622,-0.26%
2023-02-15,427370349,0.48%
2023-02-14,425315683,-0.91%
2023-02-13,429238226,1.73%
2023-02-10,421953504,0.13%
2023-02-09,421393141,-1.10%
2023-02-08,426062834,-2.56%
2023-02-07,437270099,0.04%
2023-02-06,437083311,-1.43%
2023-02-03,443434094,-0.75%
2023-02-02,446796274,3.01%
2023-02-01,433721132,1.80%
2023-01-31,426062834,3.54%
2023-01-30,411493391,-1.83%
2023-01-27,419151688,0.54%
2023-01-26,416910235,3.38%
2023-01-25,403274730,1.22%
2023-01-24,398418249,-0.79%
2023-01-23,401593641,2.14%
2023-01-20,393188192,2.53%
2023-01-19,383475230,-0.34%
2023-01-18,384782744,-2.09%
2023-01-17,393001404,-0.52%
2023-01-13,395056070,-0.33%
2023-01-12,396363584,1.87%
2023-01-11,389078862,3.58%
2023-01-10,375630145,0.35%
2023-01-09,374322630,3.14%
2023-01-06,362928578,1.94%
2023-01-05,356017432,-1.55%
2023-01-04,361621064,2.11%
2023-01-03,354149555,4.76%
2022-12-30,338073120,0.59%
2022-12-29,336078054,4.99%
2022-12-28,320117520,-4.02%
2022-12-27,333538878,-1.29%
2022-12-23,337891751,2.25%
2022-12-22,330455593,-2.10%
2022-12-21,337529011,-3.02%
2022-12-20,348048454,1.53%
2022-12-19,342788733,-0.37%
2022-12-16,344058320,-1.96%
2022-12-15,350950369,-4.35%
2022-12-14,366910903,-0.83%
2022-12-13,369994188,0.99%
2022-12-12,366366794,0.65%
2022-12-09,364008987,0.20%
2022-12-08,363283509,-0.69%
2022-12-07,365822684,-0.49%
2022-12-06,367636381,-0.59%
2022-12-05,369812818,-2.90%
2022-12-02,380876370,0.96%
2022-12-01,377248976,
2022-11-30,377248976,4.89%
2022-11-29,359656115,1.23%
2022-11-28,355303242,-0.91%
2022-11-25,358567896,1.23%
2022-11-23,354215024,1.30%
2022-11-22,349680781,0.84%
2022-11-21,346778866,-0.31%
2022-11-18,347867084,1.27%
2022-11-17,343514211,1.07%
2022-11-16,339886817,-3.25%
2022-11-15,351313108,1.41%
2022-11-14,346416127,-3.05%
2022-11-11,357298309,4.45%
2022-11-10,342063254,7.04%
2022-11-09,319573411,-0.11%
2022-11-08,319936150,-1.62%
2022-11-07,325195872,-5.08%
2022-11-04,342607363,1.45%
2022-11-03,337710381,-0.48%
2022-11-02,339342708,-3.71%
2022-11-01,352401327,-0.15%
2022-10-31,352945436,0.52%
2022-10-28,351131739,0.83%
2022-10-27,348229824,0.95%
2022-10-26,344965169,-0.58%
2022-10-25,346960236,2.46%
2022-10-24,338617229,0.27%
2022-10-21,337710381,3.16%
2022-10-20,327372308,-0.99%
2022-10-19,330636963,-1.88%
2022-10-18,336984902,
2022-10-17,336984902,2.14%
2022-10-14,329911484,-1.57%
2022-10-13,335171205,0.43%
2022-10-12,333720248,0.33%
2022-10-11,332632029,1.10%
2022-10-10,329004635,-0.22%
2022-10-07,329730114,-4.42%
2022-10-06,344965169,0.53%
2022-10-05,343151472,-2.42%
2022-10-04,351675848,5.04%
2022-10-03,334808466,-2.38%
2022-09-30,342970102,0.24%
2022-09-29,342159715,-1.92%
2022-09-28,348872385,2.13%
2022-09-27,341600325,-1.40%
2022-09-26,346448365,0.76%
2022-09-23,343837882,-2.69%
2022-09-22,353347498,-3.17%
2022-09-21,364908208,-0.25%
2022-09-20,365840523,-4.94%
2022-09-19,384859755,0.54%
2022-09-16,382808662,-2.42%
2022-09-15,392318278,-1.27%
2022-09-14,397352780,-1.89%
2022-09-13,404997766,-4.82%
2022-09-12,425508702,1.47%
2022-09-09,419355421,3.26%
2022-09-08,406116544,-0.32%
2022-09-07,407421786,3.60%
2022-09-06,393250593,-6.22%
2022-09-02,419355421,-1.14%
2022-09-01,424203461,-0.04%
2022-08-31,424389924,-2.40%
2022-08-30,434831855,-2.71%
2022-08-29,446951954,-0.54%
2022-08-26,449375974,-4.67%
2022-08-25,471378615,0.72%
2022-08-24,468022280,-0.87%
2022-08-23,472124467,0.68%
2022-08-22,468954595,-3.93%
2022-08-19,488160291,-3.36%
2022-08-18,505128429,1.01%
2022-08-17,500093926,-2.01%
2022-08-16,510349395,0.55%
2022-08-15,507552449,-3.10%
2022-08-12,523774735,2.59%
2022-08-11,510535858,0.51%
2022-08-10,507925375,0.18%
2022-08-09,506993060,-0.33%
2022-08-08,508671227,3.26%
2022-08-05,492635404,2.84%
2022-08-04,479023601,-0.39%
2022-08-03,480888231,1.26%
2022-08-02,474921413,0.87%
2022-08-01,470819226,-0.36%
2022-07-29,472497394,1.48%
2022-07-28,465598260,0.44%
2022-07-27,463547167,1.47%
2022-07-26,456834497,-1.57%
2022-07-25,464106556,0.61%
2022-07-22,461309610,-1.39%
2022-07-21,467835817,-0.24%
2022-07-20,468954595,-0.55%
2022-07-19,471565078,4.59%
2022-07-18,450867679,-0.98%
2022-07-15,455342792,2.65%
2022-07-14,443595619,-1.16%
2022-07-13,448816585,-0.95%
2022-07-12,453105235,0.54%
2022-07-11,450681216,-2.22%
2022-07-08,460936684,-1.98%
2022-07-07,470259837,1.94%
2022-07-06,461309610,-2.87%
2022-07-05,474921413,1.72%
2022-07-01,466903502,2.12%
2022-06-30,457207423,0.70%
2022-06-29,454037788,-0.87%
2022-06-28,458027241,1.13%
2022-06-27,452897944,-3.83%
2022-06-24,470945471,3.55%
2022-06-23,454797684,3.64%
2022-06-22,438839870,1.72%
2022-06-21,431430885,1.93%
2022-06-17,423262005,1.04%
2022-06-16,418892603,-3.84%
2022-06-15,435610313,1.82%
2022-06-14,427821380,-3.14%
2022-06-13,441689480,-3.41%
2022-06-10,457267345,-0.78%
2022-06-09,460876851,-0.08%
2022-06-08,461256799,-1.90%
2022-06-07,470185575,1.64%
2022-06-06,462586616,0.08%
2022-06-03,462206669,-1.42%
2022-06-02,468855757,2.03%
2022-06-01,459547033,-0.45%
2022-05-31,461636747,-1.06%
2022-05-27,466576070,0.24%
2022-05-26,465436226,7.83%
2022-05-25,431620859,1.16%
2022-05-24,426681536,-3.73%
2022-05-23,443209272,6.53%
2022-05-20,416042994,-3.35%
2022-05-19,430481016,-1.31%
2022-05-18,436180235,-5.40%
2022-05-17,461066825,5.80%
2022-05-16,435800287,-0.09%
2022-05-13,436180235,1.86%
2022-05-12,428201328,0.90%
2022-05-11,424401848,1.50%
2022-05-10,418132707,-5.54%
2022-05-09,442639350,-2.71%
2022-05-06,454987658,1.05%
2022-05-05,450238308,-3.81%
2022-05-04,468095862,2.20%
2022-05-03,458027241,-0.41%
2022-05-02,459926981,3.20%
