Date,Market Cap,% Change
2023-04-25,386150160,-2.81%
2023-04-24,397304880,0.08%
2023-04-21,396976800,-2.26%
2023-04-20,406163040,-1.24%
2023-04-19,411248280,-0.28%
2023-04-18,412396560,-1.06%
2023-04-17,416825640,1.52%
2023-04-14,410592120,-0.08%
2023-04-13,410920200,0.16%
2023-04-12,410264040,-1.15%
2023-04-11,415021200,-2.54%
2023-04-10,425847840,0.31%
2023-04-06,424535520,
2023-04-05,424535520,0.86%
2023-04-04,420926640,-1.16%
2023-04-03,425847840,-1.07%
2023-03-31,430440960,1.94%
2023-03-30,422238960,-0.23%
2023-03-29,423223200,0.74%
2023-03-28,420106440,-0.27%
2023-03-27,421254720,-0.35%
2023-03-24,422731080,4.46%
2023-03-23,404686680,-1.00%
2023-03-22,408787680,-2.96%
2023-03-21,421254720,3.80%
2023-03-20,405834960,2.53%
2023-03-17,395828520,-3.52%
2023-03-16,410264040,-2.50%
2023-03-15,420762600,0.04%
2023-03-14,420598560,0.75%
2023-03-13,417481800,-4.43%
2023-03-10,436838520,-4.28%
2023-03-09,456359280,-2.49%
2023-03-08,468006120,0.81%
2023-03-07,464233200,-1.22%
2023-03-06,469974600,-0.14%
2023-03-03,470630760,1.74%
2023-03-02,462592800,-0.95%
2023-03-01,467021880,1.17%
2023-02-28,461608560,-1.19%
2023-02-27,467185920,-0.21%
2023-02-24,468170160,-0.11%
2023-02-23,468662280,1.42%
2023-02-22,462100680,-0.74%
2023-02-21,465545520,-4.38%
2023-02-17,486870720,-0.57%
2023-02-16,489659400,8.82%
2023-02-15,449961720,1.67%
2023-02-14,442579920,-1.64%
2023-02-13,449961720,1.44%
2023-02-10,443564160,0.07%
2023-02-09,443236080,-1.75%
2023-02-08,451110000,-2.69%
2023-02-07,463577040,-1.94%
2023-02-06,472763280,-4.41%
2023-02-03,494580600,-3.24%
2023-02-02,511148640,0.81%
2023-02-01,507047640,-0.35%
2023-01-31,508852080,2.58%
2023-01-30,496056960,-0.59%
2023-01-27,499009680,1.94%
2023-01-26,489495360,-0.17%
2023-01-25,490315560,1.46%
2023-01-24,483261840,0.51%
2023-01-23,480801240,-0.03%
2023-01-20,480965280,-1.25%
2023-01-19,487034760,-0.03%
2023-01-18,487198800,-0.44%
2023-01-17,489331320,0.95%
2023-01-13,484738200,-0.57%
2023-01-12,487526880,1.78%
2023-01-11,478996800,1.49%
2023-01-10,471943080,0.10%
2023-01-09,471450960,-0.28%
2023-01-06,472763280,2.93%
2023-01-05,459312000,-2.51%
2023-01-04,471122880,1.20%
2023-01-03,465545520,0.46%
2022-12-30,463413000,-0.81%
2022-12-29,467185920,1.42%
2022-12-28,460624320,-1.13%
2022-12-27,465873600,0.32%
2022-12-23,464397240,0.96%
2022-12-22,459968160,0.07%
2022-12-21,459640080,-1.20%
2022-12-20,465217440,0.46%
2022-12-19,463084920,-1.29%
2022-12-16,469154400,-1.31%
2022-12-15,475387920,-0.45%
