Date,Market Cap,% Change
2023-04-25,762290550,0.67%
2023-04-24,757236690,-2.92%
2023-04-21,779979060,-0.11%
2023-04-20,780821370,-1.49%
2023-04-19,792613710,0.86%
2023-04-18,785875230,-0.74%
2023-04-17,791771400,2.40%
2023-04-14,773240580,-0.22%
2023-04-13,774925199,-0.22%
2023-04-12,776609820,-1.18%
2023-04-11,785875230,0.43%
2023-04-10,782505989,-0.32%
2023-04-06,785032920,0.22%
2023-04-05,783348300,-1.06%
2023-04-04,791771400,-2.08%
2023-04-03,808617600,0.95%
2023-03-31,801036810,3.26%
2023-03-30,775767510,1.21%
2023-03-29,766502100,1.45%
2023-03-28,755552070,-0.66%
2023-03-27,760605930,0.89%
2023-03-24,753867449,1.94%
2023-03-23,739548180,-0.23%
2023-03-22,741232800,-6.38%
2023-03-21,791771400,2.73%
2023-03-20,770713650,2.46%
2023-03-17,752182830,-6.59%
2023-03-16,805248360,-2.35%
2023-03-15,824621489,-0.81%
2023-03-14,831359969,3.35%
2023-03-13,804406050,-1.34%
2023-03-10,815356080,-4.16%
2023-03-09,850733100,-2.60%
2023-03-08,873475469,0.48%
2023-03-07,869263920,-2.46%
2023-03-06,891163980,-1.67%
2023-03-03,906325560,0.56%
2023-03-02,901271699,-0.37%
2023-03-01,904640940,0.19%
2023-02-28,902956320,0.75%
2023-02-27,896217840,0.95%
2023-02-24,887794739,-0.47%
2023-02-23,892006290,1.53%
2023-02-22,878529330,0.48%
2023-02-21,874317780,-3.89%
2023-02-17,909694800,-0.37%
2023-02-16,913064040,2.26%
2023-02-15,892848600,1.15%
2023-02-14,882740880,-0.85%
2023-02-13,890321670,1.44%
2023-02-10,877687020,2.26%
2023-02-09,858313890,-2.02%
2023-02-08,876002400,-1.42%
2023-02-07,888637050,-0.85%
2023-02-06,896217840,-1.39%
2023-02-03,908852489,-0.92%
2023-02-02,917275590,2.74%
2023-02-01,892848600,1.15%
2023-01-31,882740880,3.46%
2023-01-30,853260030,-2.50%
2023-01-27,875160090,1.37%
2023-01-26,863367750,0.79%
2023-01-25,856629270,0.10%
2023-01-24,855786960,-0.10%
2023-01-23,856629270,1.19%
2023-01-20,846521550,0.70%
2023-01-19,840625380,-0.80%
2023-01-18,847363860,-1.66%
2023-01-17,861683130,1.69%
2023-01-13,847363860,-1.47%
