Date,Market Cap,% Change
2023-04-04,5722707,12.92%
2023-04-03,5068080,-11.11%
2023-03-31,5701590,1.89%
2023-03-30,5596005,
2023-03-29,5596005,1.92%
2023-03-28,5490420,-1.89%
2023-03-27,5596005,1.92%
2023-03-24,5490420,
2023-03-23,5490420,1.56%
2023-03-22,5405952,-3.40%
2023-03-21,5596005,
2023-03-20,5596005,1.92%
2023-03-17,5490420,-1.89%
2023-03-16,5596005,
2023-03-15,5596005,
2023-03-14,5596005,1.88%
2023-03-13,5492532,-3.67%
2023-03-10,5701590,-3.57%
2023-03-09,5912760,8.11%
2023-03-08,5469303,1.57%
2023-03-07,5384835,5.81%
2023-03-06,5089197,0.42%
2023-03-03,5068080,
2023-03-02,5068080,-2.04%
2023-03-01,5173665,
2023-02-28,5173665,
2023-02-27,5173665,2.08%
2023-02-24,5068080,
2023-02-23,5068080,-0.04%
2023-02-22,5070192,
2023-02-21,5070192,-5.84%
2023-02-17,5384835,6.03%
2023-02-16,5078639,-7.50%
2023-02-15,5490420,
2023-02-14,5490420,8.29%
2023-02-13,5070192,-10.74%
2023-02-10,5680473,-10.30%
2023-02-09,6332988,24.96%
2023-02-08,5068080,
2023-02-07,5068080,-7.62%
2023-02-06,5486197,7.80%
2023-02-03,5089197,
2023-02-02,5089197,-1.63%
2023-02-01,5173665,-2.00%
2023-01-31,5279250,3.73%
2023-01-30,5089197,-7.24%
2023-01-27,5486197,8.25%
2023-01-26,5068080,
2023-01-25,5068080,-7.69%
2023-01-24,5490420,8.33%
2023-01-23,5068080,4.12%
2023-01-20,4867469,-3.96%
2023-01-19,5068080,-7.62%
2023-01-18,5486197,
2023-01-17,5486197,12.96%
2023-01-13,4856910,-8.00%
2023-01-12,5279250,
2023-01-11,5279250,0.04%
2023-01-10,5277138,4.13%
2023-01-09,5068080,
2023-01-06,5068080,5.47%
2023-01-05,4805173,-8.98%
2023-01-04,5279250,13.64%
2023-01-03,4645740,1.15%
2022-12-30,4592948,-2.07%
2022-12-29,4690086,3.79%
2022-12-28,4519038,0.47%
2022-12-27,4497921,-2.38%
2022-12-23,4607729,-29.61%
2022-12-22,6546270,47.48%
2022-12-21,4438793,-10.55%
2022-12-20,4962495,6.82%
2022-12-19,4645740,4.76%
2022-12-16,4434570,
2022-12-15,4434570,4.48%
2022-12-14,4244517,-4.74%
2022-12-13,4455687,0.48%
2022-12-12,4434570,-8.70%
2022-12-09,4856910,13.86%
2022-12-08,4265634,1.00%
2022-12-07,4223400,-4.76%
2022-12-06,4434570,-12.50%
2022-12-05,5068080,4.35%
2022-12-02,4856910,9.52%
2022-12-01,4434570,
2022-11-30,4434570,-4.55%
2022-11-29,4645740,-8.33%
2022-11-28,5068080,
2022-11-25,5068080,
2022-11-23,5068080,
2022-11-22,5068080,14.29%
2022-11-21,4434570,
2022-11-18,4434570,-4.55%
2022-11-17,4645740,21.55%
2022-11-16,3822177,-9.50%
2022-11-15,4223400,-13.04%
2022-11-14,4856910,15.00%
2022-11-11,4223400,-9.09%
2022-11-10,4645740,10.00%
2022-11-09,4223400,-9.09%
