Date,Market Cap,% Change
2023-04-25,129265175,-4.33%
2023-04-24,135115132,2.29%
2023-04-21,132095799,-1.69%
2023-04-20,134360298,0.85%
2023-04-19,133228049,0.57%
2023-04-18,132473216,-4.10%
2023-04-17,138134464,1.39%
2023-04-14,136247381,-5.74%
2023-04-13,144550546,0.79%
2023-04-12,143418296,2.15%
2023-04-11,140398964,-0.80%
2023-04-10,141531213,1.35%
2023-04-06,139644130,-1.60%
2023-04-05,141908630,3.58%
2023-04-04,137002214,-1.89%
2023-04-03,139644130,-0.54%
2023-03-31,140398964,3.05%
2023-03-30,136247381,-1.63%
2023-03-29,138511881,0.55%
2023-03-28,137757048,1.11%
2023-03-27,136247381,1.12%
2023-03-24,134737715,2.29%
2023-03-23,131718382,-0.85%
2023-03-22,132850632,-1.12%
2023-03-21,134360298,5.01%
2023-03-20,127944217,
2023-03-17,127944217,-1.45%
2023-03-16,129831300,1.18%
2023-03-15,128321633,-2.58%
2023-03-14,131718382,3.25%
2023-03-13,127566800,-2.03%
2023-03-10,130208716,-7.01%
2023-03-09,140021547,-2.37%
2023-03-08,143418296,-0.26%
2023-03-07,143795713,
2023-03-06,143795713,-0.26%
2023-03-03,144173129,1.33%
2023-03-02,142286046,-0.53%
2023-03-01,143040880,-0.26%
2023-02-28,143418296,-0.52%
2023-02-27,144173129,1.06%
2023-02-24,142663463,-0.26%
2023-02-23,143040880,-0.52%
2023-02-22,143795713,-0.52%
2023-02-21,144550546,-1.03%
2023-02-17,146060212,1.31%
2023-02-16,144173129,-1.04%
2023-02-15,145682796,0.78%
2023-02-14,144550546,0.26%
2023-02-13,144173129,2.69%
2023-02-10,140398964,-1.59%
2023-02-09,142663463,-1.56%
2023-02-08,144927962,-1.29%
2023-02-07,146815045,1.83%
2023-02-06,144173129,1.60%
2023-02-03,141908630,-0.27%
2023-02-02,142286046,-1.05%
2023-02-01,143795713,0.26%
2023-01-31,143418296,1.60%
2023-01-30,141153797,-2.35%
2023-01-27,144550546,1.06%
2023-01-26,143040880,1.61%
2023-01-25,140776380,-0.27%
2023-01-24,141153797,-0.80%
2023-01-23,142286046,0.27%
2023-01-20,141908630,1.90%
2023-01-19,139266714,-1.34%
2023-01-18,141153797,-0.53%
2023-01-17,141908630,0.27%
2023-01-13,141531213,4.46%
2023-01-12,135492548,-2.97%
2023-01-11,139644130,3.93%
2023-01-10,134360298,2.30%
2023-01-09,131340966,0.29%
2023-01-06,130963549,2.06%
2023-01-05,128321633,0.89%
2023-01-04,127189384,6.65%
2023-01-03,119263636,-4.24%
2022-12-30,124547468,-1.79%
2022-12-29,126811967,-1.47%
2022-12-28,128699050,-3.94%
2022-12-27,133982882,3.50%
2022-12-23,129453883,-0.29%
2022-12-22,129831300,0.29%
2022-12-21,129453883,1.48%
2022-12-20,127566800,-2.59%
2022-12-19,130963549,0.58%
2022-12-16,130208716,-1.43%
2022-12-15,132095799,1.45%
2022-12-14,130208716,
2022-12-13,130208716,-1.15%
2022-12-12,131718382,0.29%
2022-12-09,131340966,2.96%
2022-12-08,127566800,0.90%
2022-12-07,126434550,-1.76%
2022-12-06,128699050,-1.16%
2022-12-05,130208716,-1.99%
2022-12-02,132850632,-1.12%
2022-12-01,134360298,-1.11%
2022-11-30,135869965,2.56%
2022-11-29,132473216,-0.28%
2022-11-28,132850632,-3.56%
2022-11-25,137757048,1.11%
2022-11-23,136247381,1.98%
2022-11-22,133605465,-1.67%
2022-11-21,135869965,-5.26%
2022-11-18,143418296,1.33%
2022-11-17,141531213,1.08%
2022-11-16,140021547,2.20%
2022-11-15,137002214,1.40%
2022-11-14,135115132,-4.02%
2022-11-11,140776380,0.27%
2022-11-10,140398964,11.04%
2022-11-09,126434550,0.60%
2022-11-08,125679717,-3.20%
2022-11-07,129831300,-5.23%
2022-11-04,137002214,-6.44%
2022-11-03,146437629,0.78%
2022-11-02,145305379,-1.79%
2022-11-01,147947295,-0.51%
2022-10-31,148702128,3.14%
2022-10-28,144173129,3.24%
2022-10-27,139644130,-3.39%
2022-10-26,144550546,-0.26%
2022-10-25,144927962,0.79%
2022-10-24,143795713,0.53%
2022-10-21,143040880,-1.81%
2022-10-20,145682796,0.52%
2022-10-19,144927962,0.26%
2022-10-18,144550546,2.13%
2022-10-17,141531213,1.90%
2022-10-14,138889297,-1.34%
2022-10-13,140776380,1.08%
2022-10-12,139266714,-0.54%
2022-10-11,140021547,-1.59%
2022-10-10,142286046,1.62%
2022-10-07,140021547,3.63%
2022-10-06,135115132,-2.72%
2022-10-05,138889297,-0.81%
2022-10-04,140021547,7.54%
2022-10-03,130208716,3.60%
2022-09-30,125679717,-0.71%
2022-09-29,126584528,-6.05%
2022-09-28,134738746,5.47%
2022-09-27,127749416,-6.00%
2022-09-26,135903635,-10.49%
2022-09-23,151823775,-1.76%
2022-09-22,154541847,-1.49%
2022-09-21,156871624,-1.22%
2022-09-20,158813104,-1.45%
2022-09-19,161142881,-1.19%
2022-09-16,163084362,-1.87%
2022-09-15,166190730,-1.15%
2022-09-14,168132211,-0.46%
2022-09-13,168908803,-0.23%
2022-09-12,169297099,-1.58%
2022-09-09,172015172,2.31%
2022-09-08,168132211,-0.23%
2022-09-07,168520507,0.46%
2022-09-06,167743915,-0.46%
2022-09-02,168520507,0.93%
2022-09-01,166967323,-2.71%
2022-08-31,171626876,-1.34%
2022-08-30,173956652,-0.44%
2022-08-29,174733245,-0.22%
2022-08-26,175121541,-2.17%
