Date,Market Cap,% Change
2023-04-25,1723770600,-3.89%
2023-04-24,1793504400,1.66%
2023-04-21,1764142800,0.49%
2023-04-20,1755579000,-2.58%
2023-04-19,1802068200,1.87%
2023-04-18,1769036400,-1.87%
2023-04-17,1802679900,4.13%
2023-04-14,1731111000,-1.22%
2023-04-13,1752520500,-0.24%
2023-04-12,1756802400,-1.58%
2023-04-11,1784940600,-1.88%
2023-04-10,1819195800,0.61%
2023-04-06,1808185200,4.93%
2023-04-05,1723158900,-3.53%
2023-04-04,1786164000,2.10%
2023-04-03,1749462000,-2.62%
2023-03-31,1796562900,-1.38%
2023-03-30,1821642600,0.68%
2023-03-29,1809408600,3.03%
2023-03-28,1756190700,-1.14%
2023-03-27,1776376800,0.35%
2023-03-24,1770259800,2.05%
2023-03-23,1734781200,0.35%
2023-03-22,1728664200,-4.53%
2023-03-21,1810632000,-1.04%
2023-03-20,1829594700,-0.13%
2023-03-17,1832041500,-0.20%
2023-03-16,1835711700,3.16%
2023-03-15,1779435300,4.34%
2023-03-14,1705419600,0.94%
2023-03-13,1689515400,-0.47%
2023-03-10,1697467500,-2.53%
2023-03-09,1741509900,-2.27%
2023-03-08,1781882100,1.25%
2023-03-07,1759860900,-0.48%
2023-03-06,1768424700,-4.21%
2023-03-03,1846110600,3.60%
2023-03-02,1781882100,1.15%
2023-03-01,1761696000,-3.61%
2023-02-28,1827759600,-1.81%
2023-02-27,1861403100,-0.33%
2023-02-24,1867520100,-1.20%
2023-02-23,1890153000,1.18%
2023-02-22,1868131800,2.24%
2023-02-21,1827147900,-6.98%
2023-02-17,1964168700,-0.59%
2023-02-16,1975790999,-1.07%
2023-02-15,1997200500,
2023-02-14,1997200500,-0.37%
2023-02-13,2004540900,0.31%
2023-02-10,1998423900,-0.46%
2023-02-09,2007599400,-2.15%
2023-02-08,2051641800,-3.54%
2023-02-07,2126880900,0.09%
2023-02-06,2125045800,-2.58%
2023-02-03,2181322200,-1.57%
2023-02-02,2216189100,2.55%
2023-02-01,2161136100,1.06%
2023-01-31,2138503200,1.60%
2023-01-30,2104859699,0.76%
