Date,Market Cap,% Change
2023-04-25,27164140340,-1.56%
2023-04-24,27595968340,-0.49%
2023-04-21,27731994160,-0.68%
2023-04-20,27920918910,-2.52%
2023-04-19,28643151240,0.86%
2023-04-18,28398088850,-0.05%
2023-04-17,28412123260,1.80%
2023-04-14,27910123209,-2.57%
2023-04-13,28646389950,1.41%
2023-04-12,28249108190,-0.88%
2023-04-11,28500648000,0.86%
2023-04-10,28256665180,0.79%
2023-04-06,28034273760,0.57%
2023-04-05,27875576969,0.57%
2023-04-04,27716880180,0.67%
2023-04-03,27532273710,-2.31%
2023-03-31,28184333990,1.50%
2023-03-30,27766540400,1.19%
2023-03-29,27439430690,1.37%
2023-03-28,27068058610,-0.19%
2023-03-27,27118798400,-2.03%
2023-03-24,27681254370,3.85%
2023-03-23,26654583300,0.28%
2023-03-22,26580092970,-3.39%
2023-03-21,27511761880,-0.92%
2023-03-20,27767619969,0.48%
2023-03-17,27634832860,-0.95%
2023-03-16,27900407080,0.82%
2023-03-15,27674776950,2.22%
2023-03-14,27074536030,0.70%
2023-03-13,26886690850,3.72%
2023-03-10,25922634840,-1.50%
2023-03-09,26316677890,-2.81%
2023-03-08,27076695170,1.93%
2023-03-07,26564978990,-3.94%
2023-03-06,27655344690,-1.61%
2023-03-03,28106604950,1.16%
2023-03-02,27783813520,0.96%
2023-03-01,27519318870,-1.71%
2023-02-28,27998647950,-0.21%
2023-02-27,28058024299,0.81%
2023-02-24,27833473740,-2.90%
2023-02-23,28665822209,2.52%
2023-02-22,27960863000,-5.06%
2023-02-21,29449590030,-3.00%
2023-02-17,30361826680,-0.83%
2023-02-16,30615525629,-1.76%
2023-02-15,31165026760,0.51%
2023-02-14,31007409540,-1.48%
2023-02-13,31472704209,0.70%
2023-02-10,31252471930,0.01%
2023-02-09,31249233219,-1.13%
2023-02-08,31606570889,-0.12%
2023-02-07,31645435410,-0.89%
2023-02-06,31930441889,-0.67%
2023-02-03,32146355889,-3.35%
2023-02-02,33260472129,2.30%
2023-02-01,32513409690,1.22%
2023-01-31,32120446209,2.53%
2023-01-30,31329121400,0.40%
2023-01-27,31202811709,-0.70%
2023-01-26,31424123560,-0.20%
2023-01-25,31485659049,1.48%
2023-01-24,31027921370,0.40%
2023-01-23,30904850389,-3.55%
2023-01-20,32042717170,0.80%
2023-01-19,31787938650,0.67%
2023-01-18,31575263360,-3.41%
2023-01-17,32691538740,-1.22%
2023-01-13,33094218350,0.04%
2023-01-12,33082343080,0.11%
2023-01-11,33044558129,4.17%
2023-01-10,31721005310,0.84%
2023-01-09,31457590230,-0.02%
2023-01-06,31464067650,3.58%
2023-01-05,30375861090,-3.85%
2023-01-04,31591456910,3.87%
2023-01-03,30415805180,0.49%
2022-12-30,30267313180,-1.61%
2022-12-29,30761852420,2.22%
