Date,Market Cap,% Change
2023-04-26,2527724710,0.51%
2023-04-25,2515022576,-1.00%
2023-04-24,2540426845,-1.61%
2023-04-21,2581997466,0.09%
2023-04-20,2579687987,-1.06%
2023-04-19,2607401734,0.09%
2023-04-18,2605092255,-3.26%
2023-04-17,2692852455,0.09%
2023-04-14,2690542976,-0.94%
2023-04-13,2715947245,0.09%
2023-04-12,2713637766,-0.59%
2023-04-11,2729804118,2.34%
2023-04-10,2667448187,1.23%
2023-04-06,2635115481,0.53%
2023-04-05,2621258608,3.09%
2023-04-04,2542736323,-1.34%
2023-04-03,2577378508,-2.96%
2023-03-31,2655900792,1.77%
2023-03-30,2609711213,1.44%
2023-03-29,2572759550,3.39%
2023-03-28,2488463568,0.70%
2023-03-27,2471142476,2.29%
2023-03-24,2415714981,3.05%
2023-03-23,2344121134,-2.03%
2023-03-22,2392620192,-4.25%
2023-03-21,2498856223,0.28%
2023-03-20,2491927787,0.94%
2023-03-17,2468832997,-3.35%
2023-03-16,2554283718,-2.56%
2023-03-15,2621258608,-1.65%
2023-03-14,2665138708,2.85%
2023-03-13,2591235381,0.18%
2023-03-10,2586616424,-3.20%
2023-03-09,2672067145,-2.61%
2023-03-08,2743660992,1.89%
2023-03-07,2692852455,-2.35%
2023-03-06,2757517866,-0.67%
2023-03-03,2775993697,-0.17%
2023-03-02,2780612655,2.03%
2023-03-01,2725185161,-0.92%
2023-02-28,2750589429,-1.98%
2023-02-27,2806016924,-0.41%
2023-02-24,2817564319,-1.53%
2023-02-23,2861444419,-0.64%
2023-02-22,2879920250,-1.81%
2023-02-21,2933038266,-2.46%
2023-02-17,3006941592,-0.23%
2023-02-16,3013870029,0.46%
2023-02-15,3000013156,-0.76%
2023-02-14,3023107945,-0.98%
2023-02-13,3053131171,0.69%
2023-02-10,3032345861,1.55%
2023-02-09,2986156282,-1.45%
2023-02-08,3030036382,-1.50%
2023-02-07,3076225961,-1.33%
2023-02-06,3117796582,-0.66%
2023-02-03,3138581893,-1.95%
2023-02-02,3200937824,2.51%
2023-02-01,3122415540,0.15%
2023-01-31,3117796582,1.35%
2023-01-30,3076225961,-1.04%
2023-01-27,3108558666,1.43%
2023-01-26,3064678566,0.91%
2023-01-25,3036964819,-0.68%
2023-01-24,3057750129,-0.53%
2023-01-23,3073916482,0.91%
2023-01-20,3046202735,1.23%
2023-01-19,3009251071,-0.38%
2023-01-18,3020798466,-1.21%
2023-01-17,3057750129,0.91%
2023-01-13,3030036382,-1.13%
2023-01-12,3064678566,1.45%
2023-01-11,3020798466,3.32%
2023-01-10,2923800350,-2.31%
2023-01-09,2993084719,-2.26%
2023-01-06,3062369087,1.84%
2023-01-05,3006941592,-0.61%
2023-01-04,3025417424,3.89%
2023-01-03,2912252955,1.43%
2022-12-30,2871159211,-0.24%
2022-12-29,2878088799,1.47%
2022-12-28,2836511272,-2.38%
2022-12-27,2905807150,0.88%
2022-12-23,2880398662,1.05%
2022-12-22,2850370448,-0.56%
2022-12-21,2866539486,0.81%
2022-12-20,2843440860,0.74%
2022-12-19,2822652097,-0.73%
2022-12-16,2843440860,-2.84%
2022-12-15,2926595914,-1.02%
2022-12-14,2956624128,0.31%
2022-12-13,2947384677,1.43%
2022-12-12,2905807150,-0.16%
2022-12-09,2910426876,-1.56%
2022-12-08,2956624128,0.47%
2022-12-07,2942764952,-1.55%
2022-12-06,2988962204,-0.54%
2022-12-05,3005131242,-0.46%
2022-12-02,3018990418,1.95%
2022-12-01,2961243853,-0.70%
2022-11-30,2982032616,0.08%
2022-11-29,2979722754,4.28%
2022-11-28,2857300036,-2.14%
2022-11-25,2919666326,0.88%
2022-11-23,2894257837,-0.24%
2022-11-22,2901187425,2.20%
2022-11-21,2838821135,3.80%
2022-11-18,2734877318,-0.84%
2022-11-17,2757975944,0.93%
2022-11-16,2732567455,-5.06%
2022-11-15,2878088799,-1.42%
2022-11-14,2919666326,-4.46%
2022-11-11,3055948219,1.30%
2022-11-10,3016680555,7.01%
2022-11-09,2819187303,2.48%
2022-11-08,2751046356,-13.32%
2022-11-07,3173751212,0.22%
2022-11-04,3166821624,2.08%
2022-11-03,3102145471,1.05%
2022-11-02,3069807395,-2.35%
2022-11-01,3143722998,-0.37%
2022-10-31,3155272311,-0.58%
2022-10-28,3173751212,2.46%
2022-10-27,3097525746,1.21%
2022-10-26,3060567945,0.76%
2022-10-25,3037469319,0.61%
2022-10-24,3018990418,1.55%
2022-10-21,2972793166,1.34%
2022-10-20,2933525502,0.55%
2022-10-19,2917356463,-1.25%
2022-10-18,2954314265,0.47%
2022-10-17,2940455089,1.68%
2022-10-14,2891947975,-1.34%
2022-10-13,2931215639,1.76%
2022-10-12,2880398662,0.81%
2022-10-11,2857300036,0.90%
2022-10-10,2831891547,-2.15%
2022-10-07,2894257837,-2.79%
2022-10-06,2977412891,-2.05%
2022-10-05,3039779181,-3.31%
2022-10-04,3143722998,4.05%
2022-10-03,3021300280,-0.30%
2022-09-30,3030539731,2.82%
2022-09-29,2947333216,-3.33%
2022-09-28,3048965396,5.52%
2022-09-27,2889587659,-2.49%
2022-09-26,2963501972,-4.04%
2022-09-23,3088232374,-1.84%
2022-09-22,3145977931,-1.87%
2022-09-21,3206033310,-1.07%
2022-09-20,3240680644,-0.57%
2022-09-19,3259159222,1.36%
2022-09-16,3215272599,2.43%
2022-09-15,3139048464,-1.81%
2022-09-14,3196794021,-4.49%
2022-09-13,3346932469,-4.23%
2022-09-12,3494761094,1.48%
2022-09-09,3443945004,2.05%
2022-09-08,3374650336,-0.61%
2022-09-07,3395438736,0.89%
2022-09-06,3365411047,-1.29%
2022-09-02,3409297670,-0.07%
2022-09-01,3411607492,-1.34%
2022-08-31,3457803938,-0.53%
2022-08-30,3476282516,-1.95%
2022-08-29,3545577184,-0.45%
2022-08-26,3561745940,-1.47%
2022-08-25,3614871852,0.90%
2022-08-24,3582534340,-0.45%
2022-08-23,3598703096,-0.76%
2022-08-22,3626420963,-1.94%
2022-08-19,3698025454,
2022-08-18,3698025454,-0.06%
2022-08-17,3700335276,0.50%
2022-08-16,3681856698,-3.22%
2022-08-15,3804277278,-0.48%
2022-08-12,3822755856,1.53%
2022-08-11,3765010300,0.87%
2022-08-10,3732672788,1.70%
2022-08-09,3670307587,0.51%
2022-08-08,3651829008,4.15%
2022-08-05,3506310205,-1.24%
2022-08-04,3550196828,-0.71%
2022-08-03,3575604873,0.72%
2022-08-02,3550196828,-1.28%
2022-08-01,3596393274,1.17%
2022-07-29,3554816473,0.65%
2022-07-28,3531718250,1.39%
2022-07-27,3483211983,0.53%
2022-07-26,3464733405,-1.32%
2022-07-25,3510929850,3.12%
2022-07-22,3404678025,0.61%
2022-07-21,3383889625,0.14%
2022-07-20,3379269981,-0.61%
2022-07-19,3400058381,1.80%
2022-07-18,3340003002,-0.48%
2022-07-15,3356171758,2.18%
2022-07-14,3284567267,-0.21%
2022-07-13,3291496734,-0.90%
2022-07-12,3321524424,1.70%
2022-07-11,3266088689,-1.26%
2022-07-08,3307665490,1.92%
2022-07-07,3245300289,0.36%
2022-07-06,3233751178,-0.99%
2022-07-05,3266088689,-1.05%
2022-07-01,3300736023,2.29%
2022-06-30,3226821711,-4.57%
2022-06-29,3381359266,0.62%
2022-06-28,3360572221,0.07%
2022-06-27,3358262550,-0.89%
2022-06-24,3388288281,2.59%
2022-06-23,3302830430,2.51%
2022-06-22,3221991923,0.87%
2022-06-21,3194275864,-1.43%
2022-06-17,3240469296,3.54%
2022-06-16,3129605058,-1.60%
2022-06-15,3180417834,4.79%
2022-06-14,3034908521,-1.87%
2022-06-13,3092650312,-6.10%
2022-06-10,3293591744,1.78%
2022-06-09,3235849953,0.57%
2022-06-08,3217372580,-2.25%
2022-06-07,3291282072,5.63%
2022-06-06,3115747028,-0.37%
2022-06-03,3127295387,-2.03%
2022-06-02,3191966192,-0.86%
2022-06-01,3219682252,-0.71%
2022-05-31,3242778968,0.57%
2022-05-27,3224301595,0.58%
2022-05-26,3205824222,-0.57%
2022-05-25,3224301595,4.41%
2022-05-24,3088030969,1.91%
2022-05-23,3030289178,-0.08%
2022-05-20,3032598850,-1.20%
2022-05-19,3069553596,-0.52%
2022-05-18,3085721297,-0.52%
2022-05-17,3101888999,2.60%
2022-05-16,3023360163,2.43%
2022-05-13,2951760343,-0.62%
2022-05-12,2970237716,1.58%
2022-05-11,2924044283,0.40%
2022-05-10,2912495925,-3.00%
2022-05-09,3002573119,-1.59%
2022-05-06,3051076223,-2.37%
2022-05-05,3124985715,8.50%
2022-05-04,2880160522,1.71%
2022-05-03,2831657418,5.33%
2022-05-02,2688457777,-0.34%
2022-04-29,2697696463,-3.47%
2022-04-28,2794702672,2.46%
2022-04-27,2727722195,-2.48%
2022-04-26,2797012343,-1.94%
2022-04-25,2852444463,1.73%
2022-04-22,2803941358,-2.49%
2022-04-21,2875541179,-0.56%
2022-04-20,2891708880,0.81%
2022-04-19,2868612164,0.32%
2022-04-18,2859373477,-4.48%
2022-04-14,2993334432,0.78%
2022-04-13,2970237716,-1.00%
2022-04-12,3000263447,-4.49%
2022-04-11,3141153416,-0.66%
2022-04-08,3161940461,-1.23%
2022-04-07,3201204879,-0.36%
2022-04-06,3212753237,-0.93%
2022-04-05,3242778968,-4.62%
2022-04-04,3399836639,-2.52%
2022-04-01,3487604161,1.41%
2022-03-31,3439101057,-0.42%
2022-03-30,3453665495,-1.12%
2022-03-29,3492911694,2.58%
2022-03-28,3405184896,1.10%
2022-03-25,3368247297,2.10%
2022-03-24,3298989299,1.20%
2022-03-23,3259743101,-0.28%
2022-03-22,3268977500,0.57%
2022-03-21,3250508701,0.93%
2022-03-18,3220496902,-0.50%
2022-03-17,3236657101,0.14%
2022-03-16,3232039902,1.38%
2022-03-15,3188176503,-1.36%
2022-03-14,3232039902,0.43%
2022-03-11,3218188302,0.50%
2022-03-10,3202028102,0.58%
2022-03-09,3183559303,1.85%
2022-03-08,3125844305,3.12%
2022-03-07,3031191708,-2.31%
2022-03-04,3102758305,-0.07%
2022-03-03,3105066905,
2022-03-02,3105066905,3.38%
2022-03-01,3003488508,-3.13%
2022-02-28,3100449705,-0.07%
2022-02-25,3102758305,3.31%
2022-02-24,3003488508,0.08%
2022-02-23,3001179909,-1.59%
2022-02-22,3049660507,-2.37%
2022-02-18,3123535705,-0.07%
2022-02-17,3125844305,-2.17%
2022-02-16,3195102303,3.83%
2022-02-15,3077363706,4.14%
2022-02-14,2955007910,-1.61%
2022-02-11,3003488508,1.56%
2022-02-10,2957316510,-2.95%
2022-02-09,3047351907,2.01%
2022-02-08,2987328309,0.78%
2022-02-07,2964242310,1.02%
2022-02-04,2934230511,-1.85%
2022-02-03,2989636909,-2.48%
2022-02-02,3065820707,-0.30%
2022-02-01,3075055106,-2.13%
2022-01-31,3142004504,2.02%
2022-01-28,3079672306,0.60%
2022-01-27,3061203507,1.53%
2022-01-26,3015031508,-0.76%
2022-01-25,3038117507,-0.53%
2022-01-24,3054277707,0.30%
2022-01-21,3045043307,-2.08%
2022-01-20,3109684105,-2.67%
2022-01-19,3195102303,-1.07%
