Date,Market Cap,% Change
2023-04-25,57111970,0.39%
2023-04-24,56891461,0.58%
2023-04-21,56560697,-0.19%
2023-04-20,56670951,0.39%
2023-04-19,56450442,-0.97%
2023-04-18,57001716,-2.27%
2023-04-17,58324773,-0.19%
2023-04-14,58435028,1.34%
2023-04-13,57663244,2.15%
2023-04-12,56450442,-0.78%
2023-04-11,56891461,0.39%
2023-04-10,56670951,0.19%
2023-04-06,56560697,-0.77%
2023-04-05,57001716,-0.12%
2023-04-04,57070074,0.90%
2023-04-03,56560697,-0.19%
2023-03-31,56670951,-2.47%
2023-03-30,58104263,2.93%
2023-03-29,56450442,-0.97%
2023-03-28,57001716,1.17%
2023-03-27,56340187,0.20%
2023-03-24,56229932,0.60%
2023-03-23,55893655,-1.37%
2023-03-22,56670951,-1.72%
2023-03-21,57663244,1.36%
2023-03-20,56891461,-1.15%
2023-03-17,57552989,-4.92%
2023-03-16,60529868,7.02%
2023-03-15,56560697,-0.39%
2023-03-14,56781206,-0.58%
2023-03-13,57111970,0.19%
2023-03-10,57001716,-0.39%
2023-03-09,57222225,-2.99%
2023-03-08,58986301,-1.83%
2023-03-07,60088849,-1.09%
2023-03-06,60750378,-0.72%
2023-03-03,61191397,-1.94%
2023-03-02,62404199,0.89%
2023-03-01,61852925,-0.71%
2023-02-28,62293945,-1.05%
2023-02-27,62955473,3.82%
2023-02-24,60640123,0.73%
2023-02-23,60199104,1.39%
2023-02-22,59372193,-0.52%
2023-02-21,59685317,-3.16%
2023-02-17,61632416,3.52%
2023-02-16,59537575,-2.53%
2023-02-15,61081142,2.21%
2023-02-14,59758085,-1.45%
2023-02-13,60640123,2.80%
2023-02-10,58986301,2.10%
2023-02-09,57773499,-0.76%
2023-02-08,58214518,-0.94%
2023-02-07,58765792,2.50%
2023-02-06,57332480,0.19%
2023-02-03,57222225,-0.38%
2023-02-02,57442735,2.16%
2023-02-01,56229932,-0.20%
2023-01-31,56340187,0.59%
2023-01-30,56009423,-4.15%
2023-01-27,58435028,
2023-01-26,58435028,5.16%
2023-01-25,55568404,-0.10%
2023-01-24,55623531,-1.85%
2023-01-23,56670951,1.18%
2023-01-20,56009423,-1.36%
2023-01-19,56781206,0.78%
2023-01-18,56340187,-0.78%
2023-01-17,56781206,-0.19%
2023-01-13,56891461,0.98%
2023-01-12,56340187,-0.20%
2023-01-11,56450442,1.79%
2023-01-10,55458149,-0.40%
2023-01-09,55678658,3.70%
2023-01-06,53694072,0.62%
2023-01-05,53363308,-0.62%
2023-01-04,53694072,-1.62%
2023-01-03,54576111,12.14%
2022-12-30,48668791,0.62%
2022-12-29,48369598,0.94%
2022-12-28,47920807,-2.14%
2022-12-27,48967984,1.87%
2022-12-23,48070404,0.73%
2022-12-22,47721345,-3.14%
2022-12-21,49267178,1.65%
2022-12-20,48469329,-1.02%
2022-12-19,48967984,-0.30%
2022-12-16,49117581,-1.50%
2022-12-15,49865565,-1.57%
2022-12-14,50663414,-1.36%
2022-12-13,51361531,0.19%
2022-12-12,51261800,-0.19%
2022-12-09,51361531,0.98%
2022-12-08,50862876,-0.58%
2022-12-07,51162069,1.99%
2022-12-06,50164758,1.00%
2022-12-05,49666102,-1.78%
2022-12-02,50563682,0.40%
2022-12-01,50364220,-0.98%
2022-11-30,50862876,1.39%
2022-11-29,50164758,-0.40%
2022-11-28,50364220,
2022-11-25,50364220,-0.79%
2022-11-23,50763145,-2.86%
2022-11-22,52259112,0.77%
2022-11-21,51860187,0.39%
2022-11-18,51660725,-0.77%
2022-11-17,52059649,-1.51%
2022-11-16,52857498,-0.75%
2022-11-15,53256423,2.10%
2022-11-14,52159380,1.16%
2022-11-11,51560994,5.30%
2022-11-10,48967984,2.19%
2022-11-09,47920807,-1.74%
2022-11-08,48768522,-0.20%
2022-11-07,48868253,-1.21%
2022-11-04,49466640,0.40%
2022-11-03,49267178,-0.20%
2022-11-02,49366909,-3.70%
2022-11-01,51261800,6.64%
2022-10-31,48070404,1.05%
2022-10-28,47571749,-1.85%
2022-10-27,48469329,0.41%
2022-10-26,48269866,-2.81%
2022-10-25,49666102,-0.40%
2022-10-24,49865565,-0.79%
2022-10-21,50264489,-2.89%
2022-10-20,51760456,-0.57%
2022-10-19,52059649,-3.51%
2022-10-18,53954541,0.56%
2022-10-17,53655347,-0.28%
2022-10-14,53804944,-1.55%
2022-10-13,54652659,-1.97%
2022-10-12,55749701,
2022-10-11,55749701,0.18%
2022-10-10,55649970,-2.28%
2022-10-07,56946475,1.96%
2022-10-06,55849432,-2.27%
2022-10-05,57145937,1.42%
2022-10-04,56348088,-0.18%
2022-10-03,56447819,-3.41%
2022-09-30,58442442,-3.61%
2022-09-29,60631785,-0.54%
2022-09-28,60959524,1.45%
2022-09-27,60085553,0.17%
2022-09-26,59980676,-0.72%
2022-09-23,60413292,-2.30%
2022-09-22,61833496,0.71%
2022-09-21,61396510,0.54%
2022-09-20,61068771,-1.06%
2022-09-19,61724249,-0.70%
2022-09-16,62161235,1.07%
2022-09-15,61505756,-1.40%
2022-09-14,62379728,-1.72%
2022-09-13,63472193,-0.17%
2022-09-12,63581439,0.52%
2022-09-09,63253700,-0.22%
2022-09-08,63393535,0.92%
2022-09-07,62816714,
2022-09-06,62816714,-2.04%
2022-09-02,64127672,2.62%
2022-09-01,62488975,-1.38%
2022-08-31,63362946,-0.87%
2022-08-30,63919011,-1.67%
2022-08-29,65001643,-1.82%
2022-08-26,66203354,-0.98%
2022-08-25,66858833,-0.65%
2022-08-24,67295819,1.32%
2022-08-23,66421847,-0.16%
2022-08-22,66531094,-2.25%
2022-08-19,68060544,0.48%
2022-08-18,67732805,2.48%
2022-08-17,66094108,-0.82%
2022-08-16,66640340,0.66%
2022-08-15,66203354,4.84%
2022-08-12,63144453,0.87%
2022-08-11,62598221,1.96%
2022-08-10,61396510,0.90%
2022-08-09,60850278,
2022-08-08,60850278,-0.54%
2022-08-05,61178017,
2022-08-04,61178017,0.90%
2022-08-03,60631785,0.54%
2022-08-02,60304045,-0.36%
2022-08-01,60522538,0.18%
