Date,Market Cap,% Change
2023-04-25,143946000,0.81%
2023-04-24,142782800,-6.39%
2023-04-21,152524600,-3.76%
2023-04-20,158486000,0.55%
2023-04-19,157613600,-0.37%
2023-04-18,158195200,4.62%
2023-04-17,151216000,4.94%
2023-04-14,144091400,0.20%
2023-04-13,143800600,-0.90%
2023-04-12,145109200,-0.10%
2023-04-11,145254600,-0.50%
2023-04-10,145981600,0.80%
2023-04-06,144818400,1.01%
2023-04-05,143364400,-0.30%
2023-04-04,143800600,-1.79%
2023-04-03,146417800,0.30%
2023-03-31,145981600,1.93%
2023-03-30,143219000,-1.40%
2023-03-29,145254600,-1.09%
2023-03-28,146854000,-0.49%
2023-03-27,147581000,-0.88%
2023-03-24,148889600,0.10%
2023-03-23,148744200,-1.06%
2023-03-22,150343600,-1.62%
2023-03-21,152815400,2.74%
2023-03-20,148744200,0.29%
2023-03-17,148308000,-1.35%
2023-03-16,150343600,1.57%
2023-03-15,148017200,-3.05%
2023-03-14,152670000,1.35%
2023-03-13,150634400,-2.72%
2023-03-10,154851000,-2.92%
2023-03-09,159503800,-0.63%
2023-03-08,160521600,0.18%
2023-03-07,160230800,-0.09%
2023-03-06,160376200,-0.54%
2023-03-03,161248600,0.27%
2023-03-02,160812400,0.55%
2023-03-01,159940000,-0.72%
2023-02-28,161103200,0.64%
2023-02-27,160085400,0.36%
2023-02-24,159503800,-0.45%
2023-02-23,160230800,1.10%
2023-02-22,158486000,-0.91%
2023-02-21,159940000,2.04%
2023-02-17,156741200,-0.09%
2023-02-16,156886600,-1.82%
2023-02-15,159794600,1.48%
2023-02-14,157468200,1.31%
2023-02-13,155432600,-0.37%
2023-02-10,156014200,1.42%
2023-02-09,153833200,-1.76%
2023-02-08,156595800,-1.01%
2023-02-07,158195200,0.09%
2023-02-06,158049800,
2023-02-03,158049800,0.28%
2023-02-02,157613600,0.65%
2023-02-01,156595800,0.19%
2023-01-31,156305000,0.37%
2023-01-30,155723400,-0.65%
2023-01-27,156741200,-1.10%
2023-01-26,158486000,-0.46%
2023-01-25,159213000,-1.35%
2023-01-24,161394000,0.09%
2023-01-23,161248600,0.54%
2023-01-20,160376200,-3.25%
2023-01-19,165756000,0.35%
2023-01-18,165174400,0.44%
2023-01-17,164447400,3.76%
2023-01-13,158486000,3.81%
2023-01-12,152670000,14.88%
2023-01-11,132895600,0.44%
2023-01-10,132314000,-0.44%
2023-01-09,132895600,1.33%
2023-01-06,131150800,1.01%
2023-01-05,129842200,-0.67%
2023-01-04,130714600,-1.64%
2023-01-03,132895600,0.28%
2022-12-30,132523110,0.89%
2022-12-29,131356790,2.68%
2022-12-28,127930725,2.39%
2022-12-27,124942030,-5.72%
2022-12-23,132523110,0.22%
2022-12-22,132231530,-1.31%
2022-12-21,133981010,-0.11%
2022-12-20,134126799,0.99%
2022-12-19,132814689,-0.22%
2022-12-16,133106270,-0.65%
2022-12-15,133981010,0.55%
2022-12-14,133252060,-1.83%
2022-12-13,135730490,-0.75%
2022-12-12,136751020,
2022-12-09,136751020,0.97%
2022-12-08,135438910,-0.11%
2022-12-07,135584700,-1.17%
2022-12-06,137188390,0.75%
2022-12-05,136167860,-4.40%
2022-12-02,142436830,3.39%
