Date,Market Cap,% Change
2023-04-25,2360632560,2.18%
2023-04-24,2310365200,-1.65%
2023-04-21,2349032400,1.33%
2023-04-20,2318098640,-0.08%
2023-04-19,2320032000,0.42%
2023-04-18,2310365200,-1.16%
2023-04-17,2337432240,1.85%
2023-04-14,2294898320,0.51%
2023-04-13,2283298160,0.51%
2023-04-12,2271698000,-1.09%
2023-04-11,2296831680,0.76%
2023-04-10,2279431440,-1.59%
2023-04-06,2316165280,0.50%
2023-04-05,2304565120,-0.42%
2023-04-04,2314231920,-2.60%
2023-04-03,2376099440,0.08%
2023-03-31,2374166080,3.11%
2023-03-30,2302631760,0.59%
2023-03-29,2289098240,1.37%
2023-03-28,2258164480,0.95%
2023-03-27,2236897520,0.70%
2023-03-24,2221430640,1.77%
2023-03-23,2182763440,-2.25%
2023-03-22,2233030800,-4.94%
2023-03-21,2349032400,1.00%
2023-03-20,2325832080,2.91%
2023-03-17,2260097840,-2.91%
2023-03-16,2327765440,-2.67%
2023-03-15,2391566320,-0.56%
2023-03-14,2405099840,2.64%
2023-03-13,2343232320,-0.41%
2023-03-10,2352899120,-3.57%
2023-03-09,2439900320,-3.00%
2023-03-08,2515301360,1.72%
2023-03-07,2472767440,-2.96%
2023-03-06,2548168480,-0.83%
2023-03-03,2569435440,0.30%
2023-03-02,2561702000,-0.53%
2023-03-01,2575235520,-0.37%
2023-02-28,2584902320,-0.82%
2023-02-27,2606169280,-0.30%
2023-02-24,2613902720,-0.66%
2023-02-23,2631302960,2.41%
2023-02-22,2569435440,1.06%
2023-02-21,2542368400,-4.43%
2023-02-17,2660303360,-0.43%
2023-02-16,2671903520,-0.29%
2023-02-15,2679636960,0.07%
2023-02-14,2677703600,-0.14%
2023-02-13,2681570320,0.29%
2023-02-10,2673836880,1.92%
2023-02-09,2623569520,-1.31%
2023-02-08,2658370000,0.44%
2023-02-07,2646769840,-0.07%
2023-02-06,2648703200,-0.65%
2023-02-03,2666103440,-2.61%
2023-02-02,2737637760,2.09%
2023-02-01,2681570320,1.61%
2023-01-31,2639036400,3.72%
2023-01-30,2544301760,-2.01%
2023-01-27,2596502480,0.98%
2023-01-26,2571368800,0.38%
2023-01-25,2561702000,-0.23%
2023-01-24,2567502080,0.53%
2023-01-23,2553968560,2.56%
2023-01-20,2490167680,0.78%
2023-01-19,2470834080,-2.37%
2023-01-18,2530768240,-2.31%
2023-01-17,2590702400,1.36%
2023-01-13,2555901920,-1.64%
2023-01-12,2598435840,2.05%
2023-01-11,2546235120,4.36%
2023-01-10,2439900320,-2.55%
2023-01-09,2503701200,-0.92%
2023-01-06,2526901520,-0.08%
2023-01-05,2528834880,-4.60%
2023-01-04,2650636560,0.51%
2023-01-03,2637103040,-0.15%
2022-12-30,2640969760,1.34%
2022-12-29,2606169280,1.97%
2022-12-28,2555901920,-3.01%
2022-12-27,2635169680,0.07%
2022-12-23,2633236320,0.59%
2022-12-22,2617769440,1.20%
2022-12-21,2586835680,2.14%
2022-12-20,2532701600,0.46%
2022-12-19,2521101440,-0.46%
2022-12-16,2532701600,-2.24%
2022-12-15,2590702400,-1.40%
2022-12-14,2627436240,0.07%
2022-12-13,2625502880,1.19%
2022-12-12,2594569120,1.13%
2022-12-09,2565568720,-0.08%
2022-12-08,2567502080,-0.38%
2022-12-07,2577168880,0.30%
2022-12-06,2569435440,0.08%
2022-12-05,2567502080,-1.85%
2022-12-02,2615836080,-0.22%
2022-12-01,2621636160,-0.22%
2022-11-30,2627436240,1.04%
2022-11-29,2600369200,3.70%
2022-11-28,2507567920,-2.85%
2022-11-25,2581035600,0.23%
2022-11-23,2575235520,-0.89%
2022-11-22,2598435840,1.82%
2022-11-21,2552035200,-0.15%
2022-11-18,2555901920,1.38%
2022-11-17,2521101440,0.15%
2022-11-16,2517234720,-1.74%
2022-11-15,2561702000,2.00%
2022-11-14,2511434640,-0.99%
2022-11-11,2536568320,-0.15%
2022-11-10,2540435040,7.09%
2022-11-09,2372232720,-1.13%
2022-11-08,2399299760,0.81%
2022-11-07,2379966160,-0.73%
2022-11-04,2397366400,2.23%
2022-11-03,2345165680,-0.08%
2022-11-02,2347099040,-2.33%
2022-11-01,2403166480,0.40%
2022-10-31,2393499680,
2022-10-28,2393499680,2.65%
2022-10-27,2331632160,0.50%
2022-10-26,2320032000,-1.07%
2022-10-25,2345165680,4.30%
2022-10-24,2248497680,0.61%
2022-10-21,2234964160,2.48%
2022-10-20,2180830080,
2022-10-19,2180830080,-2.59%
2022-10-18,2238830880,1.49%
2022-10-17,2205963760,4.49%
2022-10-14,2111229120,-2.67%
2022-10-13,2169229920,2.09%
2022-10-12,2124762640,-0.63%
2022-10-11,2138296160,2.31%
2022-10-10,2089962160,1.12%
2022-10-07,2066761840,-3.17%
2022-10-06,2134429439,-1.08%
2022-10-05,2157629760,-1.59%
2022-10-04,2192430240,4.23%
2022-10-03,2103495680,1.59%
2022-09-30,2070628560,-9.00%
2022-09-29,2275321440,-3.71%
2022-09-28,2362998300,2.41%
2022-09-27,2307398340,-0.64%
2022-09-26,2322367560,-3.89%
2022-09-23,2416459800,-2.25%
2022-09-22,2472059760,-4.30%
2022-09-21,2583259680,-2.74%
2022-09-20,2655967320,-2.66%
2022-09-19,2728674960,-0.55%
2022-09-16,2743644180,1.74%
2022-09-15,2696598060,-1.02%
2022-09-14,2724398040,-0.86%
2022-09-13,2747921100,-5.38%
2022-09-12,2904028680,1.12%
2022-09-09,2871951780,2.21%
2022-09-08,2809936440,0.08%
2022-09-07,2807797980,1.94%
2022-09-06,2754336480,0.55%
2022-09-02,2739367260,-1.08%
2022-09-01,2769305700,-0.08%
2022-08-31,2771444160,-1.52%
2022-08-30,2814213360,-0.83%
2022-08-29,2837736420,-1.63%
2022-08-26,2884782540,-3.64%
2022-08-25,2993844000,1.23%
2022-08-24,2957490180,0.22%
2022-08-23,2951074800,-0.93%
2022-08-22,2978874780,-3.67%
2022-08-19,3092213160,-3.47%
2022-08-18,3203413080,0.07%
2022-08-17,3201274620,-3.11%
2022-08-16,3303920700,1.91%
2022-08-15,3241905360,0.93%
2022-08-12,3211966920,2.18%
2022-08-11,3143536200,0.62%
2022-08-10,3124290060,2.17%
2022-08-09,3057997800,-0.69%
2022-08-08,3079382400,2.86%
2022-08-05,2993844000,-0.14%
2022-08-04,2998120920,-1.34%
2022-08-03,3038751660,0.71%
2022-08-02,3017367060,-2.22%
2022-08-01,3085797780,-1.23%
2022-07-29,3124290060,0.27%
2022-07-28,3115736220,3.63%
2022-07-27,3006674760,2.55%
2022-07-26,2931828660,-1.58%
2022-07-25,2978874780,0.14%
2022-07-22,2974597860,-0.29%
2022-07-21,2983151700,-0.29%
2022-07-20,2991705540,0.79%
2022-07-19,2968182480,3.35%
2022-07-18,2871951780,0.30%
2022-07-15,2863397940,2.76%
2022-07-14,2786413380,-1.51%
2022-07-13,2829182580,-1.78%
2022-07-12,2880505620,2.12%
2022-07-11,2820628740,-1.12%
2022-07-08,2852705640,-0.74%
2022-07-07,2874090240,0.37%
2022-07-06,2863397940,-1.18%
2022-07-05,2897613300,-0.66%
2022-07-01,2916859440,1.26%
2022-06-30,2880505620,-1.62%
2022-06-29,2927798160,-0.65%
2022-06-28,2947045920,-0.07%
2022-06-27,2949184560,0.66%
2022-06-24,2929936800,2.62%
2022-06-23,2855084400,1.91%
2022-06-22,2801618400,1.24%
2022-06-21,2767400160,-0.61%
2022-06-17,2784509280,1.17%
2022-06-16,2752429680,-2.20%
2022-06-15,2814450240,4.94%
2022-06-14,2681854560,-1.65%
2022-06-13,2726766000,-6.80%
2022-06-10,2925659520,-3.05%
2022-06-09,3017621040,-3.95%
2022-06-08,3141662160,-2.91%
2022-06-07,3235762320,1.68%
2022-06-06,3182296320,-3.12%
