Date,Market Cap,% Change
2023-04-26,35461276290,-1.20%
2023-04-25,35891767180,-0.92%
2023-04-24,36223672370,-0.39%
2023-04-21,36364978540,-0.10%
2023-04-20,36401126630,-1.15%
2023-04-19,36825045140,0.68%
2023-04-18,36575294700,-0.04%
2023-04-17,36591725650,3.52%
2023-04-14,35346259640,-1.27%
2023-04-13,35799753860,-0.52%
2023-04-12,35987066690,-0.59%
2023-04-11,36200669040,0.55%
2023-04-10,36003497640,-0.19%
2023-04-06,36072507630,-0.16%
2023-04-05,36131659050,-1.22%
2023-04-04,36578580890,-0.99%
2023-04-03,36943347980,0.40%
2023-03-31,36795469430,4.10%
2023-03-30,35346259640,0.91%
2023-03-29,35027499210,2.34%
2023-03-28,34225668850,0.82%
2023-03-27,33946342700,-0.17%
2023-03-24,34005494120,1.07%
2023-03-23,33644013220,-1.85%
2023-03-22,34278247890,-4.41%
2023-03-21,35858905280,1.87%
2023-03-20,35201667280,2.69%
2023-03-17,34278247890,-4.48%
2023-03-16,35885194800,-0.45%
2023-03-15,36046218110,-2.24%
2023-03-14,36871051800,0.70%
2023-03-13,36614728980,-0.07%
2023-03-10,36641018500,-4.94%
2023-03-09,38547008700,-3.99%
2023-03-08,40150669420,1.30%
2023-03-07,39634737590,-2.62%
2023-03-06,40699463150,-0.19%
2023-03-03,40775045520,1.00%
2023-03-02,40370844150,1.32%
2023-03-01,39845053750,-0.69%
2023-02-28,40121093710,-0.34%
2023-02-27,40259113690,0.56%
2023-02-24,40035652770,-0.38%
2023-02-23,40190103700,0.99%
2023-02-22,39795760900,0.40%
2023-02-21,39638023780,-2.46%
2023-02-17,40637025540,-0.55%
2023-02-16,40863772650,-0.93%
2023-02-15,41248256880,0.09%
2023-02-14,41212108790,-0.29%
2023-02-13,41333697820,1.15%
2023-02-10,40863772650,-0.05%
2023-02-09,40883489790,0.14%
2023-02-08,40827624560,-1.32%
2023-02-07,41373132100,-2.13%
2023-02-06,42273548159,-0.90%
2023-02-03,42658032390,-1.50%
2023-02-02,43308698010,2.22%
2023-02-01,42368847670,0.37%
2023-01-31,42214396740,1.99%
2023-01-30,41389563050,-2.07%
2023-01-27,42263689590,1.80%
2023-01-26,41514438270,0.91%
2023-01-25,41139812610,-0.21%
2023-01-24,41225253550,0.38%
