Date,Market Cap,% Change
2023-04-25,381918720,-4.48%
2023-04-24,399821159,-1.83%
2023-04-21,407280510,-0.24%
2023-04-20,408275090,-0.36%
2023-04-19,409766960,-0.60%
2023-04-18,412253409,-1.66%
2023-04-17,419215470,0.36%
2023-04-14,417723600,0.12%
2023-04-13,417226310,0.36%
2023-04-12,415734440,-2.34%
2023-04-11,425680240,3.13%
2023-04-10,412750700,1.47%
2023-04-06,406783220,1.74%
2023-04-05,399821159,-0.99%
2023-04-04,403799479,2.14%
2023-04-03,395345550,1.02%
2023-03-31,391367230,3.96%
2023-03-30,376448530,-0.66%
2023-03-29,378934980,4.10%
2023-03-28,364016280,-4.06%
2023-03-27,379432270,-1.29%
2023-03-24,384405170,-0.64%
2023-03-23,386891620,-0.77%
2023-03-22,389875360,-1.63%
2023-03-21,396340130,4.87%
2023-03-20,377940400,-9.85%
2023-03-17,419215470,-7.77%
2023-03-16,454523060,-1.08%
2023-03-15,459495960,-8.61%
2023-03-14,502760190,4.01%
2023-03-13,483365880,-8.47%
2023-03-10,528121979,-1.94%
2023-03-09,538565070,-2.52%
2023-03-08,552489190,1.55%
2023-03-07,544035260,1.48%
2023-03-06,536078619,-9.56%
2023-03-03,592769680,
2023-03-02,592769680,-1.00%
2023-03-01,598737160,-0.33%
2023-02-28,600726320,
2023-02-27,600726320,-1.47%
2023-02-24,609677540,-0.49%
2023-02-23,612661280,1.82%
2023-02-22,601720900,
2023-02-21,601720900,-1.47%
2023-02-17,610672120,-0.89%
2023-02-16,616142310,0.16%
2023-02-15,615147730,1.23%
2023-02-14,607688380,0.41%
2023-02-13,605201930,1.00%
2023-02-10,599234450,-0.17%
2023-02-09,600229030,-3.82%
2023-02-08,624098950,-0.08%
2023-02-07,624596240,-0.08%
2023-02-06,625093530,-1.02%
2023-02-03,631558300,1.84%
2023-02-02,620120630,1.96%
2023-02-01,608185670,0.66%
2023-01-31,604207350,2.62%
2023-01-30,588791360,-1.17%
2023-01-27,595753420,0.08%
2023-01-26,595256130,0.17%
2023-01-25,594261550,0.50%
2023-01-24,591277810,0.68%
2023-01-23,587299490,-1.01%
2023-01-20,593266970,1.27%
2023-01-19,585807620,-1.59%
2023-01-18,595256130,-1.16%
2023-01-17,602218190,-1.54%
2023-01-13,611666700,
2023-01-12,611666700,-0.40%
2023-01-11,614153150,2.24%
2023-01-10,600726320,1.60%
2023-01-09,591277810,-1.82%
2023-01-06,602218190,1.34%
2023-01-05,594261550,-1.24%
2023-01-04,601720900,1.60%
2023-01-03,592272390,-10.67%
2022-12-30,663000520,0.42%
2022-12-29,660198320,1.03%
2022-12-28,653473040,-0.09%
2022-12-27,654033480,-2.34%
2022-12-23,669725800,0.50%
2022-12-22,666363160,0.42%
2022-12-21,663560960,1.02%
2022-12-20,656835680,-0.85%
2022-12-19,662440080,-0.84%
2022-12-16,668044480,-0.67%
2022-12-15,672528000,-1.56%
2022-12-14,683176360,-1.30%
2022-12-13,692143400,3.52%
2022-12-12,668604920,-0.08%
2022-12-09,669165360,1.19%
2022-12-08,661319200,-0.17%
2022-12-07,662440080,-1.09%
2022-12-06,669725800,-1.08%
2022-12-05,677011520,-1.63%
2022-12-02,688220320,-1.37%
2022-12-01,697747800,4.01%
2022-11-30,670846680,1.79%
2022-11-29,659077440,3.25%
2022-11-28,638341160,-2.65%
2022-11-25,655714800,-0.68%
2022-11-23,660198320,2.97%
2022-11-22,641143360,-0.61%
2022-11-21,645066440,-0.35%
2022-11-18,647308200,-0.09%
2022-11-17,647868640,0.17%
2022-11-16,646747760,-3.11%
2022-11-15,667484040,0.93%
2022-11-14,661319200,1.46%
2022-11-11,651791720,0.87%
2022-11-10,646187320,5.49%
2022-11-09,612560920,-3.79%
2022-11-08,636659840,-0.18%
2022-11-07,637780720,0.09%
2022-11-04,637220280,0.62%
2022-11-03,633297200,1.62%
2022-11-02,623209280,-0.09%
2022-11-01,623769720,3.73%
2022-10-31,601352120,3.77%
2022-10-28,579494960,2.38%
2022-10-27,566044400,-5.78%
2022-10-26,600791680,-3.77%
2022-10-25,624330160,5.29%
2022-10-24,592945520,0.38%
2022-10-21,590703760,6.04%
2022-10-20,557077360,1.95%
2022-10-19,546429000,-3.18%
