Date,Market Cap,% Change
2023-04-26,4866940280,2.19%
2023-04-25,4762608420,-3.43%
2023-04-24,4931795220,-0.29%
2023-04-21,4945894120,0.52%
2023-04-20,4920516100,-1.52%
2023-04-19,4996650160,1.55%
2023-04-18,4920516100,-0.96%
2023-04-17,4968452360,3.04%
2023-04-14,4821823800,-1.27%
2023-04-13,4883858960,-1.09%
2023-04-12,4937434780,-0.28%
2023-04-11,4951533680,2.27%
2023-04-10,4841562260,-0.17%
2023-04-06,4850021600,-0.86%
2023-04-05,4892318300,-0.29%
2023-04-04,4906417200,-1.14%
2023-04-03,4962812800,-0.51%
2023-03-31,4988190820,2.91%
2023-03-30,4847201820,-1.55%
2023-03-29,4923335880,2.11%
2023-03-28,4821823800,0.06%
2023-03-27,4819004020,1.42%
2023-03-24,4751329300,1.94%
2023-03-23,4661096340,-3.56%
2023-03-22,4833102920,-2.39%
2023-03-21,4951533680,3.29%
2023-03-20,4793626000,1.55%
2023-03-17,4720311720,-3.18%
2023-03-16,4875399620,-1.43%
2023-03-15,4945894120,-3.68%
2023-03-14,5134819380,0.77%
2023-03-13,5095342460,-0.88%
2023-03-10,5140458940,-3.60%
2023-03-09,5332203980,-3.77%
2023-03-08,5540867700,-2.24%
2023-03-07,5667757800,-2.24%
2023-03-06,5797467680,4.58%
2023-03-03,5543687480,2.50%
2023-03-02,5408338040,-0.52%
2023-03-01,5436535840,0.63%
2023-02-28,5402698480,-0.62%
2023-02-27,5436535840,-0.98%
2023-02-24,5490111660,-1.22%
2023-02-23,5557786380,1.44%
2023-02-22,5478832540,0.10%
2023-02-21,5473192980,-4.05%
2023-02-17,5704414940,-0.20%
2023-02-16,5715694060,-0.83%
2023-02-15,5763630320,0.34%
2023-02-14,5743891860,-0.63%
2023-02-13,5780549000,1.43%
2023-02-10,5698775380,1.30%
2023-02-09,5625461100,-3.01%
2023-02-08,5800287460,-2.70%
2023-02-07,5961014920,0.67%
2023-02-06,5921538000,-2.37%
2023-02-03,6065346780,0.51%
2023-02-02,6034329200,0.38%
2023-02-01,6011770960,2.06%
2023-01-31,5890520420,2.00%
2023-01-30,5774909440,-1.01%
2023-01-27,5834124820,1.92%
2023-01-26,5724153400,0.59%
2023-01-25,5690316040,-0.69%
2023-01-24,5729792960,-0.83%
2023-01-23,5777729220,0.20%
2023-01-20,5766450100,3.39%
2023-01-19,5577524840,-1.30%
2023-01-18,5650839120,-0.84%
2023-01-17,5698775380,0.35%
2023-01-13,5679036920,0.80%
2023-01-12,5633920440,1.16%
2023-01-11,5569065500,1.96%
2023-01-10,5461913860,1.79%
2023-01-09,5366041340,0.42%
2023-01-06,5343483100,1.83%
2023-01-05,5247610580,-1.01%
2023-01-04,5301186400,1.51%
2023-01-03,5222232560,1.04%
2022-12-30,5168656739,-0.33%
2022-12-29,5185575420,-1.45%
2022-12-28,5261709480,-2.76%
2022-12-27,5411157820,-0.26%
2022-12-23,5425256720,0.52%
2022-12-22,5397058920,-0.57%
2022-12-21,5428076500,3.66%
2022-12-20,5236331460,-1.85%
2022-12-19,5335023760,-0.68%
2022-12-16,5371680900,-2.81%
2022-12-15,5526768800,-2.20%
2022-12-14,5650839120,-0.99%
2022-12-13,5707234720,0.15%
2022-12-12,5698775380,1.61%
2022-12-09,5608542420,-0.30%
2022-12-08,5625461100,0.25%
2022-12-07,5611362200,-0.30%
2022-12-06,5628280880,-1.87%
2022-12-05,5735432520,-3.19%
2022-12-02,5924357780,-1.45%
2022-12-01,6011770960,-0.42%
2022-11-30,6037148980,1.18%
2022-11-29,5966654480,0.14%
2022-11-28,5958195140,-0.66%
2022-11-25,5997672060,0.95%
2022-11-23,5941276460,0.10%
2022-11-22,5935636900,1.20%
2022-11-21,5865142400,1.61%
2022-11-18,5772089660,1.44%
2022-11-17,5690316040,-2.09%
2022-11-16,5811566580,-2.60%
2022-11-15,5966654480,0.47%
2022-11-14,5938456680,-1.59%
2022-11-11,6034329200,0.80%
2022-11-10,5986392940,4.12%
2022-11-09,5749531420,-0.59%
2022-11-08,5783368780,0.49%
2022-11-07,5755170980,0.89%
2022-11-04,5704414940,2.33%
2022-11-03,5574705060,-1.74%
2022-11-02,5673397360,-3.32%
2022-11-01,5867962180,0.73%
2022-10-31,5825665480,-0.77%
2022-10-28,5870781960,3.02%
2022-10-27,5698775380,-0.35%
2022-10-26,5718513840,0.75%
2022-10-25,5676217140,5.34%
2022-10-24,5388599580,-0.52%
2022-10-21,5416797380,1.21%
2022-10-20,5351942440,-1.09%
2022-10-19,5411157820,-2.09%
2022-10-18,5526768800,2.03%
2022-10-17,5416797380,2.02%
2022-10-14,5309645739,-2.38%
2022-10-13,5439355620,1.90%
2022-10-12,5337843540,0.16%
2022-10-11,5329384200,3.28%
2022-10-10,5160197400,-2.03%
2022-10-07,5267349040,-2.56%
2022-10-06,5405518260,-1.74%
2022-10-05,5501390780,-2.30%
2022-10-04,5631100660,7.54%
2022-10-03,5236331460,1.92%
2022-09-30,5137639160,-9.21%
2022-09-29,5658688800,-9.25%
2022-09-28,6235292319,1.45%
2022-09-27,6146348160,-1.23%
2022-09-26,6223024160,-5.23%
2022-09-23,6566532640,-3.60%
2022-09-22,6811895840,-2.16%
2022-09-21,6962180800,-0.83%
2022-09-20,7020454560,-2.18%
2022-09-19,7176873600,1.87%
2022-09-16,7044990880,-1.25%
2022-09-15,7133935040,-0.77%
2022-09-14,7189141760,0.90%
2022-09-13,7124733920,-2.80%
2022-09-12,7330225600,1.75%
2022-09-09,7204476959,0.95%
2022-09-08,7137002080,0.78%
2022-09-07,7081795360,1.67%
2022-09-06,6965247840,1.16%
2022-09-02,6885504800,-0.62%
2022-09-01,6928443360,-1.48%
2022-08-31,7032722720,0.22%
2022-08-30,7017387520,-1.97%
2022-08-29,7158471360,-0.21%
2022-08-26,7173806560,-1.52%
2022-08-25,7284220000,1.19%
2022-08-24,7198342880,-0.09%
2022-08-23,7204476959,1.38%
2022-08-22,7106331680,-1.95%
2022-08-19,7247415520,-1.17%
2022-08-18,7333292640,-0.87%
2022-08-17,7397700480,-0.90%
2022-08-16,7465175360,0.21%
2022-08-15,7449840160,0.41%
2022-08-12,7419169760,0.92%
2022-08-11,7351694880,0.13%
2022-08-10,7342493760,0.76%
2022-08-09,7287287040,-0.42%
2022-08-08,7317957440,1.53%
2022-08-05,7207544000,-0.34%
2022-08-04,7232080319,0.60%
2022-08-03,7189141760,1.12%
2022-08-02,7109398720,-1.99%
2022-08-01,7253549600,0.13%
2022-07-29,7244348480,-0.42%
2022-07-28,7275018880,1.93%
2022-07-27,7137002080,2.38%
2022-07-26,6971381920,-0.13%
2022-07-25,6980583040,0.75%
2022-07-22,6928443360,0.13%
2022-07-21,6919242240,0.58%
2022-07-20,6879370720,0.76%
2022-07-19,6827231040,3.06%
2022-07-18,6624806400,0.65%
2022-07-15,6581867840,1.85%
2022-07-14,6462253280,-2.23%
