Date,Market Cap,% Change
2023-04-25,16984223999,0.09%
2023-04-24,16968312000,-0.71%
2023-04-21,17089488000,0.45%
2023-04-20,17012376000,-0.25%
2023-04-19,17055216000,0.96%
2023-04-18,16892423999,-0.01%
2023-04-17,16893648000,1.07%
2023-04-14,16714944000,-1.59%
2023-04-13,16984223999,-0.80%
2023-04-12,17121312000,-1.35%
2023-04-11,17356320000,0.99%
2023-04-10,17186184000,-0.14%
2023-04-06,17210664000,0.93%
2023-04-05,17051544000,-0.24%
2023-04-04,17093160000,0.37%
2023-04-03,17029512000,-1.24%
2023-03-31,17243712000,1.08%
2023-03-30,17058888000,1.69%
2023-03-29,16776144000,2.73%
2023-03-28,16330607999,0.50%
2023-03-27,16249823999,-0.44%
2023-03-24,16322040000,2.81%
2023-03-23,15875279999,0.19%
2023-03-22,15844679999,-3.08%
2023-03-21,16348968000,-1.70%
2023-03-20,16631712000,1.30%
2023-03-17,16418735999,-1.14%
2023-03-16,16608456000,-1.86%
2023-03-15,16923023999,-0.27%
2023-03-14,16969535999,-0.26%
2023-03-13,17013600000,3.72%
2023-03-10,16402823999,-2.67%
2023-03-09,16853256000,-2.48%
2023-03-08,17281656000,0.49%
2023-03-07,17197200000,-3.60%
2023-03-06,17839800000,-0.03%
2023-03-03,17845920000,2.82%
2023-03-02,17356320000,2.04%
2023-03-01,17009928000,-2.91%
2023-02-28,17520336000,-1.41%
2023-02-27,17771256000,-0.93%
2023-02-24,17937720000,-0.84%
2023-02-23,18089496000,-3.91%
2023-02-22,18825120000,-1.22%
2023-02-21,19057680000,-1.49%
2023-02-17,19345320000,0.11%
2023-02-16,19324512000,-0.56%
2023-02-15,19433448000,-0.09%
2023-02-14,19451808000,0.64%
2023-02-13,19328184000,-0.11%
2023-02-10,19350216000,0.04%
2023-02-09,19342872000,-1.23%
2023-02-08,19584000000,-0.37%
2023-02-07,19656216000,0.60%
2023-02-06,19538712000,-0.45%
2023-02-03,19626840000,-1.63%
2023-02-02,19952424000,3.18%
2023-02-01,19337976000,0.72%
2023-01-31,19199664000,6.24%
2023-01-30,18071136000,-1.67%
2023-01-27,18378360000,0.77%
2023-01-26,18237600000,0.59%
2023-01-25,18129888000,-1.38%
