Date,Market Cap,% Change
2023-04-25,1445839740,-4.57%
2023-04-24,1515081780,0.22%
2023-04-21,1511784540,-1.50%
2023-04-20,1534865220,-2.21%
2023-04-19,1569486240,-0.42%
2023-04-18,1576080720,-0.83%
2023-04-17,1589269680,1.58%
2023-04-14,1564540380,-2.06%
2023-04-13,1597512780,2.54%
2023-04-12,1557945900,-2.28%
2023-04-11,1594215540,-0.21%
2023-04-10,1597512780,-0.41%
2023-04-06,1604107260,1.67%
2023-04-05,1577729340,-1.95%
2023-04-04,1609053120,-1.51%
2023-04-03,1633782420,-0.50%
2023-03-31,1642025520,3.32%
2023-03-30,1589269680,0.84%
2023-03-29,1576080720,5.05%
2023-03-28,1500244200,-2.47%
2023-03-27,1538162460,2.08%
2023-03-24,1506838680,1.44%
2023-03-23,1485406620,-0.33%
2023-03-22,1490352479,-5.24%
2023-03-21,1572783479,-1.65%
2023-03-20,1599161400,1.15%
2023-03-17,1581026580,-6.16%
2023-03-16,1684889640,0.10%
2023-03-15,1683241020,-1.16%
2023-03-14,1703024460,2.99%
2023-03-13,1653565860,-2.72%
2023-03-10,1699727220,-2.18%
2023-03-09,1737645479,-6.39%
2023-03-08,1856346120,-0.44%
2023-03-07,1864589220,0.35%
2023-03-06,1857994740,-0.09%
2023-03-03,1859643360,2.92%
2023-03-02,1806887520,1.48%
2023-03-01,1780509600,-1.64%
2023-02-28,1810184760,-0.27%
2023-02-27,1815130620,3.38%
2023-02-24,1755780300,
2023-02-23,1755780300,1.53%
2023-02-22,1729402380,0.19%
2023-02-21,1726105140,-1.32%
2023-02-17,1749185820,0.86%
2023-02-16,1734348240,22.04%
2023-02-15,1421110439,1.06%
2023-02-14,1406272860,0.12%
2023-02-13,1404624240,2.53%
2023-02-10,1370003220,-2.24%
2023-02-09,1401327000,-0.12%
2023-02-08,1402975620,-1.96%
2023-02-07,1431002160,1.05%
2023-02-06,1416164580,-2.28%
2023-02-03,1449136979,-0.34%
2023-02-02,1454082840,0.23%
2023-02-01,1450785600,-1.23%
2023-01-31,1468920420,3.48%
2023-01-30,1419461820,-0.58%
2023-01-27,1427704920,1.17%
2023-01-26,1411218720,1.54%
2023-01-25,1389786660,2.06%
2023-01-24,1361760120,-0.24%
2023-01-23,1365057360,1.97%
2023-01-20,1338679439,0.62%
2023-01-19,1330436340,-1.10%
2023-01-18,1345273920,-1.57%
