Date,Market Cap,% Change
2023-04-25,307991615,1.31%
2023-04-24,304017530,-4.43%
2023-04-21,318099615,-1.92%
2023-04-20,324319922,1.40%
2023-04-19,319827478,-0.86%
2023-04-18,322592059,-2.58%
2023-04-17,331144982,-0.75%
2023-04-14,333650383,0.05%
2023-04-13,333477597,-1.23%
2023-04-12,337624469,-0.48%
2023-04-11,339265939,-0.96%
2023-04-10,342548879,4.89%
2023-04-06,326566144,-2.07%
2023-04-05,333477597,0.36%
2023-04-04,332268093,-2.14%
2023-04-03,339525118,-7.29%
2023-03-31,366220605,1.87%
2023-03-30,359481938,1.44%
2023-03-29,354384742,-0.56%
2023-03-28,356371785,-1.57%
2023-03-27,362073733,-0.80%
2023-03-24,365011101,0.09%
2023-03-23,364665528,-0.80%
2023-03-22,367602895,-3.36%
2023-03-21,380389083,-2.59%
2023-03-20,390497083,3.39%
2023-03-17,377710895,-2.41%
2023-03-16,387041356,4.50%
2023-03-15,370367476,0.56%
2023-03-14,368294041,2.90%
2023-03-13,357926861,-3.72%
2023-03-10,371749767,-0.60%
2023-03-09,373995989,-2.63%
2023-03-08,384103989,1.34%
2023-03-07,379006792,-0.57%
2023-03-06,381166621,1.12%
2023-03-03,376933357,0.90%
2023-03-02,373564023,-0.55%
2023-03-01,375637459,-0.30%
2023-02-28,376760570,-0.95%
2023-02-27,380389083,-1.34%
2023-02-24,385572673,-0.33%
2023-02-23,386868570,-0.07%
2023-02-22,387127749,0.02%
2023-02-21,387041356,-1.26%
2023-02-17,391965766,0.80%
2023-02-16,388855613,-0.73%
2023-02-15,391706587,-0.64%
2023-02-14,394211989,-0.54%
2023-02-13,396371818,-0.93%
2023-02-10,400086723,0.28%
2023-02-09,398963612,1.49%
2023-02-08,393088878,
2023-02-07,393088878,1.63%
2023-02-06,386782177,-0.75%
2023-02-03,389719544,-0.53%
2023-02-02,391792980,-1.03%
2023-02-01,395853459,0.70%
2023-01-31,393088878,2.13%
2023-01-30,384881527,-2.41%
2023-01-27,394384775,-0.61%
2023-01-26,396803783,1.10%
2023-01-25,392484125,0.46%
2023-01-24,390669869,0.51%
2023-01-23,388682826,-0.55%
2023-01-20,390842655,0.42%
2023-01-19,389201185,-0.04%
2023-01-18,389373972,-3.39%
2023-01-17,403024091,-0.62%
2023-01-13,405529493,-0.28%
2023-01-12,406652604,1.12%
2023-01-11,402160159,-1.56%
2023-01-10,408553253,4.44%
2023-01-09,391188228,-0.72%
2023-01-06,394039202,1.76%
2023-01-05,387214143,-1.15%
2023-01-04,391706587,3.49%
2023-01-03,378488433,-0.84%
2022-12-30,381684980,0.68%
2022-12-29,379093186,-0.41%
2022-12-28,380648262,-0.59%
2022-12-27,382894485,1.72%
2022-12-23,376414998,3.17%
2022-12-22,364838314,-1.72%
2022-12-21,371231408,3.19%
2022-12-20,359741118,1.02%
2022-12-19,356112605,-2.14%
2022-12-16,363887989,-6.19%
2022-12-15,387905288,-1.32%
2022-12-14,393088878,-0.48%
2022-12-13,394989527,1.13%
2022-12-12,390583476,0.76%
2022-12-09,387646108,1.98%
2022-12-08,380129904,2.52%
2022-12-07,370799442,-1.31%
2022-12-06,375723852,0.49%
2022-12-05,373909596,1.41%
2022-12-02,368726006,1.59%
2022-12-01,362937665,-0.80%
2022-11-30,365875032,2.05%
2022-11-29,358531614,
2022-11-28,358531614,0.16%
2022-11-25,357952779,0.44%
2022-11-23,356371785,-0.70%
2022-11-22,358877186,2.57%
2022-11-21,349892298,-1.20%
2022-11-18,354125562,1.94%
2022-11-17,347386896,0.22%
2022-11-16,346609357,-1.16%
2022-11-15,350669836,2.19%
2022-11-14,343153631,-3.36%
2022-11-11,355075887,-1.44%
2022-11-10,360259477,3.45%
2022-11-09,348250827,-1.23%
2022-11-08,352570485,0.47%
2022-11-07,350929015,-0.12%
2022-11-04,351360981,1.65%
2022-11-03,345659033,-1.48%
2022-11-02,350842622,1.42%
2022-11-01,345918212,-2.56%
2022-10-31,354989494,-0.29%
2022-10-28,356026212,1.48%
2022-10-27,350842622,-2.50%
2022-10-26,359827511,2.03%
2022-10-25,352656879,0.39%
2022-10-24,351274588,-0.22%
2022-10-21,352052127,1.52%
2022-10-20,346782144,-1.38%
2022-10-19,351620161,-0.39%
2022-10-18,353002451,0.27%
2022-10-17,352052127,0.62%
2022-10-14,349892298,-0.20%
2022-10-13,350583443,-0.05%
2022-10-12,350756229,2.16%
2022-10-11,343326417,
2022-10-10,343326417,1.48%
2022-10-07,338315614,-2.85%
2022-10-06,348250827,-3.98%
2022-10-05,362678485,-5.22%
2022-10-04,382635305,3.51%
2022-10-03,369676331,6.05%
2022-09-30,348596400,1.64%
2022-09-29,342980845,-0.50%
2022-09-28,344708708,1.14%
2022-09-27,340821016,1.26%
2022-09-26,336587751,-1.12%
2022-09-23,340389050,-5.79%
2022-09-22,361296195,-2.15%
2022-09-21,369244365,-2.80%
2022-09-20,379870724,3.80%
2022-09-19,365961425,7.19%
2022-09-16,341425768,-0.73%
2022-09-15,343931169,2.08%
2022-09-14,336933324,-1.02%
2022-09-13,340389050,-2.23%
2022-09-12,348164434,2.03%
2022-09-09,341252982,-2.16%
2022-09-08,348769186,-0.54%
2022-09-07,350669836,-2.24%
2022-09-06,358704400,-1.24%
2022-09-02,363196844,-1.20%
2022-09-01,367602895,-1.05%
2022-08-31,371490588,-0.81%
2022-08-30,374514348,-0.72%
2022-08-29,377214134,0.91%
2022-08-26,373823203,-0.98%
2022-08-25,377538109,-0.57%
2022-08-24,379697938,0.55%
2022-08-23,377624502,-0.18%
2022-08-22,378315647,-0.48%
2022-08-19,380129904,-1.52%
2022-08-18,386004638,0.74%
2022-08-17,383153664,0.82%
2022-08-16,380043510,0.14%
2022-08-15,379525151,-0.16%
2022-08-12,380129904,0.92%
2022-08-11,376674177,-4.07%
2022-08-10,392656912,5.04%
2022-08-09,373823203,-0.30%
2022-08-08,374946314,0.02%
2022-08-05,374859921,-0.41%
2022-08-04,376414998,0.88%
2022-08-03,373132058,0.44%
2022-08-02,371490588,-0.49%
2022-08-01,373304844,-0.09%
2022-07-29,373650417,-1.70%
2022-07-28,380129904,4.69%
2022-07-27,363110451,-2.82%
2022-07-26,373650417,
2022-07-25,373650417,-0.57%
2022-07-22,375810246,-3.78%
2022-07-21,390583476,6.38%
2022-07-20,367170930,
2022-07-19,367170930,1.46%
2022-07-18,361900947,-0.38%
2022-07-15,363283237,2.39%
2022-07-14,354816708,-1.96%
2022-07-13,361900947,2.45%
2022-07-12,353261631,0.69%
2022-07-11,350842622,2.78%
2022-07-08,341339375,-0.73%
2022-07-07,343844776,1.40%
2022-07-06,339093153,-1.46%
2022-07-05,344103956,-0.13%
2022-07-01,344535922,0.23%
2022-06-30,343758383,-1.73%
2022-06-29,349805904,1.35%
2022-06-28,345140674,-0.99%
2022-06-27,348596400,0.98%
2022-06-24,345227067,-4.74%
2022-06-23,362419306,2.42%
2022-06-22,353866383,-5.19%
2022-06-21,373218451,4.35%
2022-06-17,357667682,5.10%
2022-06-16,340302657,0.82%
2022-06-15,337538076,3.72%
2022-06-14,325443033,-2.03%
2022-06-13,332181700,-4.47%
2022-06-10,347732469,-5.00%
2022-06-09,366047818,-1.51%
2022-06-08,371663374,-4.89%
2022-06-07,390756262,-3.56%
2022-06-06,405183920,
2022-06-03,405183920,-0.21%
2022-06-02,406047852,0.66%
2022-06-01,403369664,2.62%
2022-05-31,393088878,0.22%
2022-05-27,392224946,0.96%
2022-05-26,388478075,1.60%
2022-05-25,382376126,-3.47%
2022-05-24,396112638,-1.76%
2022-05-23,403200333,2.41%
2022-05-20,393693630,0.86%
2022-05-19,390324296,-0.37%
2022-05-18,391792980,4.57%
2022-05-17,374687134,2.22%
2022-05-16,366566177,0.64%
2022-05-13,364233562,0.43%
2022-05-12,362678485,2.14%
2022-05-11,355075887,0.51%
2022-05-10,353261631,-1.14%
2022-05-09,357322109,-3.45%
2022-05-06,370108297,-1.49%
2022-05-05,375723852,-0.98%
2022-05-04,379438758,-2.91%
2022-05-03,390799459,9.61%
2022-05-02,356544571,1.83%
2022-04-29,350151477,-1.21%
2022-04-28,354427938,3.60%
2022-04-27,342116913,2.48%
2022-04-26,333823170,-2.77%
2022-04-25,343326417,0.40%
2022-04-22,341944127,2.67%
2022-04-21,333045631,-1.98%
2022-04-20,339784298,0.10%
2022-04-19,339438725,1.29%
2022-04-18,335119067,1.41%
2022-04-14,330453837,0.55%
2022-04-13,328639580,-0.17%
2022-04-12,329201136,-0.14%
2022-04-11,329676298,-1.60%
2022-04-08,335032674,1.86%
2022-04-07,328898760,-0.73%
2022-04-06,331317768,-3.21%
2022-04-05,342289699,0.94%
2022-04-04,339093153,-0.63%
2022-04-01,341252982,1.20%
2022-03-31,337192503,-0.91%
2022-03-30,340302648,
2022-03-29,340302657,1.76%
2022-03-28,334427922,2.54%
2022-03-25,326134179,-4.24%
2022-03-24,340561819,
2022-03-23,340561836,1.44%
2022-03-22,335723828,
2022-03-21,335723819,-1.25%
