Date,Market Cap,% Change
2023-04-25,11364300,-7.58%
2023-04-24,12295800,-2.94%
2023-04-21,12668400,-0.58%
2023-04-20,12742920,-10.00%
2023-04-19,14158800,2.70%
2023-04-18,13786200,-5.10%
2023-04-17,14527674,-0.03%
2023-04-14,14531400,-1.27%
2023-04-13,14717700,-1.25%
2023-04-12,14904000,-5.88%
2023-04-11,15835500,-2.21%
2023-04-10,16193196,-4.61%
2023-04-06,16975656,1.24%
2023-04-05,16767000,-2.17%
2023-04-04,17139600,2.31%
2023-04-03,16752096,-6.33%
2023-03-31,17884800,-0.02%
2023-03-30,17888526,0.02%
2023-03-29,17884800,2.13%
2023-03-28,17512200,-17.54%
2023-03-27,21238200,1.79%
2023-03-24,20865600,
2023-03-23,20865600,-1.94%
2023-03-22,21279223,-9.42%
2023-03-21,23492429,-3.00%
2023-03-20,24219000,-7.14%
2023-03-17,26082000,
2023-03-16,26082000,4.48%
2023-03-15,24964200,-2.86%
2023-03-14,25698222,-0.91%
2023-03-13,25932960,-7.34%
2023-03-10,27985986,-3.71%
2023-03-09,29062800,
2023-03-08,29062800,-2.80%
2023-03-07,29901150,2.88%
2023-03-06,29062800,-3.72%
2023-03-03,30184326,3.87%
2023-03-02,29059036,-4.42%
2023-03-01,30404159,-5.12%
2023-02-28,32043600,-3.32%
2023-02-27,33142770,3.05%
2023-02-24,32162832,-9.12%
2023-02-23,35389548,7.93%
2023-02-22,32788800,2.33%
2023-02-21,32043600,-5.47%
2023-02-17,33899148,3.46%
2023-02-16,32766481,-2.56%
2023-02-15,33627150,
2023-02-14,33627150,2.30%
2023-02-13,32870772,0.26%
2023-02-10,32785036,2.12%
2023-02-09,32103216,-0.67%
2023-02-08,32319323,-6.31%
2023-02-07,34495308,1.81%
2023-02-06,33882381,-5.27%
2023-02-03,35765874,-1.00%
2023-02-02,36127296,4.26%
2023-02-01,34651800,8.05%
2023-01-31,32071582,0.09%
2023-01-30,32043600,-2.25%
2023-01-27,32781348,-0.01%
2023-01-26,32785074,
2023-01-25,32785074,1.91%
2023-01-24,32170283,-1.88%
2023-01-23,32785074,0.00%
2023-01-20,32785036,12.81%
2023-01-19,29062800,2.63%
2023-01-18,28317600,-4.99%
2023-01-17,29804274,6.65%
2023-01-13,27945000,4.18%
2023-01-12,26823474,-1.42%
2023-01-11,27210977,3.56%
2023-01-10,26275752,-2.73%
2023-01-09,27013500,1.27%
2023-01-06,26674396,2.27%
2023-01-05,26082000,-4.76%
2023-01-04,27386100,6.51%
2023-01-03,25713126,-6.73%
2022-12-30,27568674,10.86%
2022-12-29,24867324,-1.85%
2022-12-28,25336800,-2.82%
2022-12-27,26070822,-0.04%
2022-12-23,26082000,-1.39%
2022-12-22,26450874,1.07%
2022-12-21,26171424,0.40%
2022-12-20,26067096,-0.03%
2022-12-19,26074548,-4.14%
2022-12-16,27199800,1.69%
2022-12-15,26748954,-2.99%
2022-12-14,27572400,4.23%
2022-12-13,26454600,-5.33%
2022-12-12,27945000,-7.34%
2022-12-09,30160107,-2.45%
2022-12-08,30918310,-2.25%
2022-12-07,31629976,13.34%
2022-12-06,27907740,-1.43%
2022-12-05,28313874,-9.52%
2022-12-02,31294674,32.54%
2022-12-01,23611662,30.66%
2022-11-30,18071100,-1.72%
2022-11-29,18387810,-1.28%
2022-11-28,18626274,5.93%
2022-11-25,17583888,-0.65%
2022-11-23,17698500,-0.04%
2022-11-22,17705952,1.11%
2022-11-21,17512237,-1.05%
2022-11-18,17698462,6.74%
2022-11-17,16580700,-19.09%
2022-11-16,20493000,-6.38%
2022-11-15,21890250,-16.07%
2022-11-14,26082000,-0.62%
2022-11-11,26245944,-4.81%
2022-11-10,27572400,4.96%
2022-11-09,26268300,-0.70%
2022-11-08,26454600,-1.69%
2022-11-07,26909172,-4.97%
