Date,Market Cap,% Change
2023-04-25,4609159432,-1.29%
2023-04-24,4669557917,-1.36%
2023-04-21,4733731308,0.80%
2023-04-20,4695982255,-0.42%
2023-04-19,4715611763,0.77%
2023-04-18,4679372671,-1.21%
2023-04-17,4736751233,0.61%
2023-04-14,4708061952,-1.16%
2023-04-13,4763175570,0.17%
2023-04-12,4754870778,-0.49%
2023-04-11,4778275192,-0.27%
2023-04-10,4791109870,-0.50%
2023-04-06,4815269264,0.25%
2023-04-05,4803189567,-0.38%
2023-04-04,4821309113,-0.30%
2023-04-03,4835653753,-0.85%
2023-03-31,4877177712,2.13%
2023-03-30,4775255267,0.35%
2023-03-29,4758645684,1.33%
2023-03-28,4695982255,0.08%
2023-03-27,4692207350,0.60%
2023-03-24,4664273050,3.69%
2023-03-23,4498177215,-0.08%
2023-03-22,4501952120,-3.34%
2023-03-21,4657478220,-0.31%
2023-03-20,4671822861,1.83%
2023-03-17,4588019962,-1.67%
2023-03-16,4665783012,-0.88%
2023-03-15,4707306971,-0.16%
2023-03-14,4714856782,2.73%
2023-03-13,4589529924,1.27%
2023-03-10,4532151363,-2.68%
2023-03-09,4656723239,-2.19%
2023-03-08,4760910627,0.56%
2023-03-07,4734486289,-1.75%
2023-03-06,4819044169,-0.08%
2023-03-03,4822819075,1.56%
2023-03-02,4748830930,2.04%
2023-03-01,4653703315,-0.92%
2023-02-28,4696737236,-1.33%
2023-02-27,4760155646,-0.06%
2023-02-24,4763175570,-1.84%
2023-02-23,4852263336,1.36%
2023-02-22,4787334964,-0.02%
2023-02-21,4788089945,-0.95%
2023-02-17,4834143791,0.55%
2023-02-16,4807719453,-1.13%
2023-02-15,4862833071,0.23%
2023-02-14,4851508355,0.37%
2023-02-13,4833388810,1.11%
2023-02-10,4780540135,-2.76%
2023-02-09,4916436727,0.09%
2023-02-08,4911906841,0.12%
2023-02-07,4905866992,-0.64%
2023-02-06,4937576197,0.18%
2023-02-03,4928516424,-1.06%
2023-02-02,4981365099,1.70%
2023-02-01,4898317182,0.70%
2023-01-31,4864343034,1.90%
2023-01-30,4773745305,-1.57%
2023-01-27,4849998393,1.02%
2023-01-26,4800924624,1.68%
2023-01-25,4721651611,-1.45%
2023-01-24,4791109870,-0.53%
2023-01-23,4816779226,1.38%
2023-01-20,4751095873,-0.29%
2023-01-19,4764685532,0.67%
2023-01-18,4732976327,-0.05%
2023-01-17,4735241271,-0.02%
2023-01-13,4735996252,0.59%
2023-01-12,4708061952,2.18%
