Date,Market Cap,% Change
2023-04-25,691510656,-0.92%
2023-04-24,697947055,-1.03%
2023-04-21,705188004,0.17%
2023-04-20,703981180,-0.23%
2023-04-19,705590279,0.75%
2023-04-18,700360705,-0.74%
2023-04-17,705590279,1.98%
2023-04-14,691912931,-0.92%
2023-04-13,698349330,0.70%
2023-04-12,693522031,-0.58%
2023-04-11,697544780,-0.12%
2023-04-10,698349330,0.35%
2023-04-06,695935680,0.87%
2023-04-05,689901556,-0.87%
2023-04-04,695935680,-0.57%
2023-04-03,699958430,-0.97%
2023-03-31,706797104,0.40%
2023-03-30,703981180,0.57%
2023-03-29,699958430,1.46%
2023-03-28,689901556,0.18%
2023-03-27,688694731,-0.35%
2023-03-24,691108381,3.18%
2023-03-23,669787808,-0.72%
2023-03-22,674615107,-3.51%
2023-03-21,699153880,-0.23%
2023-03-20,700762980,1.75%
2023-03-17,688694731,-3.44%
2023-03-16,713233504,0.28%
2023-03-15,711222129,-0.28%
2023-03-14,713233504,2.13%
2023-03-13,698349330,5.60%
2023-03-10,661340034,-1.85%
2023-03-09,673810558,-1.47%
2023-03-08,683867432,0.29%
2023-03-07,681856057,-2.02%
2023-03-06,695935680,-0.40%
2023-03-03,698751605,0.58%
2023-03-02,694728855,-0.23%
2023-03-01,696337955,0.06%
2023-02-28,695935680,-0.40%
2023-02-27,698751605,-0.97%
2023-02-24,705590279,-0.85%
2023-02-23,711624404,0.45%
2023-02-22,708406204,-0.51%
2023-02-21,712026679,-2.53%
2023-02-17,730531327,0.17%
2023-02-16,729324502,-0.44%
2023-02-15,732542702,0.72%
2023-02-14,727313127,-0.66%
2023-02-13,732140427,0.39%
2023-02-10,729324502,1.00%
2023-02-09,722083553,-1.05%
2023-02-08,729726777,-2.89%
2023-02-07,751449625,-0.69%
2023-02-06,756679199,-0.58%
2023-02-03,761104224,-0.63%
2023-02-02,765931523,1.01%
2023-02-01,758288299,0.37%
2023-01-31,755472374,0.86%
2023-01-30,749035975,-0.90%
2023-01-27,755874649,0.54%
2023-01-26,751851900,0.54%
2023-01-25,747829150,-0.32%
2023-01-24,750242800,0.81%
2023-01-23,744208676,0.27%
2023-01-20,742197301,-0.05%
2023-01-19,742599576,-0.27%
2023-01-18,744610950,-0.05%
2023-01-17,745013225,-0.16%
2023-01-13,746220050,-1.17%
2023-01-12,755070099,3.30%
2023-01-11,730933602,2.08%
2023-01-10,716049428,-2.84%
2023-01-09,736967726,-1.98%
2023-01-06,751851900,0.97%
2023-01-05,744610950,-3.34%
2023-01-04,770356548,0.95%
2023-01-03,763115599,0.11%
2022-12-30,762311049,-0.11%
2022-12-29,763115599,1.83%
2022-12-28,749438250,-1.38%
2022-12-27,759897399,-0.47%
2022-12-23,763517874,1.28%
2022-12-22,753863275,-0.95%
2022-12-21,761104224,1.07%
2022-12-20,753058725,0.43%
2022-12-19,749840525,1.14%
2022-12-16,741392751,-0.43%
2022-12-15,744610950,-0.48%
2022-12-14,748231425,0.05%
2022-12-13,747829150,1.14%
2022-12-12,739381376,-0.33%
2022-12-09,741795026,-0.22%
2022-12-08,743404126,0.11%
2022-12-07,742599576,-0.27%
2022-12-06,744610950,-0.05%
2022-12-05,745013225,-2.47%
2022-12-02,763920149,-0.11%
2022-12-01,764724698,-0.63%
2022-11-30,769551998,2.14%
2022-11-29,753461000,0.64%
2022-11-28,748633700,-2.46%
2022-11-25,767540623,0.63%
2022-11-23,762713324,-0.52%
2022-11-22,766736073,0.16%
2022-11-21,765529248,0.16%
2022-11-18,764322424,1.17%
2022-11-17,755472374,1.19%
2022-11-16,746622325,-1.33%
2022-11-15,756679199,1.35%
2022-11-14,746622325,-1.38%
2022-11-11,757081474,
2022-11-10,757081474,3.46%
2022-11-09,731738152,-1.14%
2022-11-08,740185926,-1.60%
2022-11-07,752254175,-0.48%
2022-11-04,755874649,1.95%
2022-11-03,741392751,-0.59%
2022-11-02,745817775,-1.54%
2022-11-01,757483749,0.48%
2022-10-31,753863275,-0.21%
2022-10-28,755472374,0.91%
2022-10-27,748633700,1.09%
2022-10-26,740588201,-0.54%
2022-10-25,744610950,0.49%
2022-10-24,740990476,0.71%
2022-10-21,735760901,5.05%
