Date,Market Cap,% Change
2023-04-25,619503438,0.77%
2023-04-24,614764639,-0.44%
2023-04-21,617492063,0.52%
2023-04-20,614273863,-2.18%
2023-04-19,627971326,-0.06%
2023-04-18,628353487,0.00%
2023-04-17,628365555,0.10%
2023-04-14,627750075,-0.10%
2023-04-13,628353487,-1.08%
2023-04-12,635192161,1.87%
2023-04-11,623526188,0.00%
2023-04-10,623530210,-2.15%
2023-04-06,637203536,0.84%
2023-04-05,631905575,0.82%
2023-04-04,626752433,-2.62%
2023-04-03,643639936,1.07%
2023-03-31,636837466,-0.06%
2023-03-30,637203536,0.44%
2023-03-29,634387611,-0.01%
2023-03-28,634427839,-2.35%
2023-03-27,649674060,3.93%
2023-03-24,625135287,2.51%
2023-03-23,609848839,-1.04%
2023-03-22,616285238,-1.29%
2023-03-21,624330737,-0.06%
2023-03-20,624733012,-1.40%
2023-03-17,633583062,-2.96%
2023-03-16,652892260,3.77%
2023-03-15,629158037,-0.06%
2023-03-14,629560312,1.62%
2023-03-13,619503438,-2.28%
2023-03-10,633985336,-0.25%
2023-03-09,635594436,-0.74%
2023-03-08,640305076,-1.14%
2023-03-07,647662685,-0.49%
2023-03-06,650880885,0.78%
2023-03-03,645852448,2.34%
2023-03-02,631109070,-3.51%
2023-03-01,654099084,0.37%
2023-02-28,651685435,-1.09%
2023-02-27,658870065,-0.62%
2023-02-24,662949134,
2023-02-23,662949134,-0.60%
2023-02-22,666971883,1.16%
2023-02-21,659292454,0.18%
2023-02-17,658121834,-1.21%
2023-02-16,666167333,0.36%
2023-02-15,663753684,
2023-02-14,663753684,-0.78%
2023-02-13,668983218,-0.02%
2023-02-10,669128077,0.41%
2023-02-09,666416744,1.01%
2023-02-08,659730934,-1.20%
2023-02-07,667776433,
2023-02-06,667776433,-0.30%
2023-02-03,669787808,-2.00%
2023-02-02,683465157,0.59%
2023-02-01,679442407,0.84%
2023-01-31,673810558,0.69%
2023-01-30,669184395,-1.25%
2023-01-27,677632170,-0.85%
2023-01-26,683465157,1.57%
2023-01-25,672869234,1.07%
2023-01-24,665765058,-1.05%
2023-01-23,672804870,0.45%
2023-01-20,669787808,-0.57%
2023-01-19,673609420,-1.73%
2023-01-18,685476531,-0.87%
2023-01-17,691514678,-4.50%
2023-01-13,724094928,0.28%
2023-01-12,722083553,-0.77%
2023-01-11,727715402,0.50%
2023-01-10,724094928,-2.26%
2023-01-09,740813475,2.35%
2023-01-06,723825403,4.01%
2023-01-05,695935680,-5.41%
2023-01-04,735760901,
2023-01-03,735760901,0.44%
