Date,Market Cap,% Change
2023-04-25,13143477060,-0.73%
2023-04-24,13239978359,-0.89%
2023-04-21,13358996630,-0.24%
2023-04-20,13391163730,
2023-04-19,13391163730,1.04%
2023-04-18,13252845200,-0.17%
2023-04-17,13275362170,2.61%
2023-04-14,12937607620,0.05%
2023-04-13,12931174200,-0.52%
2023-04-12,12998725109,-0.83%
2023-04-11,13108093250,0.15%
2023-04-10,13088792990,0.02%
2023-04-06,13085576280,0.30%
2023-04-05,13046975760,-0.54%
2023-04-04,13117743380,-0.32%
2023-04-03,13159560609,-0.37%
2023-03-31,13207811260,2.96%
2023-03-30,12828239480,1.24%
2023-03-29,12670620690,2.66%
2023-03-28,12342516270,-0.34%
2023-03-27,12384333500,-0.52%
2023-03-24,12448667700,2.27%
2023-03-23,12172030640,-0.89%
2023-03-22,12281398780,-2.68%
2023-03-21,12619153329,-0.43%
2023-03-20,12673837400,1.26%
2023-03-17,12516218609,-2.60%
2023-03-16,12850756450,-1.50%
2023-03-15,13046975760,-0.20%
2023-03-14,13072709440,0.94%
2023-03-13,12950474460,0.85%
2023-03-10,12841106320,-3.22%
2023-03-09,13268928750,-2.00%
2023-03-08,13539132390,0.65%
2023-03-07,13452281220,-2.47%
2023-03-06,13793252480,-0.23%
2023-03-03,13825419579,2.07%
2023-03-02,13545565810,1.10%
2023-03-01,13397597150,-2.78%
2023-02-28,13780385640,-0.51%
2023-02-27,13851153260,-1.31%
2023-02-24,14034505730,-1.29%
2023-02-23,14217858200,0.27%
2023-02-22,14179257680,0.52%
2023-02-21,14105273350,-2.01%
2023-02-17,14394777250,-0.49%
2023-02-16,14465544870,-0.11%
2023-02-15,14481628420,0.83%
2023-02-14,14362610150,0.43%
2023-02-13,14301492660,0.84%
2023-02-10,14182474390,0.39%
2023-02-09,14127790320,-1.88%
2023-02-08,14397993960,2.03%
2023-02-07,14111706770,2.76%
2023-02-06,13732134990,-1.59%
2023-02-03,13954087980,-2.32%
2023-02-02,14285409109,3.69%
2023-02-01,13777168930,0.56%
2023-01-31,13699967890,2.97%
2023-01-30,13304312560,-1.45%
2023-01-27,13500531870,2.29%
2023-01-26,13198161130,1.06%
2023-01-25,13059842600,-0.07%
2023-01-24,13069492730,1.75%
2023-01-23,12844323030,-0.13%
2023-01-20,12860406579,0.93%
2023-01-19,12741388310,-0.97%
2023-01-18,12866840000,-1.16%
2023-01-17,13018025370,0.80%
2023-01-13,12915090650,-0.77%
2023-01-12,13014808660,0.47%
2023-01-11,12953691170,4.35%
2023-01-10,12413283890,0.31%
2023-01-09,12374683370,-0.59%
2023-01-06,12448667700,2.84%
2023-01-05,12104479730,-4.13%
2023-01-04,12625586750,1.71%
2023-01-03,12413283890,-0.36%
2022-12-30,12458317829,-0.46%
