Date,Market Cap,% Change
2023-04-25,1687723080,-1.10%
2023-04-24,1706501640,-1.29%
2023-04-21,1728801180,-0.07%
2023-04-20,1729974840,-0.14%
2023-04-19,1732322160,2.07%
2023-04-18,1697112360,0.21%
2023-04-17,1693591380,1.62%
2023-04-14,1666597200,-1.46%
2023-04-13,1691244060,
2023-04-12,1691244060,-1.57%
2023-04-11,1718238240,-0.27%
2023-04-10,1722932880,-0.41%
2023-04-06,1729974840,1.17%
2023-04-05,1710022620,-0.48%
2023-04-04,1718238240,-1.35%
2023-04-03,1741711440,-1.46%
2023-03-31,1767531960,4.29%
2023-03-30,1694765040,0.28%
2023-03-29,1690070400,1.34%
2023-03-28,1667770860,0.64%
2023-03-27,1657207920,-0.49%
2023-03-24,1665423540,3.65%
2023-03-23,1606740540,0.81%
2023-03-22,1593830280,-4.70%
2023-03-21,1672465500,2.52%
2023-03-20,1631387400,3.42%
2023-03-17,1577399040,-2.54%
2023-03-16,1618477140,-2.27%
2023-03-15,1656034260,-0.07%
2023-03-14,1657207920,0.50%
2023-03-13,1648992300,0.50%
2023-03-10,1640776680,-3.79%
2023-03-09,1705327980,-2.22%
2023-03-08,1744058760,0.07%
2023-03-07,1742885100,-3.07%
2023-03-06,1798047120,-0.91%
2023-03-03,1814478360,1.05%
2023-03-02,1795699800,-0.46%
2023-03-01,1803915420,-0.19%
2023-02-28,1807436400,-0.52%
2023-02-27,1816825680,-0.06%
2023-02-24,1817999340,-0.06%
2023-02-23,1819173000,1.37%
2023-02-22,1794526140,-0.13%
2023-02-21,1796873460,-3.22%
2023-02-17,1856730120,-0.50%
2023-02-16,1866119400,-0.19%
2023-02-15,1869640380,-0.06%
2023-02-14,1870814040,0.38%
2023-02-13,1863772080,1.60%
2023-02-10,1834430580,0.77%
2023-02-09,1820346660,-3.12%
2023-02-08,1879029660,-0.44%
2023-02-07,1887245279,0.82%
2023-02-06,1871987700,-0.87%
2023-02-03,1888418940,-1.35%
2023-02-02,1914239459,2.07%
2023-02-01,1875508680,1.46%
2023-01-31,1848514500,1.55%
2023-01-30,1820346660,-1.84%
2023-01-27,1854382800,1.48%
2023-01-26,1827388620,1.10%
2023-01-25,1807436400,-0.71%
2023-01-24,1820346660,-0.51%
2023-01-23,1829735940,1.96%
2023-01-20,1794526140,1.12%
2023-01-19,1774573920,-0.53%
2023-01-18,1783963200,-2.69%
2023-01-17,1833256920,0.77%
2023-01-13,1819173000,0.32%
2023-01-12,1813304700,3.07%
2023-01-11,1759316340,5.79%
2023-01-10,1663076220,-1.67%
2023-01-09,1691244060,-1.64%
2023-01-06,1719411900,2.73%
2023-01-05,1673639160,-3.12%
2023-01-04,1727627520,3.30%
2023-01-03,1672465500,1.14%
2022-12-30,1653686940,-0.35%
2022-12-29,1659555240,1.65%
2022-12-28,1632561060,-2.32%
2022-12-27,1671291840,0.71%
2022-12-23,1659555240,2.54%
2022-12-22,1618477140,-1.99%
2022-12-21,1651339620,-0.07%
2022-12-20,1652513280,-0.49%
2022-12-19,1660728900,-1.39%
2022-12-16,1684202100,-2.51%
2022-12-15,1727627520,-3.35%
2022-12-14,1787484180,-0.39%
2022-12-13,1794526140,1.33%
2022-12-12,1771052940,-0.13%
2022-12-09,1773400260,0.53%
2022-12-08,1764010980,0.80%
2022-12-07,1749927060,0.61%
2022-12-06,1739364120,-0.27%
2022-12-05,1744058760,-3.19%
2022-12-02,1801568100,-0.78%
2022-12-01,1815652020,-1.65%
2022-11-30,1846167180,0.58%
2022-11-29,1835604240,4.34%
2022-11-28,1759316340,-2.41%
2022-11-25,1802741760,-0.13%
2022-11-23,1805089080,0.07%
2022-11-22,1803915420,2.54%
2022-11-21,1759316340,-0.86%
2022-11-18,1774573920,1.00%
2022-11-17,1756969020,-0.20%
2022-11-16,1760490000,-1.83%
2022-11-15,1793352480,1.80%
2022-11-14,1761663660,-1.05%
2022-11-11,1780442220,0.93%
2022-11-10,1764010980,5.55%
2022-11-09,1671291840,-1.18%
2022-11-08,1691244060,0.49%
2022-11-07,1683028440,-0.49%
2022-11-04,1691244060,4.42%
2022-11-03,1619650800,-0.07%
2022-11-02,1620824460,-2.33%
2022-11-01,1659555240,0.14%
2022-10-31,1657207920,-0.56%
2022-10-28,1666597200,0.92%
2022-10-27,1651339620,0.36%
2022-10-26,1645471320,-0.64%
2022-10-25,1656034260,4.21%
2022-10-24,1589135640,0.82%
2022-10-21,1576225380,2.91%
2022-10-20,1531626300,-2.17%
2022-10-19,1565662440,-3.19%
2022-10-18,1617303480,1.03%
2022-10-17,1600872240,2.17%
2022-10-14,1566836100,-2.13%
2022-10-13,1600872240,2.40%
2022-10-12,1563315120,-0.67%
2022-10-11,1573878060,1.75%
2022-10-10,1546883880,-0.75%
2022-10-07,1558620480,-1.78%
2022-10-06,1586788320,-1.02%
2022-10-05,1603219560,-0.65%
2022-10-04,1613782500,2.77%
2022-10-03,1570357080,0.30%
2022-09-30,1565662440,1.74%
2022-09-29,1538878020,-4.72%
2022-09-28,1615176320,2.46%
2022-09-27,1576440260,0.75%
2022-09-26,1564702060,-4.31%
2022-09-23,1635131260,-1.83%
2022-09-22,1665650580,-3.67%
2022-09-21,1729036860,-1.93%
2022-09-20,1763077640,-3.03%
2022-09-19,1818247180,0.78%
2022-09-16,1804161340,0.59%
2022-09-15,1793596960,-1.36%
2022-09-14,1818247180,-1.90%
2022-09-13,1853461780,-4.88%
2022-09-12,1948541200,1.22%
2022-09-09,1925064799,1.86%
2022-09-08,1889850200,-0.12%
2022-09-07,1892197840,1.90%
2022-09-06,1856983240,0.25%
2022-09-02,1852287960,0.19%
2022-09-01,1848766500,0.13%
2022-08-31,1846418860,-1.13%
2022-08-30,1867547620,-1.36%
2022-08-29,1893371660,-0.86%
2022-08-26,1909805140,-2.28%
2022-08-25,1954410299,2.15%
2022-08-24,1913326600,0.43%
2022-08-23,1905109860,-0.25%
2022-08-22,1909805140,-3.61%
2022-08-19,1981408160,-2.03%
2022-08-18,2022491860,1.06%
2022-08-17,2001363100,-1.62%
2022-08-16,2034230059,1.05%
2022-08-15,2013101299,1.48%
2022-08-12,1983755799,2.11%
2022-08-11,1942672100,0.67%
2022-08-10,1929760080,2.69%
2022-08-09,1879285820,-1.54%
2022-08-08,1908631320,1.94%
2022-08-05,1872242900,-0.06%
2022-08-04,1873416720,1.46%
2022-08-03,1846418860,-0.13%
2022-08-02,1848766500,-3.26%
2022-08-01,1910978960,-0.91%
2022-07-29,1928586260,0.43%
2022-07-28,1920369520,3.09%
2022-07-27,1862852340,1.54%
2022-07-26,1834680660,-1.08%
2022-07-25,1854635600,0.96%
2022-07-22,1837028300,0.32%
2022-07-21,1831159200,-0.06%
2022-07-20,1832333020,1.50%
2022-07-19,1805335160,3.36%
2022-07-18,1746644160,2.34%
2022-07-15,1706734280,1.89%
2022-07-14,1675041140,-1.79%
2022-07-13,1705560460,-2.87%
2022-07-12,1756034720,2.12%
2022-07-11,1719646300,-1.01%
2022-07-08,1737253600,-1.46%
2022-07-07,1763077640,0.81%
2022-07-06,1748991800,-2.93%
2022-07-05,1801813700,-0.39%
2022-07-01,1808856620,1.31%
2022-06-30,1785380220,-1.15%
2022-06-29,1806231960,-1.85%
2022-06-28,1840267520,-0.88%
2022-06-27,1856698480,0.83%
2022-06-24,1841441160,3.70%
2022-06-23,1775717320,1.61%
2022-06-22,1747549960,-0.47%
2022-06-21,1755765440,1.01%
2022-06-17,1738160840,1.93%
2022-06-16,1705298920,-3.46%
2022-06-15,1766328200,0.94%
2022-06-14,1749897240,-3.12%
2022-06-13,1806231960,-7.62%
2022-06-10,1955284240,-2.34%
2022-06-09,2002229839,-3.83%
2022-06-08,2082037359,-2.47%
2022-06-07,2134851160,0.28%
2022-06-06,2128982960,-0.71%
2022-06-03,2144240280,-1.08%
2022-06-02,2167713080,1.09%
2022-06-01,2144240280,-3.08%
2022-05-31,2212311400,0.37%
2022-05-27,2204095920,1.40%
2022-05-26,2173581280,0.38%
2022-05-25,2165365800,1.10%
2022-05-24,2141893000,2.99%
2022-05-23,2079690079,1.32%
2022-05-20,2052696359,-3.74%
2022-05-19,2132503880,-4.01%
2022-05-18,2221700520,-3.07%
2022-05-17,2292118920,3.66%
2022-05-16,2211137760,2.89%
2022-05-13,2148934840,2.81%
2022-05-12,2090252839,2.30%
2022-05-11,2043307240,-1.14%
2022-05-10,2066780040,-2.11%
2022-05-09,2111378359,-4.76%
2022-05-06,2217005960,-0.68%
2022-05-05,2232263280,-1.50%
2022-05-04,2266298840,3.15%
2022-05-03,2197054080,2.30%
2022-05-02,2147761200,-2.09%
2022-04-29,2193533160,-2.86%
2022-04-28,2258083360,1.75%
2022-04-27,2219353240,-0.37%
2022-04-26,2227568720,-0.16%
2022-04-25,2231089640,-1.35%
2022-04-22,2261604280,-1.53%
2022-04-21,2296813480,-0.15%
2022-04-20,2300334400,1.08%
2022-04-19,2275687960,0.83%
2022-04-18,2256909720,0.21%
2022-04-14,2252215160,0.10%
2022-04-13,2249867880,0.84%
2022-04-12,2231089640,1.93%
2022-04-11,2188838600,-0.11%
2022-04-08,2191185880,0.32%
2022-04-07,2184144040,-0.43%
2022-04-06,2193533160,0.65%
2022-04-05,2179449480,-2.57%
2022-04-04,2236957840,-0.78%
2022-04-01,2254562440,0.58%
2022-03-31,2241652400,-1.37%
2022-03-30,2272682100,-0.97%
2022-03-29,2294974800,3.49%
2022-03-28,2217537000,-0.11%
2022-03-25,2219883600,2.10%
2022-03-24,2174124900,-1.12%
2022-03-23,2198764200,-1.63%
2022-03-22,2235136500,0.95%
2022-03-21,2214017100,
2022-03-18,2214017100,1.23%
