Date,Market Cap,% Change
2023-04-25,829275840,-1.47%
2023-04-24,841636320,0.60%
2023-04-21,836579760,0.47%
2023-04-20,832646880,-1.66%
2023-04-19,846692880,1.62%
2023-04-18,833208720,-0.40%
2023-04-17,836579760,2.13%
2023-04-14,819162720,-1.49%
2023-04-13,831523200,-0.80%
2023-04-12,838265280,-1.71%
2023-04-11,852873120,0.20%
2023-04-10,851187600,-0.53%
2023-04-06,855682320,1.87%
2023-04-05,839950800,-0.40%
2023-04-04,843321840,1.15%
2023-04-03,833770560,0.34%
2023-03-31,830961360,1.79%
2023-03-30,816353520,0.55%
2023-03-29,811858800,1.19%
2023-03-28,802307520,-0.42%
2023-03-27,805678560,
2023-03-24,805678560,1.99%
2023-03-23,789947040,0.29%
2023-03-22,787699680,-2.37%
2023-03-21,806802240,1.77%
2023-03-20,792756240,1.51%
2023-03-17,780957600,-2.80%
2023-03-16,803431200,-2.65%
2023-03-15,825342960,-1.61%
2023-03-14,838827120,1.56%
2023-03-13,825904800,-0.68%
2023-03-10,831523200,-4.02%
2023-03-09,866357280,-2.34%
2023-03-08,887145360,0.06%
2023-03-07,886583520,-3.72%
2023-03-06,920855760,-0.97%
2023-03-03,929845200,1.53%
2023-03-02,915799200,3.23%
2023-03-01,887145360,-7.17%
2023-02-28,955689840,-0.29%
2023-02-27,958499039,-0.18%
2023-02-24,960184560,-1.21%
2023-02-23,971983200,0.12%
2023-02-22,970859520,-0.69%
2023-02-21,977601599,-1.47%
2023-02-17,992209440,-0.79%
2023-02-16,1000075200,-1.49%
2023-02-15,1015244880,0.28%
2023-02-14,1012435680,-1.48%
2023-02-13,1027605360,0.66%
2023-02-10,1020863280,0.11%
2023-02-09,1019739599,-1.47%
2023-02-08,1034909280,-0.16%
2023-02-07,1036594800,1.21%
2023-02-06,1024234320,-1.35%
2023-02-03,1038280320,-2.07%
2023-02-02,1060192080,3.00%
2023-02-01,1029290880,2.23%
2023-01-31,1006817280,4.92%
2023-01-30,959622719,-0.76%
2023-01-27,966926640,0.82%
2023-01-26,959060880,1.01%
2023-01-25,949509599,-0.59%
2023-01-24,955128000,1.25%
2023-01-23,943329360,0.36%
2023-01-20,939958320,0.36%
2023-01-19,936587280,-0.83%
2023-01-18,944453039,-1.23%
2023-01-17,956251680,-1.05%
2023-01-13,966364800,-0.41%
2023-01-12,970297680,4.54%
2023-01-11,928159680,0.92%
2023-01-10,919732080,-0.12%
2023-01-09,920855760,-0.49%
2023-01-06,925350479,4.24%
2023-01-05,887707200,-3.72%
2023-01-04,921979440,2.12%
2023-01-03,902876880,3.11%
2022-12-30,875662900,-1.11%
2022-12-29,885452920,2.65%
2022-12-28,862609540,-2.10%
2022-12-27,881101800,-0.12%
2022-12-23,882189579,0.56%
2022-12-22,877294570,0.31%
2022-12-21,874575119,-0.37%
2022-12-20,877838460,0.25%
2022-12-19,875662900,-2.42%
2022-12-16,897418500,-1.49%
2022-12-15,911015750,-2.22%
2022-12-14,931683570,-0.81%
2022-12-13,939298030,1.53%
2022-12-12,925156890,0.18%
2022-12-09,923525220,-0.12%
2022-12-08,924613000,0.06%
2022-12-07,924069109,-0.06%
2022-12-06,924613000,-1.11%
2022-12-05,934946910,-2.05%
2022-12-02,954526950,0.80%
2022-12-01,946912490,-1.14%
2022-11-30,957790290,0.40%
2022-11-29,953983060,0.69%
2022-11-28,947456380,-1.58%
2022-11-25,962685300,0.45%
2022-11-23,958334180,-0.34%
2022-11-22,961597520,0.45%
2022-11-21,957246400,1.03%
2022-11-18,947456380,2.47%
2022-11-17,924613000,-0.41%
2022-11-16,928420230,-1.22%
2022-11-15,939841920,-0.63%
2022-11-14,945824710,-3.66%
2022-11-11,981721450,-1.31%
2022-11-10,994774810,8.87%
