Date,Market Cap,% Change
2023-04-24,1402108400,0.52%
2023-04-21,1394824720,-0.91%
2023-04-20,1407571160,-1.53%
2023-04-19,1429422200,1.62%
2023-04-18,1406660700,-1.97%
2023-04-17,1434884960,1.87%
2023-04-14,1408481620,-1.72%
2023-04-13,1433064040,1.48%
2023-04-12,1412123460,-0.58%
2023-04-11,1420317600,-1.39%
2023-04-10,1440347720,0.76%
2023-04-06,1429422200,11.35%
2023-04-05,1283748600,-0.63%
2023-04-04,1291942740,-2.34%
2023-04-03,1322898380,-0.75%
2023-03-31,1332913440,1.74%
2023-03-30,1310151940,2.35%
2023-03-29,1280106760,1.30%
2023-03-28,1263718480,1.17%
2023-03-27,1249151120,-1.72%
2023-03-24,1271002160,3.41%
2023-03-23,1229121000,-1.68%
2023-03-22,1250061580,-4.98%
2023-03-21,1315614700,-0.62%
2023-03-20,1323808840,1.47%
2023-03-17,1304689180,-2.78%
2023-03-16,1342018040,-1.54%
2023-03-15,1362958620,-4.04%
2023-03-14,1420317600,2.50%
2023-03-13,1385720120,-3.06%
2023-03-10,1429422200,-1.87%
2023-03-09,1456736000,-0.31%
2023-03-08,1461288300,1.26%
2023-03-07,1443079100,-0.50%
2023-03-06,1450362780,-1.18%
2023-03-03,1467661520,0.88%
2023-03-02,1454915080,2.11%
2023-03-01,1424869900,-3.04%
2023-02-28,1469482440,-1.82%
2023-02-27,1496796240,0.43%
2023-02-24,1490423020,-0.91%
2023-02-23,1504079920,2.55%
2023-02-22,1466751060,-1.04%
2023-02-21,1482228880,-2.46%
2023-02-17,1519557740,1.34%
2023-02-16,1499527620,-0.12%
2023-02-15,1501348539,0.61%
2023-02-14,1492243940,-0.73%
2023-02-13,1503169460,0.67%
2023-02-10,1493154399,0.68%
2023-02-09,1483139340,-2.51%
2023-02-08,1521378660,-0.77%
2023-02-07,1533214640,-1.29%
2023-02-06,1553244760,-1.56%
2023-02-03,1577827179,-0.40%
2023-02-02,1584200399,0.81%
2023-02-01,1571453960,-0.23%
2023-01-31,1575095800,2.37%
2023-01-30,1538677399,-0.41%
2023-01-27,1545050620,2.85%
2023-01-26,1502259000,2.04%
2023-01-25,1472213820,-0.12%
2023-01-24,1474034740,1.19%
2023-01-23,1456736000,0.31%
2023-01-20,1452183700,1.46%
2023-01-19,1431243120,-3.38%
2023-01-18,1481318420,-2.16%
2023-01-17,1514094980,-1.01%
2023-01-13,1529572800,-0.77%
2023-01-12,1541408780,2.23%
